Date,Close/Last,Volume,Open,High,Low
09/06/2024,$302.97,283251,$306.10,$307.975,$300.99
09/05/2024,$304.79,328430,$312.50,$312.50,$301.31
09/04/2024,$311.99,405977,$314.56,$315.00,$311.89
09/03/2024,$314.37,949889,$314.00,$317.305,$313.38
08/30/2024,$315.55,649212,$311.12,$315.62,$308.25
08/29/2024,$311.02,486683,$306.32,$312.32,$301.90
08/28/2024,$303.80,439985,$303.44,$307.33,$301.625
08/27/2024,$303.57,413347,$300.67,$305.41,$299.445
08/26/2024,$300.89,540210,$299.45,$305.73,$295.72
08/23/2024,$297.96,279676,$298.90,$298.90,$294.00
08/22/2024,$297.18,375271,$294.49,$298.77,$294.20
08/21/2024,$294.31,326751,$288.74,$294.69,$287.82
08/20/2024,$289.14,414789,$294.73,$294.73,$288.35
08/19/2024,$294.82,301892,$293.41,$295.41,$290.93
08/16/2024,$293.09,440065,$292.38,$293.38,$289.32
08/15/2024,$292.75,402901,$291.26,$294.02,$289.17
08/14/2024,$288.00,387756,$284.07,$288.315,$282.59
08/13/2024,$284.13,356376,$279.98,$284.19,$278.22
08/12/2024,$278.25,402237,$284.39,$285.02,$278.19
08/09/2024,$284.04,474184,$281.50,$284.915,$280.6975
08/08/2024,$286.33,638698,$279.14,$287.06,$274.98
08/07/2024,$270.28,512213,$272.48,$276.30,$270.00
08/06/2024,$270.97,447706,$265.85,$272.945,$265.28
08/05/2024,$265.91,552144,$271.21,$272.32,$265.06
08/02/2024,$274.90,521993,$282.45,$282.45,$272.025
08/01/2024,$284.90,506085,$292.75,$294.46,$284.65
07/31/2024,$291.82,423780,$297.89,$298.00,$291.63
07/30/2024,$297.64,187900,$294.95,$299.06,$294.30
07/29/2024,$293.59,157144,$293.57,$297.2345,$291.695
07/26/2024,$292.17,316894,$287.08,$296.44,$285.66
07/25/2024,$285.56,354551,$285.92,$288.84,$284.015
07/24/2024,$285.98,312572,$288.99,$290.505,$285.41
07/23/2024,$289.38,225268,$290.36,$291.78,$288.24
07/22/2024,$290.35,338014,$292.01,$294.05,$288.85
07/19/2024,$291.23,292345,$295.03,$295.51,$289.88
07/18/2024,$293.97,332916,$296.61,$302.01,$293.76
07/17/2024,$297.52,295189,$294.00,$297.88,$291.09
07/16/2024,$293.61,348059,$290.14,$293.97,$288.17
07/15/2024,$289.63,371360,$286.57,$292.30,$286.47
07/12/2024,$286.52,536248,$281.60,$288.64,$280.725
07/11/2024,$280.42,596643,$274.38,$280.73,$273.285
07/10/2024,$273.22,676913,$268.57,$273.51,$265.09
07/09/2024,$269.47,895505,$272.16,$275.45,$269.28
07/08/2024,$271.56,431151,$269.87,$271.59,$269.35
07/05/2024,$270.48,327437,$267.39,$270.50,$266.6091
07/03/2024,$267.39,270292,$267.50,$269.06,$266.295
07/02/2024,$268.26,554085,$267.69,$271.46,$264.87
07/01/2024,$266.26,400981,$268.01,$268.075,$264.075
06/28/2024,$266.41,931444,$269.94,$271.65,$265.66
06/27/2024,$269.24,613738,$269.42,$270.4159,$264.76
06/26/2024,$270.34,569244,$267.77,$271.46,$266.46
06/25/2024,$270.32,639632,$270.58,$271.20,$265.64
06/24/2024,$269.67,511526,$267.17,$272.18,$266.955
06/21/2024,$267.15,1419596,$263.25,$269.99,$260.69
06/20/2024,$262.45,729762,$254.41,$262.81,$254.315
06/18/2024,$252.45,376136,$252.10,$253.62,$251.04
06/17/2024,$252.10,282404,$248.76,$252.28,$247.10
06/14/2024,$249.66,325826,$249.66,$251.21,$248.12
06/13/2024,$252.00,546048,$253.12,$253.12,$247.69
06/12/2024,$253.67,479450,$257.00,$257.95,$253.00
06/11/2024,$256.62,350482,$258.16,$259.60,$255.91
06/10/2024,$259.19,426785,$257.37,$260.48,$255.87
06/07/2024,$259.01,287340,$261.36,$262.36,$258.33
06/06/2024,$261.50,560210,$257.70,$261.80,$257.12
06/05/2024,$258.42,397295,$258.60,$260.00,$255.11
06/04/2024,$257.92,659687,$257.23,$259.25,$256.2709
06/03/2024,$258.35,551672,$266.36,$266.36,$258.158
05/31/2024,$267.67,688135,$267.04,$267.88,$263.77
05/30/2024,$266.43,464236,$264.63,$266.94,$262.35
05/29/2024,$264.01,387909,$261.13,$264.54,$261.13
05/28/2024,$263.16,545434,$267.51,$267.9099,$262.87
05/24/2024,$267.93,396679,$270.65,$271.27,$267.73
05/23/2024,$269.95,309249,$272.60,$274.53,$268.0695
05/22/2024,$272.77,414674,$272.67,$274.50,$271.64
05/21/2024,$273.11,740109,$277.76,$278.29,$272.81
05/20/2024,$278.94,441057,$281.00,$282.24,$278.56
05/17/2024,$279.53,477451,$280.58,$283.18,$278.56
