Date,Close/Last,Volume,Open,High,Low
09/06/2024,$187.96,526484,$191.10,$191.66,$186.56
09/05/2024,$191.19,633289,$192.00,$192.75,$187.10
09/04/2024,$191.77,817983,$192.01,$192.43,$190.1801
09/03/2024,$192.04,861866,$195.24,$198.58,$191.40
08/30/2024,$197.75,635625,$200.22,$200.22,$194.55
08/29/2024,$199.29,448501,$199.13,$202.38,$197.6101
08/28/2024,$196.96,607445,$202.74,$202.84,$196.25
08/27/2024,$203.30,346107,$203.98,$204.28,$200.61
08/26/2024,$204.60,400615,$206.00,$206.3296,$202.81
08/23/2024,$205.27,595201,$204.99,$205.76,$201.92
08/22/2024,$201.33,452018,$204.55,$205.09,$200.62
08/21/2024,$204.38,563193,$203.05,$204.52,$201.41
08/20/2024,$202.50,552012,$204.53,$205.12,$202.27
08/19/2024,$204.02,418756,$202.37,$205.00,$201.61
08/16/2024,$201.87,436716,$201.79,$203.53,$200.44
08/15/2024,$202.09,745654,$202.76,$205.40,$201.19
08/14/2024,$198.55,726034,$204.82,$205.63,$198.47
08/13/2024,$203.49,957631,$194.68,$203.68,$193.64
08/12/2024,$194.31,1539578,$199.52,$200.21,$193.33
08/09/2024,$200.97,1060174,$203.77,$204.74,$198.72
08/08/2024,$201.93,2322507,$191.50,$202.61,$191.37
08/07/2024,$199.96,3954878,$191.84,$209.75,$191.84
08/06/2024,$228.80,746225,$227.57,$234.90,$225.51
08/05/2024,$226.40,628516,$225.26,$230.33,$219.06
08/02/2024,$233.60,567961,$236.88,$236.88,$226.76
08/01/2024,$242.84,870665,$244.60,$254.15,$240.50
07/31/2024,$244.10,836978,$246.25,$249.95,$242.56
07/30/2024,$245.29,815581,$239.73,$246.84,$236.94
07/29/2024,$237.92,691994,$233.45,$238.20,$232.225
07/26/2024,$233.47,646236,$224.27,$233.915,$224.27
07/25/2024,$221.81,848178,$221.01,$229.61,$218.30
07/24/2024,$222.41,344373,$220.07,$225.24,$218.96
07/23/2024,$220.28,694040,$225.87,$225.87,$219.37
07/22/2024,$227.62,453030,$222.46,$228.44,$217.68
07/19/2024,$218.24,484536,$219.23,$219.76,$214.79
07/18/2024,$218.58,341439,$221.46,$226.51,$216.97
07/17/2024,$223.15,384816,$226.55,$231.39,$223.03
07/16/2024,$227.31,468674,$217.27,$228.53,$217.27
07/15/2024,$216.25,474221,$215.54,$220.42,$214.41
07/12/2024,$216.19,531826,$212.17,$217.27,$211.005
07/11/2024,$210.88,441501,$206.45,$212.505,$205.51
07/10/2024,$202.71,526135,$199.99,$203.85,$198.005
07/09/2024,$201.85,352434,$202.46,$203.59,$199.99
07/08/2024,$202.46,456192,$201.53,$204.005,$198.40
07/05/2024,$199.66,516550,$201.42,$201.92,$197.50
07/03/2024,$201.42,176534,$202.75,$204.37,$200.86
07/02/2024,$201.48,448038,$203.10,$204.10,$201.09
07/01/2024,$203.24,418373,$207.47,$211.895,$202.57
06/28/2024,$206.58,666758,$205.92,$209.695,$204.43
06/27/2024,$207.35,292618,$205.41,$207.75,$205.29
06/26/2024,$206.71,311928,$205.88,$206.97,$203.60
06/25/2024,$206.39,454389,$209.16,$210.31,$203.995
06/24/2024,$209.85,347582,$212.01,$213.63,$209.77
06/21/2024,$211.60,681775,$210.33,$212.30,$208.6943
06/20/2024,$209.63,478374,$207.13,$210.46,$206.42
06/18/2024,$209.80,336121,$208.95,$211.49,$207.14
06/17/2024,$208.41,396622,$208.23,$209.06,$207.0201
06/14/2024,$209.47,407103,$211.10,$211.10,$206.31
06/13/2024,$212.44,336987,$212.89,$214.28,$210.29
06/12/2024,$213.84,390285,$213.88,$217.19,$213.17
06/11/2024,$210.43,499091,$212.77,$214.39,$209.34
06/10/2024,$214.51,594035,$212.95,$215.61,$210.975
06/07/2024,$214.79,464634,$219.21,$219.7285,$214.69
06/06/2024,$221.62,679249,$217.62,$222.77,$215.01
06/05/2024,$216.12,809765,$210.67,$216.505,$208.7631
06/04/2024,$210.23,602125,$207.39,$210.25,$204.33
06/03/2024,$207.93,742056,$209.65,$210.06,$204.945
05/31/2024,$208.44,762316,$209.90,$211.69,$206.39
05/30/2024,$209.72,469115,$211.14,$212.305,$208.265
05/29/2024,$211.48,362887,$211.83,$212.87,$209.73
05/28/2024,$214.51,534356,$217.80,$218.64,$212.315
05/24/2024,$217.21,312749,$217.89,$217.89,$215.68
05/23/2024,$217.55,339970,$220.29,$220.29,$215.675
05/22/2024,$219.00,360257,$220.98,$222.11,$218.375
05/21/2024,$221.48,375305,$222.84,$223.50,$219.78
05/20/2024,$223.06,473731,$222.37,$223.18,$218.97
05/17/2024,$221.61,927644,$225.29,$225.29,$220.37
05/16/2024,$224.75,1301402,$230.83,$230.83,$220.44
05/15/2024,$232.56,529498,$236.07,$238.22,$232.56
05/14/2024,$232.82,502307,$230.31,$233.17,$227.51
05/13/2024,$228.41,447273,$228.06,$229.00,$225.87
05/10/2024,$228.12,842499,$230.26,$230.90,$223.78
05/09/2024,$230.09,1004419,$236.00,$238.91,$226.00
05/08/2024,$235.29,610321,$235.28,$236.88,$233.00
05/07/2024,$236.30,473892,$236.90,$238.23,$235.39
05/06/2024,$235.27,427430,$235.60,$235.89,$232.72
05/03/2024,$233.47,466193,$233.61,$238.38,$232.38
05/02/2024,$229.89,409225,$233.85,$233.85,$225.74
05/01/2024,$232.69,534516,$229.80,$237.62,$226.44
04/30/2024,$229.00,512341,$231.31,$232.18,$225.58
04/29/2024,$232.10,323060,$230.88,$233.28,$230.305
04/26/2024,$229.03,322127,$227.39,$230.86,$227.39
04/25/2024,$227.81,762872,$237.31,$237.31,$225.965
04/24/2024,$239.43,705117,$239.28,$244.56,$237.44
04/23/2024,$240.13,611881,$237.83,$242.91,$236.22
04/22/2024,$232.56,544691,$228.95,$232.665,$225.79
04/19/2024,$226.78,409097,$227.14,$230.34,$225.6468
04/18/2024,$227.55,710218,$228.02,$233.72,$223.49
04/17/2024,$230.09,499836,$234.40,$234.40,$229.85
04/16/2024,$232.34,336008,$235.92,$235.92,$231.395
04/15/2024,$235.93,462301,$244.32,$244.41,$234.17
