Date,Close/Last,Volume,Open,High,Low
09/06/2024,$22.92,6738399,$23.51,$23.55,$22.7901
09/05/2024,$23.49,7267837,$23.67,$23.765,$23.37
09/04/2024,$23.48,6351006,$23.95,$24.15,$23.37
09/03/2024,$23.92,6301202,$23.955,$24.01,$23.50
08/30/2024,$24.33,4884797,$24.325,$24.38,$24.04
08/29/2024,$24.43,4207809,$24.13,$24.55,$23.94
08/28/2024,$24.05,3227597,$24.12,$24.18,$23.81
08/27/2024,$24.21,5989663,$24.19,$24.325,$23.98
08/26/2024,$24.20,3300842,$24.42,$24.62,$24.14
08/23/2024,$24.16,3571381,$24.04,$24.275,$23.90
08/22/2024,$23.86,4181194,$23.955,$24.0599,$23.78
08/21/2024,$23.93,3810714,$24.38,$24.38,$23.77
08/20/2024,$24.06,5033682,$24.38,$24.43,$23.85
08/19/2024,$24.50,5094505,$24.20,$24.595,$24.15
08/16/2024,$24.03,3423656,$24.02,$24.16,$23.92
08/15/2024,$24.19,4806594,$23.75,$24.40,$23.75
08/14/2024,$23.94,4840299,$24.00,$24.06,$23.78
08/13/2024,$23.94,7101458,$24.11,$24.11,$23.72
08/12/2024,$24.34,6017360,$24.285,$24.41,$24.07
08/09/2024,$24.10,6221094,$23.945,$24.27,$23.81
08/08/2024,$23.99,5956825,$23.53,$24.05,$23.48
08/07/2024,$23.43,5045950,$23.895,$24.13,$23.41
08/06/2024,$23.51,8154228,$23.335,$23.785,$23.18
08/05/2024,$23.25,8591320,$23.555,$23.77,$23.19
08/02/2024,$24.11,13521470,$24.90,$25.05,$23.99
08/01/2024,$25.40,8985958,$25.96,$26.04,$25.22
07/31/2024,$25.80,5312699,$26.01,$26.31,$25.74
07/30/2024,$25.70,5195561,$25.74,$25.935,$25.55
07/29/2024,$25.71,4152239,$25.77,$25.85,$25.38
07/26/2024,$25.78,4015303,$25.76,$25.885,$25.475
07/25/2024,$25.72,5256021,$25.93,$26.07,$25.66
07/24/2024,$25.79,6239452,$26.32,$26.44,$25.78
07/23/2024,$26.13,6770367,$26.60,$26.60,$26.035
07/22/2024,$26.72,5209107,$26.75,$26.84,$26.45
07/19/2024,$26.80,4790891,$27.13,$27.13,$26.66
07/18/2024,$27.11,5308342,$27.10,$27.535,$27.045
07/17/2024,$27.01,6408107,$27.37,$27.70,$27.00
07/16/2024,$27.37,5840975,$27.155,$27.37,$27.02
07/15/2024,$27.25,4697544,$27.185,$27.47,$27.08
07/12/2024,$27.10,3745394,$27.08,$27.18,$26.95
07/11/2024,$26.99,3184153,$26.70,$27.045,$26.605
07/10/2024,$26.63,5179797,$26.67,$26.75,$26.41
07/09/2024,$26.48,4599649,$26.41,$26.75,$26.25
07/08/2024,$26.57,4491273,$26.45,$26.635,$26.36
07/05/2024,$26.23,7395012,$26.70,$26.77,$26.10
07/03/2024,$26.89,3366444,$26.70,$27.07,$26.65
07/02/2024,$26.78,3801029,$26.76,$26.88,$26.49
07/01/2024,$26.54,4690767,$26.83,$26.88,$26.355
06/28/2024,$26.67,8900267,$27.04,$27.10,$26.49
06/27/2024,$26.85,4312941,$27.26,$27.28,$26.78
06/26/2024,$27.15,5782294,$27.51,$27.57,$27.015
06/25/2024,$27.65,5568190,$27.53,$27.67,$27.205
06/24/2024,$27.65,5396300,$26.98,$27.845,$26.86
06/21/2024,$26.62,26905410,$26.93,$26.93,$26.495
06/20/2024,$26.89,5199065,$26.66,$27.105,$26.565
06/18/2024,$26.68,4903288,$26.72,$26.99,$26.54
06/17/2024,$26.67,6212319,$26.67,$26.815,$26.30
06/14/2024,$26.73,5899003,$27.18,$27.18,$26.6445
