Date,Close/Last,Volume,Open,High,Low
09/06/2024,$55.33,5004147,$54.92,$55.66,$54.88
09/05/2024,$55.11,3896728,$55.86,$56.31,$54.95
09/04/2024,$55.50,2449331,$55.80,$56.08,$55.185
09/03/2024,$55.57,3146529,$56.45,$56.58,$55.35
08/30/2024,$57.30,4229129,$56.77,$57.57,$56.705
08/29/2024,$57.00,2807117,$56.50,$57.415,$55.87
08/28/2024,$56.00,2308036,$55.52,$56.04,$55.09
08/27/2024,$55.56,3809554,$55.34,$55.65,$54.95
08/26/2024,$55.65,2602490,$55.80,$56.275,$55.38
08/23/2024,$55.58,4475876,$54.84,$55.635,$54.74
08/22/2024,$54.55,1922208,$54.23,$54.56,$53.97
08/21/2024,$54.28,1584619,$53.87,$54.42,$53.75
08/20/2024,$53.60,2760678,$54.21,$54.21,$53.52
08/19/2024,$54.31,2517430,$54.00,$54.63,$53.815
08/16/2024,$53.80,2926133,$52.78,$53.92,$52.59
08/15/2024,$52.76,2270849,$52.67,$52.95,$52.39
08/14/2024,$51.99,2011903,$51.87,$52.07,$51.25
08/13/2024,$51.73,2181599,$51.34,$52.03,$51.00
08/12/2024,$51.22,1724668,$51.53,$51.74,$51.13
08/09/2024,$51.56,1841168,$51.49,$51.77,$50.78
08/08/2024,$51.55,2645664,$51.07,$51.64,$50.96
08/07/2024,$50.78,2520544,$51.46,$52.39,$50.75
08/06/2024,$51.18,3654314,$51.17,$51.95,$50.95
08/05/2024,$51.31,3627736,$50.58,$52.20,$50.30
08/02/2024,$51.58,3784039,$52.28,$52.95,$51.02
08/01/2024,$53.00,6146438,$53.96,$55.67,$52.89
07/31/2024,$56.10,3682714,$55.79,$56.56,$55.43
07/30/2024,$55.53,2002904,$55.61,$56.05,$55.19
07/29/2024,$55.46,1906880,$55.32,$56.05,$55.04
07/26/2024,$55.39,2272011,$55.45,$56.06,$55.20
07/25/2024,$55.28,2798158,$53.62,$55.91,$53.54
07/24/2024,$53.82,1999642,$54.69,$54.90,$53.74
07/23/2024,$54.39,1625539,$54.55,$54.79,$54.26
07/22/2024,$54.77,1494688,$54.90,$54.97,$53.94
07/19/2024,$54.78,2088346,$55.28,$55.28,$54.35
07/18/2024,$55.20,2591966,$54.81,$56.13,$54.69
07/17/2024,$55.54,3089918,$54.22,$55.68,$54.22
07/16/2024,$54.20,2818042,$52.97,$54.225,$52.915
07/15/2024,$52.90,2646077,$53.02,$53.275,$52.45
07/12/2024,$53.10,2495994,$52.65,$53.305,$52.04
07/11/2024,$52.27,2243917,$51.45,$52.48,$51.38
07/10/2024,$51.02,3435878,$50.80,$51.06,$50.36
07/09/2024,$50.72,2577502,$51.63,$51.69,$50.69
07/08/2024,$51.72,2996863,$52.46,$52.565,$51.50
07/05/2024,$52.44,1493548,$52.09,$52.47,$51.74
07/03/2024,$52.48,1238138,$52.86,$53.15,$52.26
07/02/2024,$52.77,2186839,$52.99,$53.19,$52.62
07/01/2024,$53.07,2549801,$53.91,$54.245,$52.8701
06/28/2024,$53.94,6301369,$54.11,$54.59,$53.525
06/27/2024,$53.65,2958097,$53.62,$53.83,$53.25
06/26/2024,$53.64,3410403,$52.91,$53.74,$52.78
06/25/2024,$53.04,3808404,$52.61,$53.08,$52.20
06/24/2024,$52.91,2909397,$53.09,$53.36,$52.75
06/21/2024,$52.92,8773974,$52.44,$53.04,$51.97
06/20/2024,$52.37,3617571,$51.78,$52.909,$51.60
06/18/2024,$51.89,2577834,$52.28,$52.80,$51.37
06/17/2024,$52.04,2622919,$51.26,$52.20,$51.15
06/14/2024,$51.18,1619280,$51.57,$51.80,$50.48
06/13/2024,$51.58,3512602,$51.64,$51.96,$50.96
06/12/2024,$51.94,3325979,$52.06,$52.72,$51.52
06/11/2024,$51.64,6635770,$51.10,$52.44,$50.01
06/10/2024,$51.71,5329855,$52.66,$52.67,$51.655
06/07/2024,$52.90,3750902,$53.96,$54.67,$52.72
06/06/2024,$54.92,2623981,$54.03,$55.005,$53.875
06/05/2024,$54.06,2033695,$53.63,$54.085,$53.47
06/04/2024,$53.70,2995855,$54.93,$55.16,$53.63
06/03/2024,$55.57,2310864,$55.76,$56.01,$54.94
05/31/2024,$55.94,3593379,$55.18,$56.02,$54.985
05/30/2024,$55.24,2172428,$54.37,$55.26,$54.37
05/29/2024,$54.27,4255873,$55.10,$55.51,$54.23
05/28/2024,$55.66,2418793,$55.465,$55.79,$55.04
05/24/2024,$55.51,2282195,$55.57,$56.055,$55.28
05/23/2024,$55.57,3121379,$56.94,$56.99,$55.19
05/22/2024,$56.98,2955085,$56.23,$57.11,$56.23
05/21/2024,$56.65,3032214,$56.80,$56.97,$56.43
05/20/2024,$56.74,2870017,$56.54,$57.00,$56.36
05/17/2024,$56.45,5282049,$56.20,$56.56,$55.87
05/16/2024,$56.00,5081818,$57.01,$57.14,$55.89
05/15/2024,$57.13,4157441,$57.88,$58.20,$56.90
05/14/2024,$57.55,3897982,$57.66,$57.94,$57.21
05/13/2024,$57.30,3034111,$57.66,$58.45,$57.29
05/10/2024,$57.48,3754489,$58.00,$58.76,$57.45
05/09/2024,$57.83,4051580,$57.06,$57.94,$57.06
05/08/2024,$56.82,4291853,$57.32,$57.641,$56.81
05/07/2024,$57.52,5527591,$56.66,$57.89,$56.66
05/06/2024,$56.36,3205087,$57.72,$57.792,$56.26
05/03/2024,$57.16,2977563,$57.03,$57.40,$56.57
05/02/2024,$56.98,6604952,$57.00,$57.70,$56.31
