Date,Close/Last,Volume,Open,High,Low
09/06/2024,$57.75,6263025,$58.14,$59.12,$57.65
09/05/2024,$58.07,7022197,$59.50,$59.6296,$57.40
09/04/2024,$59.30,14231270,$57.39,$59.86,$57.26
09/03/2024,$57.38,11601610,$57.20,$58.50,$57.11
08/30/2024,$57.24,8188057,$56.96,$57.42,$56.85
08/29/2024,$56.97,9180970,$57.35,$57.4838,$56.50
08/28/2024,$57.24,7963588,$57.50,$57.93,$56.77
08/27/2024,$57.46,6180854,$58.62,$58.74,$57.43
08/26/2024,$58.70,6892582,$58.70,$59.79,$58.57
08/23/2024,$58.75,9614381,$58.06,$58.85,$57.765
08/22/2024,$57.74,7883056,$58.46,$58.46,$57.165
08/21/2024,$58.32,4730369,$58.99,$59.24,$58.08
08/20/2024,$58.90,4178664,$58.70,$59.2499,$58.5147
08/19/2024,$58.80,7469140,$58.41,$59.14,$58.38
08/16/2024,$58.35,7442666,$57.36,$58.54,$57.30
08/15/2024,$57.56,10041030,$56.39,$57.57,$56.29
08/14/2024,$55.99,5873232,$55.88,$56.4223,$55.75
08/13/2024,$55.82,7839264,$55.90,$56.49,$55.745
08/12/2024,$55.81,8390242,$57.21,$57.22,$55.60
08/09/2024,$57.11,8345205,$57.80,$57.85,$56.65
08/08/2024,$57.85,11683610,$56.30,$58.10,$56.21
08/07/2024,$56.47,14975960,$58.00,$58.6098,$56.27
08/06/2024,$58.34,11471860,$57.69,$58.96,$57.33
08/05/2024,$57.81,9479794,$58.00,$58.76,$57.07
08/02/2024,$59.32,8695521,$60.24,$60.64,$58.19
08/01/2024,$60.03,9214930,$60.88,$61.55,$59.45
07/31/2024,$60.33,12826550,$60.84,$62.10,$60.13
07/30/2024,$63.18,10469410,$61.67,$63.92,$61.67
07/29/2024,$61.57,9237813,$60.69,$62.04,$60.27
07/26/2024,$61.00,14553170,$59.02,$61.10,$58.91
07/25/2024,$58.65,8178244,$58.87,$60.04,$58.27
07/24/2024,$58.54,10223210,$58.08,$58.63,$57.43
07/23/2024,$57.97,7460520,$58.17,$58.21,$57.32
07/22/2024,$58.33,7913647,$58.88,$59.06,$58.08
07/19/2024,$59.57,7143914,$60.28,$60.46,$59.13
07/18/2024,$59.91,6968921,$61.00,$61.99,$59.765
07/17/2024,$61.60,12382500,$59.87,$62.01,$59.76
07/16/2024,$60.06,9724216,$59.32,$60.23,$58.81
07/15/2024,$58.67,6186530,$59.64,$59.97,$58.415
07/12/2024,$59.00,8220232,$58.30,$59.57,$57.8507
07/11/2024,$58.21,7531390,$57.42,$58.34,$57.42
07/10/2024,$57.53,11035020,$57.87,$58.05,$56.36
07/09/2024,$57.62,8833790,$56.27,$57.725,$55.84
07/08/2024,$56.89,5908211,$56.65,$57.38,$56.615
07/05/2024,$56.62,6275293,$56.67,$56.74,$55.85
07/03/2024,$56.70,5371350,$57.56,$57.85,$56.45
07/02/2024,$57.52,7143034,$58.04,$58.22,$57.2292
07/01/2024,$58.15,8337910,$59.20,$60.02,$57.81
06/28/2024,$59.06,14343540,$59.00,$59.985,$58.47
06/27/2024,$58.36,16224730,$58.37,$58.485,$57.22
06/26/2024,$60.63,8197761,$60.23,$60.95,$59.77
06/25/2024,$60.44,8446888,$61.73,$61.98,$60.44
06/24/2024,$61.73,8704665,$61.50,$62.065,$61.27
06/21/2024,$61.37,20871250,$61.12,$61.63,$60.48
06/20/2024,$61.00,6899505,$60.81,$61.33,$60.40
06/18/2024,$61.01,8908978,$61.30,$61.87,$60.87
06/17/2024,$61.09,7791324,$60.00,$61.235,$59.84
06/14/2024,$60.22,11690760,$60.92,$60.93,$59.16
06/13/2024,$61.03,14136580,$59.87,$61.84,$59.07
06/12/2024,$59.99,10617900,$59.96,$60.33,$59.32
06/11/2024,$60.00,10286320,$60.08,$60.21,$59.555
06/10/2024,$60.28,10633370,$61.53,$61.53,$59.905
06/07/2024,$61.78,12239980,$60.70,$61.95,$60.56
06/06/2024,$60.94,9545860,$60.50,$61.0095,$59.91
06/05/2024,$60.70,8933039,$60.26,$60.71,$59.62
06/04/2024,$60.26,12873080,$60.19,$60.42,$59.33
06/03/2024,$60.21,17087320,$59.13,$60.44,$59.0025
05/31/2024,$59.60,22366750,$56.00,$59.62,$55.82
05/30/2024,$56.04,16154340,$53.67,$56.22,$53.60
05/29/2024,$53.67,16543440,$53.20,$53.72,$52.7705
