Date,Close/Last,Volume,Open,High,Low
09/06/2024,$138.56,7836358,$141.065,$142.11,$137.87
09/05/2024,$140.93,9371051,$143.17,$143.17,$140.60
09/04/2024,$142.07,9820730,$144.64,$145.5271,$141.67
09/03/2024,$144.66,7944740,$145.55,$145.77,$144.28
08/30/2024,$147.95,6414755,$146.22,$148.08,$145.70
08/29/2024,$147.42,4466696,$146.46,$148.18,$145.44
08/28/2024,$146.00,5614416,$146.44,$147.14,$145.48
08/27/2024,$146.95,5099956,$148.67,$149.55,$146.74
08/26/2024,$148.50,5780289,$148.97,$150.09,$147.55
08/23/2024,$147.62,4824078,$146.525,$148.0937,$146.3152
08/22/2024,$145.73,4026998,$145.35,$146.3343,$145.13
08/21/2024,$145.32,5984993,$145.43,$146.64,$144.55
08/20/2024,$144.69,7497606,$146.33,$146.51,$144.56
08/19/2024,$146.83,5967406,$146.01,$147.73,$145.89
08/16/2024,$147.27,6874416,$146.05,$147.62,$145.64
08/15/2024,$146.80,6304232,$145.59,$147.52,$145.48
08/14/2024,$144.67,5874216,$144.39,$145.24,$143.43
08/13/2024,$144.15,7794816,$144.08,$144.55,$143.05
08/12/2024,$145.02,8442174,$145.84,$146.7381,$139.69
08/09/2024,$144.99,7653053,$144.21,$146.11,$143.19
08/08/2024,$144.49,7531112,$143.075,$144.82,$142.71
08/07/2024,$142.41,8867862,$144.58,$145.725,$142.28
08/06/2024,$143.23,9692659,$144.49,$145.09,$143.12
08/05/2024,$144.66,13037190,$145.52,$145.77,$143.41
08/02/2024,$148.55,13278620,$151.13,$152.04,$147.02
08/01/2024,$152.62,16689950,$158.71,$159.50,$152.03
07/31/2024,$160.47,6209200,$161.69,$161.69,$160.05
07/30/2024,$159.57,5740861,$156.46,$160.09,$156.435
07/29/2024,$156.60,5071988,$158.25,$158.25,$154.86
07/26/2024,$157.84,5232519,$157.73,$159.04,$157.06
07/25/2024,$157.54,5432141,$155.37,$158.26,$154.62
07/24/2024,$155.07,5971731,$154.69,$155.70,$153.42
07/23/2024,$154.09,6238721,$156.35,$156.5969,$153.84
07/22/2024,$156.99,5577286,$158.22,$158.98,$156.855
07/19/2024,$159.15,6427723,$162.48,$162.70,$158.41
07/18/2024,$161.97,6577674,$161.23,$164.28,$160.24
07/17/2024,$161.23,7296622,$158.50,$161.48,$158.29
07/16/2024,$157.77,6924187,$157.01,$158.31,$156.15
07/15/2024,$158.04,5661170,$156.95,$159.52,$156.3705
07/12/2024,$155.59,6446316,$156.16,$156.44,$154.56
07/11/2024,$155.26,8323125,$155.00,$156.68,$154.22
07/10/2024,$155.13,5416594,$152.50,$155.44,$152.30
07/09/2024,$152.98,5303129,$153.00,$154.76,$152.3481
07/08/2024,$154.33,4990726,$153.32,$155.28,$153.32
07/05/2024,$154.31,6183056,$156.55,$156.55,$153.68
07/03/2024,$156.71,3264196,$156.94,$157.74,$156.5641
07/02/2024,$156.75,7216801,$157.68,$157.72,$155.45
07/01/2024,$156.52,5584116,$157.16,$158.70,$155.98
06/28/2024,$156.42,11283390,$157.52,$158.58,$156.17
06/27/2024,$156.32,5568733,$156.70,$156.94,$155.635
06/26/2024,$155.95,8637756,$158.46,$158.46,$155.79
06/25/2024,$158.46,6056711,$159.12,$159.36,$157.67
06/24/2024,$159.31,7971620,$156.27,$159.54,$156.19
06/21/2024,$155.28,21292090,$156.80,$157.665,$155.22
06/20/2024,$156.64,8336031,$153.71,$157.41,$153.25
06/18/2024,$153.33,6942882,$153.55,$155.95,$152.84
06/17/2024,$153.19,6321386,$152.50,$153.93,$151.93
06/14/2024,$152.57,6159138,$153.13,$153.295,$151.97
06/13/2024,$152.84,6163015,$153.77,$154.09,$152.23
06/12/2024,$154.22,10017420,$157.49,$157.625,$152.40
06/11/2024,$156.49,5132009,$156.17,$156.75,$154.48
06/10/2024,$156.74,7075943,$156.41,$158.20,$156.32
06/07/2024,$156.08,5887651,$155.71,$157.69,$155.13
06/06/2024,$155.93,5215140,$154.50,$156.02,$153.39
06/05/2024,$154.98,7058506,$156.16,$157.02,$154.53
06/04/2024,$156.13,6360542,$155.72,$156.35,$154.11
06/03/2024,$157.46,9009935,$161.49,$161.68,$156.46
05/31/2024,$162.30,10334230,$158.63,$162.58,$158.51
05/30/2024,$158.26,6371243,$156.85,$158.455,$156.81
05/29/2024,$156.90,5909632,$158.02,$158.49,$156.44
05/28/2024,$159.04,6928298,$158.12,$159.42,$157.95
05/24/2024,$157.75,4477720,$158.08,$158.97,$157.30
05/23/2024,$156.94,6718378,$157.92,$158.60,$156.33
05/22/2024,$157.57,6260509,$159.52,$159.52,$156.52
05/21/2024,$159.97,4783287,$160.58,$161.46,$159.74
05/20/2024,$161.14,4913820,$162.72,$163.00,$161.075
05/17/2024,$162.67,5497919,$161.75,$162.9679,$161.19
05/16/2024,$161.09,6409418,$161.53,$162.00,$160.48
05/15/2024,$163.05,7603063,$163.13,$163.80,$160.17
05/14/2024,$163.61,4923968,$164.34,$165.20,$163.02
