Date,Close/Last,Volume,Open,High,Low
09/06/2024,$57.11,2582535,$57.49,$57.86,$57.02
09/05/2024,$57.34,2574324,$57.97,$58.13,$57.06
09/04/2024,$57.49,3273124,$57.12,$57.73,$56.87
09/03/2024,$56.73,4220493,$55.69,$57.15,$55.65
08/30/2024,$55.90,5450438,$55.56,$56.005,$55.305
08/29/2024,$56.12,3315657,$56.19,$56.21,$55.41
08/28/2024,$56.15,4821945,$56.14,$56.42,$55.875
08/27/2024,$56.03,2295928,$56.47,$56.71,$55.90
08/26/2024,$56.52,2575100,$56.61,$56.96,$56.36
08/23/2024,$56.47,2021702,$56.62,$56.83,$56.30
08/22/2024,$56.44,1853693,$56.51,$56.56,$56.17
08/21/2024,$56.41,1964580,$56.30,$56.615,$56.16
08/20/2024,$56.30,2816530,$56.29,$56.78,$56.08
08/19/2024,$56.29,2782643,$56.00,$56.57,$55.80
08/16/2024,$56.01,3470916,$55.56,$56.22,$55.22
08/15/2024,$55.29,3750572,$55.10,$55.50,$54.84
08/14/2024,$55.51,4207245,$54.92,$56.14,$54.78
08/13/2024,$55.08,3102332,$54.89,$55.19,$54.59
08/12/2024,$54.72,2673799,$54.50,$54.80,$54.24
08/09/2024,$54.47,2942182,$54.27,$54.64,$53.3703
08/08/2024,$54.19,3428506,$54.58,$55.08,$54.07
08/07/2024,$55.09,4275672,$54.35,$55.57,$53.90
08/06/2024,$54.17,5067348,$54.12,$54.63,$53.90
08/05/2024,$54.04,5070748,$56.27,$56.84,$53.79
08/02/2024,$56.08,5501213,$56.08,$57.60,$55.01
08/01/2024,$55.44,5732850,$53.59,$55.66,$52.87
07/31/2024,$53.46,6131247,$53.34,$53.47,$52.73
07/30/2024,$53.21,2541155,$52.86,$53.315,$52.65
07/29/2024,$52.91,2063182,$52.78,$53.105,$52.21
07/26/2024,$52.70,2994129,$52.52,$52.97,$52.30
07/25/2024,$52.30,3806275,$52.44,$53.24,$51.985
07/24/2024,$52.13,4168761,$51.23,$52.295,$50.67
07/23/2024,$50.72,4193723,$51.64,$51.74,$50.675
07/22/2024,$51.80,2509143,$51.58,$51.92,$51.32
07/19/2024,$51.41,2680003,$51.82,$51.82,$50.959
07/18/2024,$51.57,2896148,$51.65,$52.46,$51.5223
07/17/2024,$52.04,4046299,$51.55,$52.56,$51.29
07/16/2024,$51.29,2592909,$51.23,$51.74,$51.16
07/15/2024,$51.03,2796458,$51.82,$51.82,$50.70
07/12/2024,$51.97,3423730,$51.75,$52.34,$51.52
07/11/2024,$51.63,3767307,$50.14,$51.73,$49.95
07/10/2024,$49.75,2046653,$49.67,$49.79,$49.18
07/09/2024,$49.48,2696045,$49.21,$49.93,$49.03
07/08/2024,$49.33,3086108,$49.11,$49.43,$48.88
07/05/2024,$49.11,2381008,$49.21,$49.27,$48.75
07/03/2024,$49.21,2091856,$48.78,$49.45,$48.56
07/02/2024,$48.54,3012132,$48.15,$48.625,$48.03
07/01/2024,$48.01,3525946,$49.09,$49.40,$47.99
06/28/2024,$49.00,6707023,$49.50,$49.61,$48.4725
06/27/2024,$49.61,2823725,$49.24,$49.64,$49.01
06/26/2024,$49.25,2823481,$49.00,$49.39,$48.66
06/25/2024,$49.19,2643459,$49.70,$49.95,$49.09
06/24/2024,$49.90,4045795,$49.25,$49.95,$49.11
06/21/2024,$49.21,6347977,$49.95,$50.04,$49.135
06/20/2024,$49.81,3887744,$49.70,$50.38,$49.50
06/18/2024,$49.42,3827868,$49.45,$49.7553,$49.18
06/17/2024,$49.45,6136226,$50.00,$50.04,$49.2145
06/14/2024,$50.43,2163942,$50.40,$50.645,$50.02
06/13/2024,$50.69,2948173,$50.81,$51.13,$50.40
06/12/2024,$50.80,3497681,$52.11,$52.22,$50.635
06/11/2024,$51.53,4103057,$51.10,$51.85,$50.955
06/10/2024,$51.46,4894563,$51.26,$51.66,$50.75
06/07/2024,$51.44,4802618,$51.70,$52.01,$51.36
06/06/2024,$52.27,3399812,$52.30,$53.05,$52.18
06/05/2024,$52.52,3437301,$52.99,$53.14,$52.44
06/04/2024,$53.28,4399067,$53.415,$53.72,$53.09
06/03/2024,$53.67,5037130,$53.81,$54.07,$53.33
05/31/2024,$53.92,8083392,$52.95,$53.98,$52.77
05/30/2024,$53.50,5374037,$52.65,$53.56,$52.455
05/29/2024,$52.44,5227419,$52.33,$52.44,$52.11
05/28/2024,$52.89,4443197,$52.70,$53.31,$52.58
05/24/2024,$52.79,2134359,$52.76,$52.83,$52.50
05/23/2024,$52.54,3438215,$53.10,$53.35,$52.41
05/22/2024,$53.50,4214295,$53.76,$53.91,$53.41
05/21/2024,$53.94,3389634,$53.87,$54.23,$53.51
05/20/2024,$53.78,3654130,$53.66,$53.915,$53.24
05/17/2024,$53.50,2898075,$53.39,$53.59,$53.07
05/16/2024,$53.30,2709610,$53.31,$53.5601,$53.19
05/15/2024,$53.22,4123265,$53.37,$53.47,$53.025
05/14/2024,$52.84,3459708,$53.32,$53.36,$52.67
05/13/2024,$53.04,5545669,$53.00,$53.36,$52.48
05/10/2024,$53.07,5043431,$53.50,$53.67,$52.75
05/09/2024,$52.84,3716002,$52.24,$53.095,$51.93
05/08/2024,$52.15,3172735,$51.90,$52.225,$51.53
05/07/2024,$52.12,3547627,$51.81,$52.24,$51.58
05/06/2024,$51.41,3001028,$51.58,$51.65,$51.04
05/03/2024,$51.40,3741756,$51.67,$51.85,$50.66
05/02/2024,$51.16,4651565,$52.16,$52.39,$50.68
05/01/2024,$51.15,7032244,$50.93,$52.085,$49.93
04/30/2024,$50.98,4741131,$50.63,$51.495,$50.21
04/29/2024,$51.14,2627478,$50.77,$51.39,$50.685
04/26/2024,$50.45,3477143,$51.00,$51.22,$50.20
04/25/2024,$50.97,4517591,$51.02,$51.22,$50.35
04/24/2024,$51.23,3538470,$50.01,$51.36,$49.615
04/23/2024,$50.67,4636464,$50.36,$51.11,$50.24
04/22/2024,$50.63,4257294,$49.66,$50.67,$49.43
04/19/2024,$49.84,4112500,$48.81,$49.98,$48.68
04/18/2024,$48.57,2822732,$48.61,$48.81,$48.17
04/17/2024,$48.32,3124846,$47.33,$48.425,$47.15
04/16/2024,$46.86,3467500,$47.85,$47.85,$46.62
04/15/2024,$47.92,4414100,$49.10,$49.54,$47.91
04/12/2024,$48.91,5523843,$49.25,$49.45,$48.39
04/11/2024,$49.02,3753124,$49.14,$49.20,$48.385
04/10/2024,$48.80,4737099,$48.35,$48.97,$47.69
04/09/2024,$49.55,4359626,$48.98,$49.59,$48.73
04/08/2024,$48.78,2656911,$48.61,$49.12,$48.41
04/05/2024,$48.57,3825858,$48.46,$48.79,$47.96
04/04/2024,$48.65,6326976,$49.19,$49.25,$48.16
04/03/2024,$48.63,3553950,$48.81,$49.17,$48.41
04/02/2024,$48.72,3771458,$49.00,$49.3498,$48.48
04/01/2024,$49.16,4255081,$49.11,$49.24,$48.37
03/28/2024,$49.19,5401398,$48.65,$49.35,$48.44
03/27/2024,$48.52,6547082,$46.83,$48.55,$46.64
03/26/2024,$46.68,8490470,$48.10,$48.27,$46.56
03/25/2024,$48.25,3960721,$48.28,$48.38,$47.875
03/22/2024,$48.32,3857287,$48.74,$48.755,$48.155
03/21/2024,$48.50,5090573,$48.25,$49.07,$48.02
03/20/2024,$48.16,4506611,$48.45,$48.58,$47.77
03/19/2024,$48.51,8266786,$48.60,$48.91,$48.3401
03/18/2024,$48.51,8115566,$47.95,$48.80,$47.70
03/15/2024,$47.84,11847840,$47.50,$48.34,$47.42
03/14/2024,$47.61,7035292,$47.93,$48.08,$47.23
03/13/2024,$48.07,7598975,$47.23,$48.20,$47.23
03/12/2024,$46.98,4942685,$47.50,$48.02,$46.92
03/11/2024,$47.64,4643982,$47.79,$48.17,$47.47
03/08/2024,$48.00,4393413,$47.99,$48.375,$47.60
03/07/2024,$47.99,9605709,$47.855,$49.21,$47.85
03/06/2024,$47.10,8225434,$46.81,$47.4575,$46.43
03/05/2024,$46.10,7625001,$46.99,$47.81,$45.99
03/04/2024,$46.70,9867856,$44.59,$46.97,$44.49
03/01/2024,$44.79,13834330,$46.85,$47.00,$44.17
02/29/2024,$47.83,9703580,$48.00,$48.22,$47.44
02/28/2024,$48.35,7247556,$47.75,$48.40,$47.62
02/27/2024,$47.79,6555523,$46.92,$47.81,$46.66
02/26/2024,$46.56,7000063,$47.45,$47.50,$46.16
02/23/2024,$47.86,11571010,$45.75,$48.04,$45.745
02/22/2024,$45.60,7675451,$45.62,$46.96,$44.87
02/21/2024,$46.29,4779361,$45.67,$46.32,$45.33
02/20/2024,$45.35,4807996,$45.84,$46.365,$45.31
02/16/2024,$45.86,6185224,$45.27,$45.88,$44.96
02/15/2024,$45.49,4361903,$45.04,$45.86,$44.92
02/14/2024,$44.86,3570278,$44.48,$44.955,$44.16
02/13/2024,$44.36,4106701,$44.90,$45.15,$43.53
02/12/2024,$45.22,3600908,$44.72,$45.41,$44.57
02/09/2024,$44.70,3145040,$44.02,$44.72,$43.91
02/08/2024,$44.18,4033964,$44.30,$44.46,$43.67
02/07/2024,$44.49,4481061,$45.43,$45.43,$44.344
02/06/2024,$45.09,4070741,$44.51,$45.27,$44.34
02/05/2024,$44.69,3683717,$45.06,$45.27,$44.635
02/02/2024,$45.64,3649976,$46.20,$46.47,$45.16
02/01/2024,$46.68,4581888,$45.59,$46.72,$45.40
01/31/2024,$45.72,6600744,$46.05,$46.35,$45.48
01/30/2024,$45.74,4144732,$45.42,$46.05,$45.10
01/29/2024,$45.43,3338796,$45.46,$45.8325,$45.02
01/26/2024,$45.56,4511767,$45.30,$45.745,$45.24
01/25/2024,$45.19,3985818,$44.72,$45.22,$44.425
01/24/2024,$44.15,5693426,$45.12,$45.27,$44.04
01/23/2024,$44.80,5496652,$45.17,$45.3087,$44.55
01/22/2024,$45.07,4413997,$45.41,$45.85,$45.015
01/19/2024,$45.32,4233301,$45.56,$45.57,$44.93
01/18/2024,$45.48,5408291,$45.91,$46.05,$44.925
01/17/2024,$46.17,4891503,$46.35,$47.04,$45.575
01/16/2024,$46.76,6915277,$47.10,$47.32,$46.50
01/12/2024,$47.33,4734393,$47.52,$47.87,$46.995
01/11/2024,$47.11,4629474,$47.80,$47.91,$46.75
01/10/2024,$47.93,3223967,$48.25,$48.31,$47.88
01/09/2024,$48.28,4618704,$48.54,$48.82,$48.165
01/08/2024,$49.01,4093227,$48.94,$49.365,$48.6295
01/05/2024,$49.04,3738776,$48.07,$49.075,$47.75
01/04/2024,$48.20,3525006,$48.53,$48.535,$48.045
01/03/2024,$48.43,4674427,$48.30,$48.62,$47.63
01/02/2024,$48.51,4915900,$46.83,$49.065,$46.76
12/29/2023,$47.00,3644371,$46.74,$47.10,$46.63
12/28/2023,$47.06,3463872,$46.38,$47.22,$46.18
12/27/2023,$46.51,4231399,$46.95,$47.03,$46.30
12/26/2023,$47.05,3369234,$46.79,$47.26,$46.63
12/22/2023,$46.80,4624485,$47.07,$47.77,$46.755
12/21/2023,$46.75,4829205,$47.31,$47.40,$46.34
12/20/2023,$47.18,7004943,$48.14,$48.27,$47.16
12/19/2023,$48.01,5148346,$48.28,$48.632,$47.95
12/18/2023,$48.18,7526314,$48.72,$48.97,$48.09
12/15/2023,$48.48,8031028,$48.79,$49.38,$48.0569
12/14/2023,$49.16,6679610,$50.04,$50.70,$48.98
12/13/2023,$49.47,5542989,$47.56,$49.55,$47.1618
12/12/2023,$47.65,6744664,$47.68,$47.68,$47.06
12/11/2023,$47.65,6805238,$47.31,$47.815,$47.155
12/08/2023,$47.49,6508835,$47.37,$47.60,$47.18
12/07/2023,$47.24,5640980,$47.49,$47.58,$46.96
12/06/2023,$47.26,7733643,$46.60,$47.59,$46.51
12/05/2023,$46.32,7371357,$46.21,$46.48,$45.345
12/04/2023,$46.13,6342845,$46.09,$46.655,$45.70
12/01/2023,$46.67,5664610,$45.44,$46.73,$45.37
11/30/2023,$45.34,8814261,$46.08,$46.25,$45.21
11/29/2023,$46.73,4859790,$46.91,$47.315,$46.61
11/28/2023,$47.00,3582155,$46.83,$47.405,$46.63
11/27/2023,$46.91,4418596,$46.85,$47.11,$46.43
11/24/2023,$46.96,1650334,$46.65,$47.13,$46.35
11/22/2023,$46.65,2685212,$46.60,$46.715,$45.86
11/21/2023,$46.42,4005460,$46.52,$46.70,$46.095
11/20/2023,$46.41,4473437,$46.55,$46.825,$45.8776
11/17/2023,$46.76,5251102,$47.31,$47.35,$46.40
11/16/2023,$46.87,6723019,$47.49,$47.83,$46.66
11/15/2023,$47.23,7506645,$46.43,$47.69,$46.15
11/14/2023,$46.49,6285517,$45.64,$46.66,$45.57
11/13/2023,$44.53,4714984,$44.95,$44.99,$44.25
11/10/2023,$44.96,3995061,$45.21,$45.39,$44.51
11/09/2023,$44.87,6288875,$45.94,$46.28,$44.60
11/08/2023,$45.94,12275500,$45.33,$46.01,$45.001
11/07/2023,$45.58,9494676,$45.57,$46.00,$45.28
11/06/2023,$45.59,13464600,$44.01,$45.795,$43.95
11/03/2023,$43.61,14830620,$42.59,$44.04,$41.155
11/02/2023,$41.08,8291749,$40.58,$41.245,$40.44
11/01/2023,$40.22,5950439,$40.31,$40.53,$39.44
