Date,Close/Last,Volume,Open,High,Low
09/06/2024,$42.03,8498150,$42.14,$43.04,$41.4835
09/05/2024,$42.17,18941430,$42.82,$43.89,$42.065
09/04/2024,$42.37,7096349,$42.28,$42.865,$42.16
09/03/2024,$42.37,7690238,$42.10,$42.74,$42.045
08/30/2024,$42.49,8651954,$41.91,$42.6125,$41.81
08/29/2024,$41.56,8824233,$40.65,$41.875,$40.6373
08/28/2024,$40.43,7586932,$40.78,$40.935,$40.135
08/27/2024,$40.81,5348181,$41.06,$41.13,$40.4881
08/26/2024,$40.98,6110877,$41.62,$41.95,$40.805
08/23/2024,$41.38,6033520,$40.44,$41.44,$40.09
08/22/2024,$40.14,4620949,$40.25,$40.74,$40.07
08/21/2024,$40.18,6508213,$40.33,$40.44,$39.91
08/20/2024,$40.12,4108375,$40.50,$40.55,$40.055
08/19/2024,$40.47,5246922,$40.23,$40.60,$40.01
08/16/2024,$40.15,4633837,$40.10,$40.2798,$39.79
08/15/2024,$40.18,9742586,$39.33,$40.58,$39.265
08/14/2024,$38.69,5936306,$39.74,$39.87,$38.65
08/13/2024,$39.50,7616383,$39.33,$39.70,$39.10
08/12/2024,$39.06,10284030,$39.00,$39.205,$38.81
08/09/2024,$39.30,8279523,$39.52,$39.75,$38.86
08/08/2024,$39.61,9297329,$37.80,$39.71,$37.76
08/07/2024,$37.32,10595650,$38.74,$38.83,$37.29
08/06/2024,$38.22,7541401,$38.23,$38.91,$37.63
08/05/2024,$37.93,19882840,$37.51,$38.73,$37.30
08/02/2024,$39.83,9378288,$40.66,$40.69,$39.5939
08/01/2024,$41.50,9729475,$43.32,$43.38,$40.97
07/31/2024,$43.02,7718225,$43.25,$43.94,$42.855
07/30/2024,$43.23,6087686,$43.40,$44.09,$43.09
07/29/2024,$43.18,7832292,$44.13,$44.18,$43.17
07/26/2024,$44.13,8721440,$43.97,$44.28,$43.36
07/25/2024,$43.47,9293103,$42.74,$43.995,$42.51
07/24/2024,$42.94,7120133,$43.48,$43.895,$42.81
07/23/2024,$43.61,10772610,$43.84,$44.04,$43.24
07/22/2024,$43.83,14485980,$44.65,$44.92,$43.55
07/19/2024,$45.44,8789811,$44.74,$45.86,$44.05
07/18/2024,$44.92,10441490,$45.75,$46.80,$44.585
07/17/2024,$45.76,7160461,$45.33,$46.03,$45.30
07/16/2024,$46.02,15553980,$43.24,$46.05,$43.16
07/15/2024,$43.00,12563760,$43.61,$43.62,$42.72
07/12/2024,$43.62,16716990,$44.46,$44.88,$43.55
07/11/2024,$44.99,33857170,$43.01,$45.03,$42.17
07/10/2024,$46.86,11416110,$47.13,$47.29,$46.48
07/09/2024,$46.89,9376077,$46.37,$47.605,$46.26
07/08/2024,$46.35,7403961,$46.82,$47.30,$46.28
07/05/2024,$46.02,9605457,$47.15,$47.15,$45.96
07/03/2024,$47.39,3543205,$47.15,$47.465,$46.9149
07/02/2024,$46.71,6361903,$47.00,$47.29,$46.515
07/01/2024,$46.92,9064621,$47.81,$47.9026,$46.735
06/28/2024,$47.44,11892870,$48.42,$48.50,$47.03
06/27/2024,$48.60,6504929,$48.15,$48.64,$47.87
06/26/2024,$48.18,10964250,$47.90,$48.47,$47.15
06/25/2024,$48.81,7951414,$49.55,$49.85,$48.675
06/24/2024,$49.40,6695407,$49.42,$50.37,$49.34
06/21/2024,$49.38,9399774,$49.56,$49.60,$48.715
06/20/2024,$49.61,5303132,$49.36,$49.7501,$49.2804
06/18/2024,$49.58,5026554,$49.58,$49.92,$49.18
06/17/2024,$49.71,5288540,$48.61,$49.78,$48.5019
06/14/2024,$48.72,12323460,$49.52,$49.63,$47.42
06/13/2024,$50.17,5250358,$50.41,$50.50,$49.35
06/12/2024,$50.62,6810017,$49.95,$51.19,$49.80
06/11/2024,$49.29,7120828,$50.13,$50.19,$49.05
06/10/2024,$50.50,3734734,$50.30,$50.87,$50.01
06/07/2024,$50.44,4743544,$50.00,$50.71,$49.99
06/06/2024,$50.43,5228675,$51.00,$51.6609,$50.30
06/05/2024,$50.82,10234150,$50.00,$51.70,$49.80
06/04/2024,$49.86,7232245,$50.60,$51.39,$49.30
06/03/2024,$50.79,5403347,$51.45,$51.64,$50.4617
05/31/2024,$51.02,7780872,$50.40,$51.08,$50.22
05/30/2024,$50.11,4911318,$50.00,$50.15,$49.39
05/29/2024,$49.90,10796140,$48.93,$50.00,$48.28
05/28/2024,$50.28,6060764,$51.71,$51.76,$50.20
05/24/2024,$51.84,5197673,$51.45,$51.88,$51.11
05/23/2024,$51.20,6112488,$51.65,$51.72,$50.52
05/22/2024,$51.58,6309943,$52.21,$52.3995,$51.14
05/21/2024,$52.23,6094888,$52.71,$52.876,$52.02
