Date,Close/Last,Volume,Open,High,Low
09/06/2024,$381.56,1670319,$384.84,$389.00,$381.315
09/05/2024,$383.69,1397289,$392.00,$395.00,$382.83
09/04/2024,$391.95,2370341,$386.54,$398.58,$386.10
09/03/2024,$385.69,1929731,$384.86,$388.38,$379.96
08/30/2024,$385.74,1413160,$382.20,$385.8898,$378.453
08/29/2024,$381.82,1075066,$379.79,$384.50,$376.95
08/28/2024,$377.95,1096819,$374.99,$379.37,$374.46
08/27/2024,$375.98,1107170,$381.50,$382.03,$374.94
08/26/2024,$383.09,1108515,$381.48,$385.30,$380.68
08/23/2024,$381.18,1197519,$378.80,$382.85,$376.59
08/22/2024,$376.59,1072734,$377.08,$378.105,$373.55
08/21/2024,$377.05,1249228,$373.84,$377.83,$372.12
08/20/2024,$372.59,932335,$374.94,$376.60,$371.76
08/19/2024,$372.91,1676485,$378.99,$381.01,$371.81
08/16/2024,$377.92,2103088,$372.14,$378.525,$371.16
08/15/2024,$373.26,3184486,$359.20,$378.4699,$357.9006
08/14/2024,$351.28,2040505,$350.00,$355.80,$348.35
08/13/2024,$350.59,1696675,$347.82,$352.43,$346.0046
08/12/2024,$345.01,1581260,$346.75,$348.1623,$343.90
08/09/2024,$346.03,1335203,$348.63,$348.91,$343.38
08/08/2024,$349.14,1557651,$346.88,$350.85,$346.40
08/07/2024,$345.98,1384675,$350.00,$354.04,$345.86
08/06/2024,$346.06,1570942,$347.49,$349.5512,$342.70
08/05/2024,$344.84,2509169,$345.77,$351.41,$340.2001
08/02/2024,$353.75,2820703,$356.16,$360.385,$351.09
08/01/2024,$357.91,2991282,$366.37,$371.21,$356.02
07/31/2024,$371.98,1659500,$373.22,$376.78,$370.99
07/30/2024,$371.77,2267031,$365.97,$375.00,$364.18
07/29/2024,$376.77,1491025,$385.17,$386.54,$371.00
07/26/2024,$386.55,1380906,$385.27,$389.99,$384.07
07/25/2024,$381.69,1241550,$368.17,$386.26,$368.17
07/24/2024,$369.39,1256382,$370.41,$375.675,$367.93
07/23/2024,$371.52,1336087,$376.34,$378.29,$370.76
07/22/2024,$379.25,1071328,$379.13,$380.65,$372.28
07/19/2024,$378.06,1152144,$383.24,$384.14,$377.18
07/18/2024,$380.64,1736152,$382.80,$390.34,$380.53
07/17/2024,$385.13,1528188,$378.03,$387.53,$377.6805
07/16/2024,$377.51,1733075,$372.00,$380.63,$365.93
07/15/2024,$371.67,1158559,$365.06,$372.18,$363.13
07/12/2024,$365.33,1035110,$364.50,$368.15,$363.4701
07/11/2024,$361.60,1765797,$352.90,$362.77,$352.50
