Date,Close/Last,Volume,Open,High,Low
09/06/2024,$859.96,389056,$880.54,$885.00,$856.17
09/05/2024,$879.38,251267,$889.75,$891.16,$871.3043
09/04/2024,$895.37,296862,$891.77,$899.15,$881.49
09/03/2024,$899.04,469556,$956.20,$959.05,$893.97
08/30/2024,$959.29,287165,$946.11,$959.50,$935.78
08/29/2024,$941.43,185479,$948.72,$956.93,$940.42
08/28/2024,$949.58,275043,$957.76,$964.00,$942.57
08/27/2024,$952.84,178571,$940.71,$955.505,$934.32
08/26/2024,$945.03,239568,$971.84,$973.43,$941.76
08/23/2024,$974.56,217206,$955.16,$980.505,$955.16
08/22/2024,$954.89,175101,$959.88,$964.00,$951.50
08/21/2024,$957.54,298478,$957.70,$964.19,$948.60
08/20/2024,$948.67,196421,$965.25,$969.99,$943.98
08/19/2024,$963.22,164035,$951.50,$965.95,$951.50
08/16/2024,$950.53,288710,$947.41,$963.1275,$942.62
08/15/2024,$947.55,319787,$953.78,$966.50,$937.07
08/14/2024,$919.37,260728,$939.69,$950.00,$917.73
08/13/2024,$944.32,322784,$920.00,$944.75,$920.00
08/12/2024,$918.30,347394,$890.02,$918.93,$890.02
08/09/2024,$890.25,215737,$880.83,$892.34,$874.61
08/08/2024,$883.93,397047,$854.17,$885.73,$846.44
08/07/2024,$843.28,394223,$881.99,$884.00,$841.48
08/06/2024,$869.20,312358,$863.25,$882.36,$852.77
08/05/2024,$850.48,374529,$824.63,$863.00,$806.90
08/02/2024,$865.33,307680,$882.91,$882.91,$854.38
08/01/2024,$906.21,253824,$922.77,$932.86,$895.02
07/31/2024,$922.63,307665,$923.17,$933.00,$916.71
07/30/2024,$911.23,325462,$922.42,$930.00,$907.06
07/29/2024,$921.22,536554,$897.50,$932.27,$891.45
07/26/2024,$894.70,1302823,$959.81,$980.00,$893.00
07/25/2024,$841.50,890976,$850.00,$855.57,$820.52
07/24/2024,$846.04,447380,$878.31,$882.98,$845.50
07/23/2024,$882.43,383262,$887.01,$906.74,$882.25
07/22/2024,$883.91,315110,$880.00,$889.91,$872.81
07/19/2024,$871.24,256525,$887.15,$892.32,$869.89
07/18/2024,$886.86,347739,$898.51,$916.80,$880.99
07/17/2024,$889.62,363913,$907.66,$933.26,$889.52
07/16/2024,$912.87,381563,$910.00,$912.94,$893.40
07/15/2024,$899.58,405652,$898.00,$912.375,$896.20
07/12/2024,$898.06,395515,$899.10,$910.00,$887.84
07/11/2024,$888.64,494377,$894.85,$895.38,$876.69
07/10/2024,$893.37,628912,$925.00,$927.50,$851.85
07/09/2024,$939.05,226118,$949.71,$955.1528,$938.29
07/08/2024,$952.70,303605,$944.47,$954.05,$935.115
07/05/2024,$939.32,178924,$936.33,$939.99,$927.50
07/03/2024,$935.69,165968,$942.39,$953.03,$929.4801
07/02/2024,$940.64,300986,$943.61,$952.88,$925.03
07/01/2024,$946.30,359904,$975.70,$979.62,$919.24
06/28/2024,$967.95,589377,$978.04,$1004.31,$965.551
06/27/2024,$999.91,328561,$974.55,$1003.0399,$974.55
06/26/2024,$981.26,294512,$977.46,$992.315,$975.00
06/25/2024,$975.32,238992,$988.18,$988.345,$969.21
06/24/2024,$978.08,269282,$980.00,$991.39,$972.82
06/21/2024,$980.14,624072,$988.19,$988.19,$965.515
06/20/2024,$989.44,381719,$1008.10,$1012.45,$980.00
06/18/2024,$1008.39,420355,$1011.64,$1026.41,$1005.10
06/17/2024,$1017.49,373757,$1022.26,$1037.0517,$1011.9901
06/14/2024,$1023.75,201367,$1026.81,$1032.22,$1017.00
06/13/2024,$1030.16,331796,$1033.57,$1035.765,$1015.70
06/12/2024,$1039.52,356143,$1046.63,$1047.39,$1030.005
06/11/2024,$1042.33,241680,$1051.78,$1053.43,$1036.376
06/10/2024,$1054.95,281059,$1036.10,$1056.88,$1031.47
06/07/2024,$1044.31,248018,$1062.63,$1062.63,$1033.44
06/06/2024,$1065.43,254563,$1097.60,$1101.77,$1063.59
06/05/2024,$1093.26,228834,$1065.76,$1095.95,$1062.96
06/04/2024,$1066.83,225318,$1081.19,$1092.20,$1064.23
06/03/2024,$1086.57,264517,$1093.85,$1106.8899,$1075.43
05/31/2024,$1093.92,573211,$1080.78,$1094.62,$1061.74
05/30/2024,$1082.58,417981,$1062.01,$1095.48,$1062.01
05/29/2024,$1064.92,362721,$1077.00,$1083.71,$1064.91
