Date,Close/Last,Volume,Open,High,Low
09/06/2024,$128.68,1008260,$132.45,$135.05,$128.36
09/05/2024,$132.38,1379852,$136.31,$136.67,$131.11
09/04/2024,$135.08,1094328,$139.00,$139.56,$134.75
09/03/2024,$138.12,1329866,$137.74,$139.66,$136.86
08/30/2024,$138.71,1395071,$137.58,$139.10,$136.42
08/29/2024,$137.58,1044611,$136.98,$137.735,$134.51
08/28/2024,$135.90,1042675,$132.69,$135.986,$132.68
08/27/2024,$133.33,542962,$132.81,$133.72,$131.86
08/26/2024,$132.74,1099000,$133.72,$134.33,$131.84
08/23/2024,$132.93,1915292,$132.25,$134.65,$131.38
08/22/2024,$131.24,1154480,$132.81,$133.11,$130.955
08/21/2024,$133.36,1696997,$135.75,$136.31,$132.89
08/20/2024,$135.26,898462,$136.27,$136.70,$134.72
08/19/2024,$136.63,616709,$133.80,$136.905,$133.80
08/16/2024,$133.80,1169495,$130.46,$133.90,$130.46
08/15/2024,$130.69,1147866,$129.90,$132.53,$129.19
08/14/2024,$127.75,533924,$126.33,$128.58,$125.92
08/13/2024,$126.62,578362,$124.53,$127.135,$124.12
08/12/2024,$123.71,955734,$125.41,$126.37,$123.24
08/09/2024,$126.39,630881,$125.22,$126.44,$123.81
08/08/2024,$125.10,1024809,$124.78,$126.73,$124.385
08/07/2024,$123.41,744156,$127.76,$128.99,$123.24
08/06/2024,$125.27,1634863,$122.92,$126.42,$122.73
08/05/2024,$123.52,1109761,$125.41,$125.775,$122.37
08/02/2024,$129.09,1557093,$134.77,$134.79,$127.57
08/01/2024,$136.17,1058369,$144.23,$144.875,$135.11
07/31/2024,$143.99,1057528,$144.60,$145.58,$143.72
07/30/2024,$144.72,1062605,$143.68,$145.28,$143.45
07/29/2024,$142.56,924314,$143.00,$143.00,$141.12
07/26/2024,$142.29,829096,$143.11,$143.62,$142.18
07/25/2024,$141.62,1327033,$141.00,$143.76,$140.32
07/24/2024,$140.26,1575250,$138.11,$141.585,$137.44
07/23/2024,$139.60,1378026,$139.82,$141.79,$138.5715
07/22/2024,$139.82,1557067,$141.06,$141.41,$138.64
07/19/2024,$141.77,1516915,$143.83,$143.83,$139.58
07/18/2024,$142.89,2950614,$145.05,$147.61,$141.175
07/17/2024,$141.41,2377658,$141.45,$143.47,$140.33
07/16/2024,$141.82,2126412,$137.00,$141.95,$136.74
07/15/2024,$137.06,1503846,$133.98,$137.30,$133.37
07/12/2024,$131.28,756395,$131.54,$131.88,$130.14
07/11/2024,$131.48,748585,$129.23,$131.58,$129.20
07/10/2024,$129.20,693288,$129.65,$130.12,$128.28
07/09/2024,$130.00,943534,$128.86,$131.8177,$128.25
07/08/2024,$128.86,1290514,$130.12,$130.76,$128.09
07/05/2024,$128.89,1303045,$131.23,$132.45,$128.67
07/03/2024,$132.06,897558,$132.76,$133.50,$130.38
07/02/2024,$133.54,1130316,$132.94,$133.705,$132.0062
07/01/2024,$132.95,1522060,$132.00,$133.78,$131.21
06/28/2024,$130.81,3689864,$125.03,$131.09,$124.62
06/27/2024,$123.73,2002492,$125.35,$125.46,$122.34
06/26/2024,$125.35,1679676,$125.79,$126.48,$125.21
06/25/2024,$126.42,1078715,$127.40,$127.475,$125.95
06/24/2024,$127.67,1127875,$126.97,$128.78,$125.84
06/21/2024,$126.97,1663602,$128.00,$128.10,$126.06
06/20/2024,$127.78,1068886,$126.81,$127.86,$125.53
06/18/2024,$126.93,995033,$126.00,$127.00,$125.55
06/17/2024,$125.71,1195673,$121.82,$125.85,$121.66
06/14/2024,$122.00,1384773,$121.51,$122.40,$121.36
06/13/2024,$122.33,1185062,$123.12,$123.60,$120.97
06/12/2024,$123.67,922018,$122.50,$125.13,$122.38
06/11/2024,$121.74,1226152,$124.77,$124.77,$121.07
06/10/2024,$125.81,1122883,$124.29,$125.93,$123.03
06/07/2024,$124.90,924850,$122.08,$125.92,$121.84
06/06/2024,$122.76,1264886,$123.00,$124.56,$122.37
06/05/2024,$122.13,900597,$121.24,$122.14,$120.36
06/04/2024,$121.10,1024752,$121.88,$122.90,$120.20
06/03/2024,$122.81,1171590,$123.00,$123.50,$120.62
05/31/2024,$122.66,3032721,$121.29,$122.97,$120.72
05/30/2024,$121.11,1499520,$122.29,$122.60,$120.72
05/29/2024,$121.68,1159413,$120.44,$121.815,$119.95
05/28/2024,$121.82,1059111,$123.12,$123.21,$121.11
05/24/2024,$123.22,1003834,$123.00,$124.3108,$122.95
05/23/2024,$122.81,1040807,$124.33,$124.33,$121.34
05/22/2024,$124.31,1977438,$124.48,$125.93,$123.64
05/21/2024,$125.18,1033391,$124.81,$125.39,$124.37
05/20/2024,$124.61,698325,$125.55,$126.04,$124.20
05/17/2024,$125.42,1084114,$125.39,$125.55,$124.66
05/16/2024,$124.81,1708066,$126.90,$127.24,$123.59
05/15/2024,$126.73,1735159,$125.67,$126.73,$125.23
05/14/2024,$124.40,1053393,$124.56,$124.925,$123.78
05/13/2024,$124.17,1473078,$124.37,$124.68,$123.52
05/10/2024,$123.40,979142,$124.42,$124.70,$123.19
05/09/2024,$124.04,1135247,$123.35,$124.48,$123.24
05/08/2024,$123.57,519599,$122.92,$124.0382,$122.92
05/07/2024,$123.61,721010,$126.28,$126.57,$123.58
05/06/2024,$125.36,1153685,$126.18,$126.74,$125.21
05/03/2024,$125.04,811004,$125.61,$125.62,$123.90
05/02/2024,$124.51,1620602,$124.86,$125.43,$123.80
05/01/2024,$123.58,1947812,$126.08,$126.83,$122.88
04/30/2024,$126.73,1334865,$127.13,$127.84,$126.51
04/29/2024,$128.00,738151,$127.90,$128.53,$127.17
04/26/2024,$127.70,1154892,$125.50,$128.40,$125.41
04/25/2024,$125.67,1448618,$128.87,$129.07,$125.60
04/24/2024,$129.02,1805543,$128.26,$130.575,$127.58
04/23/2024,$129.24,1884043,$126.36,$129.35,$126.0001
04/22/2024,$126.68,1136823,$126.04,$126.70,$124.38
04/19/2024,$125.35,1548721,$125.66,$126.15,$123.80
04/18/2024,$124.27,2285142,$120.75,$125.39,$120.55
04/17/2024,$119.89,1745964,$120.91,$121.4799,$119.67
04/16/2024,$119.57,994095,$121.50,$121.50,$119.31
04/15/2024,$121.31,788869,$122.74,$123.21,$120.47
04/12/2024,$120.91,1019796,$121.84,$122.32,$120.51
