Date,Close/Last,Volume,Open,High,Low
09/06/2024,$152.93,827465,$154.24,$155.03,$152.02
09/05/2024,$154.23,756110,$155.26,$155.515,$152.28
09/04/2024,$155.39,606149,$157.21,$159.36,$154.89
09/03/2024,$156.97,745946,$157.00,$158.22,$156.02
08/30/2024,$156.97,883728,$155.92,$157.34,$155.49
08/29/2024,$156.23,698709,$155.02,$156.715,$154.415
08/28/2024,$154.88,569990,$153.53,$155.29,$153.38
08/27/2024,$153.60,494545,$154.28,$154.648,$152.95
08/26/2024,$153.90,425352,$153.95,$154.71,$153.50
08/23/2024,$153.56,472341,$153.75,$153.81,$152.02
08/22/2024,$152.84,477564,$153.31,$153.31,$152.1616
08/21/2024,$152.97,625068,$151.37,$153.07,$150.90
08/20/2024,$150.91,432235,$151.36,$151.36,$150.01
08/19/2024,$151.12,688336,$151.44,$152.88,$150.52
08/16/2024,$151.38,717096,$149.98,$151.84,$148.66
08/15/2024,$149.69,685182,$150.18,$150.86,$148.58
08/14/2024,$149.85,510357,$150.47,$150.74,$149.435
08/13/2024,$150.77,728393,$151.00,$152.00,$148.83
08/12/2024,$150.42,692970,$149.00,$150.56,$148.735
08/09/2024,$149.31,675578,$150.00,$150.51,$148.415
08/08/2024,$150.06,799975,$145.83,$150.25,$145.4285
08/07/2024,$146.13,1090306,$146.90,$148.715,$145.84
08/06/2024,$146.89,822562,$145.93,$148.31,$145.49
08/05/2024,$145.79,1261944,$149.89,$150.55,$144.87
08/02/2024,$150.08,1024026,$148.00,$151.78,$147.21
08/01/2024,$147.67,1120766,$142.86,$147.89,$142.86
07/31/2024,$142.30,1276196,$142.53,$143.51,$140.7099
07/30/2024,$142.89,937233,$141.81,$144.74,$141.81
07/29/2024,$142.14,1532247,$145.00,$145.11,$141.82
07/26/2024,$145.59,1282555,$144.92,$146.73,$144.57
07/25/2024,$144.25,1127724,$144.65,$147.1126,$143.775
07/24/2024,$143.91,1060757,$141.99,$144.38,$140.06
07/23/2024,$140.96,1893390,$143.96,$146.41,$137.71
07/22/2024,$147.35,1334433,$146.54,$148.255,$145.72
07/19/2024,$146.01,906997,$148.11,$148.11,$145.94
07/18/2024,$146.84,765684,$147.59,$149.85,$146.24
07/17/2024,$148.48,769798,$148.93,$150.585,$148.10
07/16/2024,$148.60,1008559,$145.34,$148.73,$144.29
07/15/2024,$144.59,1277055,$144.09,$146.51,$143.74
07/12/2024,$144.11,581878,$144.17,$145.22,$143.485
07/11/2024,$143.50,951551,$141.85,$143.75,$141.54
07/10/2024,$140.45,722969,$140.73,$140.95,$138.9275
07/09/2024,$138.36,932202,$138.62,$139.21,$136.99
07/08/2024,$138.92,642490,$140.39,$140.94,$138.84
07/05/2024,$140.45,1017722,$141.21,$142.00,$138.77
07/03/2024,$140.90,808361,$139.98,$140.94,$137.21
07/02/2024,$136.64,1048547,$137.06,$138.05,$136.35
07/01/2024,$137.09,788676,$137.52,$139.28,$136.30
06/28/2024,$136.88,1284686,$137.94,$138.62,$135.47
06/27/2024,$137.34,936170,$138.58,$139.37,$137.02
06/26/2024,$138.60,710857,$137.80,$138.71,$136.96
06/25/2024,$138.30,734398,$139.78,$140.1734,$137.65
