Date,Close/Last,Volume,Open,High,Low
09/06/2024,$186.14,2657378,$184.38,$189.18,$184.38
09/05/2024,$183.72,1368318,$184.50,$185.55,$182.54
09/04/2024,$184.19,1544441,$183.31,$184.35,$181.63
09/03/2024,$184.49,1923259,$188.81,$190.36,$182.57
08/30/2024,$188.76,1659619,$188.00,$189.28,$184.67
08/29/2024,$186.85,956304,$187.74,$189.085,$185.452
08/28/2024,$187.57,1329229,$186.54,$189.4796,$186.18
08/27/2024,$187.54,1458165,$187.49,$188.55,$186.16
08/26/2024,$189.06,2553704,$193.33,$193.63,$188.67
08/23/2024,$191.79,3421777,$187.56,$192.41,$186.84
08/22/2024,$185.74,2212289,$186.14,$187.8599,$183.9101
08/21/2024,$186.46,2722150,$181.93,$187.115,$181.93
08/20/2024,$179.61,1483899,$182.63,$183.97,$179.00
08/19/2024,$181.45,2088412,$179.63,$181.47,$178.13
08/16/2024,$178.02,2000258,$175.10,$178.6899,$175.10
08/15/2024,$175.29,1706372,$175.59,$176.94,$172.71
08/14/2024,$174.21,1522007,$176.52,$176.8538,$174.0001
08/13/2024,$175.04,1803752,$173.89,$176.95,$173.28
08/12/2024,$172.07,2069739,$172.44,$173.885,$170.468
08/09/2024,$172.97,2833885,$173.37,$175.62,$172.76
08/08/2024,$172.73,2270132,$170.85,$173.65,$169.0001
08/07/2024,$169.00,3204040,$175.87,$177.40,$168.62
08/06/2024,$173.64,2250925,$173.54,$177.71,$170.93
08/05/2024,$173.73,2919386,$167.93,$175.45,$167.02
08/02/2024,$177.62,3179679,$174.73,$180.93,$173.72
08/01/2024,$179.05,2815433,$181.42,$183.21,$177.29
07/31/2024,$179.93,3137349,$181.36,$185.4261,$177.89
07/30/2024,$180.44,2011307,$179.73,$181.37,$177.24
07/29/2024,$178.71,1527682,$177.90,$179.80,$176.20
07/26/2024,$176.94,3353877,$177.56,$180.15,$175.56
07/25/2024,$172.70,2838507,$172.28,$176.59,$170.33
07/24/2024,$171.07,3280357,$175.78,$176.95,$170.9505
07/23/2024,$176.56,3051110,$176.80,$178.71,$174.82
07/22/2024,$177.16,3653743,$174.54,$178.01,$172.025
07/19/2024,$173.84,4125242,$173.75,$177.06,$171.13
07/18/2024,$173.42,9608565,$167.23,$177.47,$165.57
07/17/2024,$157.51,4137447,$160.41,$162.22,$157.09
07/16/2024,$162.26,3237715,$154.90,$162.64,$154.38
07/15/2024,$152.16,2547520,$153.97,$154.775,$151.665
07/12/2024,$153.74,4023976,$150.90,$155.35,$150.86
07/11/2024,$149.73,4569541,$144.04,$150.57,$143.7205
07/10/2024,$139.59,2926449,$136.97,$140.32,$136.75
07/09/2024,$136.00,1721816,$136.00,$137.69,$135.3001
07/08/2024,$136.18,1666126,$136.62,$137.79,$135.04
07/05/2024,$135.56,1657154,$136.27,$136.81,$134.68
07/03/2024,$136.03,1616763,$134.44,$137.77,$134.43
07/02/2024,$135.21,3632754,$134.00,$135.61,$133.02
07/01/2024,$137.02,2477978,$141.53,$141.76,$136.94
06/28/2024,$140.93,2792073,$141.71,$142.43,$139.75
06/27/2024,$141.20,1405749,$140.41,$141.43,$138.99
06/26/2024,$140.32,1630885,$139.61,$140.8719,$139.57
06/25/2024,$140.44,1931540,$143.835,$144.00,$139.17
06/24/2024,$144.05,1907520,$142.09,$145.34,$141.81
06/21/2024,$142.39,3460056,$141.42,$142.78,$139.36
06/20/2024,$141.15,2821114,$139.73,$141.945,$139.3633
06/18/2024,$139.40,2705797,$141.66,$142.055,$138.33
06/17/2024,$143.26,2394065,$142.15,$143.65,$140.78
06/14/2024,$142.78,1843350,$141.40,$143.10,$139.7665
06/13/2024,$143.46,1712213,$143.03,$144.09,$141.24
06/12/2024,$143.73,3222823,$144.98,$149.88,$142.99
06/11/2024,$139.56,1813125,$141.35,$141.35,$139.285
06/10/2024,$142.22,1602758,$139.08,$142.435,$138.755
06/07/2024,$140.22,2866258,$139.00,$141.69,$138.08
06/06/2024,$143.70,1570591,$145.79,$146.56,$143.43
06/05/2024,$146.09,1557903,$145.00,$146.16,$142.97
06/04/2024,$143.87,2448515,$145.99,$146.5705,$142.71
06/03/2024,$146.93,1911855,$147.80,$148.06,$146.25
05/31/2024,$147.80,4213675,$146.52,$148.0828,$145.09
05/30/2024,$145.49,1809355,$142.65,$145.76,$142.44
05/29/2024,$141.38,1850407,$140.95,$141.97,$140.42
