Date,Close/Last,Volume,Open,High,Low
09/06/2024,$148.22,1741665,$149.99,$150.00,$147.21
09/05/2024,$149.91,1299747,$149.10,$150.08,$148.15
09/04/2024,$149.09,1233831,$150.14,$150.47,$147.30
09/03/2024,$149.79,1605440,$150.36,$150.97,$149.14
08/30/2024,$151.61,3050948,$150.36,$152.10,$149.31
08/29/2024,$149.50,1148085,$149.74,$150.85,$148.68
08/28/2024,$150.11,1096356,$150.61,$151.595,$149.27
08/27/2024,$150.61,1076934,$149.14,$151.14,$148.8075
08/26/2024,$150.59,925397,$152.90,$153.50,$150.02
08/23/2024,$152.18,1604181,$151.18,$152.74,$150.18
08/22/2024,$150.69,874883,$150.04,$151.26,$149.43
08/21/2024,$149.76,1480067,$149.06,$150.37,$148.65
08/20/2024,$149.10,1041069,$148.77,$149.33,$147.91
08/19/2024,$148.62,1400934,$149.24,$150.70,$148.05
08/16/2024,$149.60,1257764,$149.40,$150.57,$148.76
08/15/2024,$149.86,1504735,$151.12,$151.90,$148.69
08/14/2024,$151.18,1227749,$149.85,$152.84,$149.5789
08/13/2024,$149.57,1435832,$149.99,$150.4849,$149.08
08/12/2024,$148.75,1105770,$149.78,$150.23,$147.09
08/09/2024,$150.12,803426,$149.96,$150.76,$148.38
08/08/2024,$149.66,1160716,$147.45,$149.97,$147.31
08/07/2024,$147.14,1210753,$149.07,$151.83,$146.86
08/06/2024,$148.63,1378882,$144.88,$150.75,$144.07
08/05/2024,$144.47,2320863,$147.52,$150.13,$144.18
08/02/2024,$150.84,1642273,$151.75,$152.90,$148.235
08/01/2024,$152.29,2019968,$150.26,$153.1923,$150.26
07/31/2024,$149.49,3344199,$147.52,$150.99,$146.905
07/30/2024,$145.04,1699619,$147.49,$147.56,$144.06
07/29/2024,$147.19,1628374,$145.63,$147.50,$144.57
07/26/2024,$145.65,3204947,$142.86,$146.40,$141.00
07/25/2024,$147.37,2490088,$151.65,$151.86,$146.14
07/24/2024,$151.66,1568091,$154.75,$155.61,$151.49
07/23/2024,$155.09,1128317,$155.18,$156.725,$154.87
07/22/2024,$155.56,1347930,$155.33,$156.6799,$154.10
07/19/2024,$155.17,1168831,$155.66,$155.98,$154.21
07/18/2024,$154.60,1414604,$156.37,$157.22,$154.23
07/17/2024,$156.83,2012370,$161.24,$162.33,$156.18
07/16/2024,$162.33,1192944,$160.39,$162.58,$159.2712
07/15/2024,$159.50,943399,$158.93,$159.70,$157.54
07/12/2024,$158.35,1284221,$158.55,$159.57,$158.05
07/11/2024,$157.73,1678382,$157.70,$160.46,$157.01
07/10/2024,$155.63,1459771,$154.00,$155.78,$153.26
07/09/2024,$153.30,1080441,$153.75,$154.13,$151.61
07/08/2024,$153.66,1149357,$151.49,$153.99,$151.43
07/05/2024,$151.44,1261809,$151.80,$152.515,$150.35
07/03/2024,$151.71,879721,$153.38,$154.06,$151.70
07/02/2024,$152.91,1162857,$152.18,$153.78,$151.92
07/01/2024,$152.13,1483900,$151.95,$152.93,$150.61
06/28/2024,$152.05,3406272,$150.43,$153.25,$150.25
06/27/2024,$148.72,1660919,$147.57,$150.29,$146.91
06/26/2024,$146.89,1748629,$147.50,$148.42,$145.93
06/25/2024,$146.44,1218783,$146.96,$147.4693,$145.295
06/24/2024,$147.01,1502578,$148.73,$150.93,$146.84
06/21/2024,$148.35,3589364,$148.225,$148.50,$145.91
06/20/2024,$147.89,1315063,$149.28,$150.61,$147.695
06/18/2024,$149.56,1095749,$150.35,$151.14,$149.38
06/17/2024,$149.01,1192236,$149.06,$150.55,$148.50
06/14/2024,$149.92,1000378,$149.11,$150.85,$148.5801
06/13/2024,$149.76,1496252,$150.68,$151.15,$149.42
06/12/2024,$149.59,1748242,$152.97,$153.02,$149.07
06/11/2024,$149.88,1337616,$148.89,$150.51,$148.4343
06/10/2024,$149.09,1506778,$146.25,$149.46,$145.36
06/07/2024,$146.35,1070138,$145.27,$147.21,$144.76
06/06/2024,$147.12,807573,$147.30,$147.51,$146.18
06/05/2024,$147.36,1047210,$145.65,$147.38,$144.68
06/04/2024,$145.12,1403919,$142.93,$146.05,$141.94
06/03/2024,$143.04,1196176,$145.35,$145.655,$142.46
05/31/2024,$145.34,3657140,$144.93,$145.64,$142.92
05/30/2024,$144.04,1235296,$142.86,$144.62,$141.95
05/29/2024,$141.43,1340127,$142.43,$142.88,$140.27
05/28/2024,$143.77,1191348,$143.87,$144.04,$142.755
05/24/2024,$142.77,1122255,$142.97,$143.09,$141.10
05/23/2024,$142.25,2249209,$144.00,$144.82,$141.89
05/22/2024,$143.15,1512890,$143.97,$143.99,$142.135
05/21/2024,$144.26,1148626,$143.00,$144.56,$142.50
05/20/2024,$143.35,993883,$143.54,$145.25,$142.40
05/17/2024,$143.83,1556039,$145.44,$145.48,$143.53
05/16/2024,$144.94,1748001,$144.64,$146.21,$143.16
05/15/2024,$144.64,2563273,$145.04,$145.32,$142.43
05/14/2024,$141.86,1758246,$143.43,$143.91,$141.26
05/13/2024,$143.09,1722271,$142.21,$143.18,$140.49
05/10/2024,$141.46,2950678,$143.38,$144.22,$139.62
