Date,Close/Last,Volume,Open,High,Low
09/06/2024,$21.99,4573961,$22.10,$22.14,$21.73
09/05/2024,$22.09,4152936,$22.36,$22.5601,$22.05
09/04/2024,$22.18,5290718,$22.25,$22.405,$22.11
09/03/2024,$22.20,7452833,$22.11,$22.315,$22.07
08/30/2024,$22.28,10247270,$22.23,$22.495,$22.095
08/29/2024,$22.13,7088183,$22.04,$22.16,$21.6556
08/28/2024,$22.04,4730970,$22.20,$22.26,$21.92
08/27/2024,$22.28,4858131,$22.30,$22.45,$22.165
08/26/2024,$22.49,2919055,$22.55,$22.665,$22.425
08/23/2024,$22.46,2747943,$22.20,$22.57,$22.125
08/22/2024,$22.12,4184784,$21.95,$22.1975,$21.85
08/21/2024,$21.89,2114697,$21.85,$21.935,$21.6501
08/20/2024,$21.80,2902571,$21.67,$21.85,$21.56
08/19/2024,$21.70,3134080,$21.51,$21.72,$21.49
08/16/2024,$21.48,2828364,$21.56,$21.625,$21.37
08/15/2024,$21.58,4583912,$21.81,$21.855,$21.535
08/14/2024,$21.79,2667207,$21.97,$21.995,$21.75
08/13/2024,$21.94,3926503,$21.78,$22.03,$21.67
08/12/2024,$21.52,3423282,$21.55,$21.62,$21.32
08/09/2024,$21.63,2728181,$21.49,$21.685,$21.32
08/08/2024,$21.41,3178822,$21.19,$21.48,$21.19
08/07/2024,$21.23,3757422,$21.51,$21.755,$21.195
08/06/2024,$21.38,5274972,$20.72,$21.57,$20.65
08/05/2024,$20.74,6766982,$20.69,$21.145,$20.45
08/02/2024,$21.54,5654679,$21.62,$21.955,$21.335
08/01/2024,$21.73,4469656,$22.04,$22.12,$21.51
07/31/2024,$21.82,7122030,$21.79,$22.19,$21.75
07/30/2024,$21.84,7926655,$21.87,$21.99,$21.62
07/29/2024,$21.85,5210618,$21.88,$22.00,$21.645
07/26/2024,$21.90,8948525,$21.90,$22.015,$20.94
07/25/2024,$20.76,5278663,$20.89,$21.185,$20.745
07/24/2024,$20.76,5141822,$21.05,$21.31,$20.74
07/23/2024,$21.02,5270428,$20.94,$21.17,$20.90
07/22/2024,$21.01,3595636,$20.83,$21.05,$20.73
07/19/2024,$20.90,3158856,$20.99,$20.99,$20.77
07/18/2024,$20.93,2487370,$21.05,$21.42,$20.875
07/17/2024,$21.14,3341167,$21.07,$21.35,$21.0609
07/16/2024,$21.08,4990955,$20.75,$21.08,$20.62
07/15/2024,$20.66,3915594,$20.60,$20.70,$20.485
07/12/2024,$20.54,3850032,$20.52,$20.65,$20.34
07/11/2024,$20.34,7501569,$20.18,$20.53,$20.10
