Date,Close/Last,Volume,Open,High,Low
09/06/2024,$175.38,1175621,$175.40,$177.28,$174.21
09/05/2024,$175.05,1216390,$176.16,$176.86,$173.31
09/04/2024,$176.39,1191976,$180.16,$180.41,$175.42
09/03/2024,$180.25,781906,$185.00,$185.495,$179.19
08/30/2024,$186.03,1631907,$183.12,$186.165,$182.79
08/29/2024,$183.01,898427,$183.48,$185.26,$181.76
08/28/2024,$181.84,379596,$182.53,$183.38,$181.43
08/27/2024,$182.49,425420,$183.06,$183.77,$182.45
08/26/2024,$183.39,653702,$185.30,$186.11,$182.54
08/23/2024,$184.64,414591,$182.74,$185.12,$181.60
08/22/2024,$181.54,389238,$182.10,$182.80,$180.94
08/21/2024,$182.24,459556,$180.74,$182.5704,$180.0659
08/20/2024,$180.07,447842,$181.36,$181.685,$179.705
08/19/2024,$181.70,689353,$180.27,$182.48,$180.00
08/16/2024,$179.83,985084,$178.78,$180.60,$178.445
08/15/2024,$178.97,534873,$179.33,$180.5911,$177.755
08/14/2024,$176.82,579763,$176.49,$177.94,$175.82
08/13/2024,$176.65,536712,$175.03,$177.13,$174.10
08/12/2024,$174.37,428424,$176.30,$176.66,$173.78
08/09/2024,$176.23,635695,$176.27,$176.555,$174.19
08/08/2024,$176.56,647383,$174.32,$176.76,$173.9525
08/07/2024,$172.50,639313,$176.14,$177.74,$172.30
08/06/2024,$174.48,1030357,$173.68,$176.95,$172.59
08/05/2024,$172.74,1092009,$174.29,$174.67,$171.54
08/02/2024,$175.42,976784,$176.88,$176.88,$173.04
08/01/2024,$179.15,917880,$184.02,$185.24,$178.41
07/31/2024,$184.26,1125078,$185.96,$186.74,$183.81
07/30/2024,$184.51,880212,$187.62,$188.59,$184.00
07/29/2024,$186.47,948150,$185.34,$186.92,$183.942
07/26/2024,$185.23,1412003,$185.43,$188.105,$184.515
07/25/2024,$186.32,2544947,$180.10,$188.83,$178.83
07/24/2024,$176.33,1310701,$179.40,$179.685,$176.21
07/23/2024,$180.37,1122458,$181.68,$182.65,$179.96
07/22/2024,$181.15,1416636,$181.99,$183.50,$179.32
07/19/2024,$183.70,856620,$187.53,$188.00,$182.76
07/18/2024,$186.34,1271900,$188.41,$191.53,$186.23
07/17/2024,$189.81,1021309,$190.79,$192.31,$189.635
07/16/2024,$191.49,1312274,$185.55,$191.70,$184.50
07/15/2024,$184.99,797444,$184.62,$187.215,$184.17
07/12/2024,$184.52,836024,$183.74,$185.335,$182.8323
07/11/2024,$182.10,1004116,$180.10,$183.47,$179.99
07/10/2024,$178.56,875216,$175.13,$178.66,$175.10
07/09/2024,$175.13,1002518,$176.12,$176.59,$174.815
07/08/2024,$176.49,705788,$177.50,$178.44,$176.01
07/05/2024,$176.68,798447,$176.43,$176.71,$174.16
07/03/2024,$176.97,514683,$177.41,$178.12,$175.89
07/02/2024,$176.96,951549,$176.95,$177.60,$176.30
07/01/2024,$176.99,868453,$181.70,$181.70,$176.52
06/28/2024,$180.45,1581371,$179.04,$181.48,$178.583
06/27/2024,$178.45,712035,$178.74,$179.68,$177.44
06/26/2024,$178.72,877146,$179.45,$179.89,$177.4201
06/25/2024,$180.06,994214,$184.09,$184.09,$180.01
06/24/2024,$184.40,1041182,$183.21,$186.00,$182.52
06/21/2024,$182.50,1432577,$182.62,$183.00,$180.23
06/20/2024,$183.30,1094990,$182.46,$183.93,$182.14
06/18/2024,$182.79,1332270,$180.40,$182.84,$179.36
06/17/2024,$179.23,933975,$176.80,$180.185,$176.57
06/14/2024,$177.25,1049364,$180.02,$180.62,$174.88
06/13/2024,$181.39,908622,$181.15,$181.60,$178.63
06/12/2024,$181.75,1649272,$178.97,$182.13,$178.59
06/11/2024,$177.27,869657,$177.25,$177.79,$176.08
06/10/2024,$177.95,963838,$176.61,$178.83,$176.61
06/07/2024,$177.22,1050526,$177.51,$178.49,$176.69
06/06/2024,$178.03,1092599,$180.77,$181.575,$177.49
06/05/2024,$180.96,1246633,$179.80,$181.5899,$178.08
06/04/2024,$179.44,1242771,$180.70,$181.42,$178.28
06/03/2024,$181.29,1249981,$184.02,$184.39,$179.335
05/31/2024,$183.82,1718884,$181.49,$184.07,$179.82
05/30/2024,$181.63,850715,$181.94,$182.37,$181.048
05/29/2024,$181.54,969258,$182.00,$183.00,$181.44
05/28/2024,$183.48,1345960,$187.22,$188.64,$182.37
05/24/2024,$184.18,761527,$185.02,$185.43,$183.01
05/23/2024,$184.28,1287249,$187.64,$187.74,$184.03
05/22/2024,$187.55,937237,$186.38,$187.80,$186.19
05/21/2024,$186.06,505245,$184.36,$186.18,$184.01
05/20/2024,$185.08,738689,$184.11,$185.99,$184.11
05/17/2024,$184.09,1688722,$185.00,$185.13,$183.61
05/16/2024,$184.14,889034,$184.92,$185.50,$183.81
05/15/2024,$185.17,720656,$184.59,$186.07,$184.3901
05/14/2024,$183.71,839971,$185.00,$185.465,$183.205
05/13/2024,$184.26,632347,$186.09,$186.50,$184.02
05/10/2024,$185.55,837686,$185.71,$186.21,$184.92
05/09/2024,$184.95,812634,$184.12,$185.01,$183.98
05/08/2024,$183.75,1027475,$181.15,$184.23,$181.11
05/07/2024,$181.83,651417,$182.59,$183.43,$181.61
05/06/2024,$181.73,642623,$180.21,$181.79,$179.80
05/03/2024,$178.99,1273495,$178.50,$179.565,$177.28
05/02/2024,$177.55,922393,$178.42,$179.58,$175.42
05/01/2024,$177.85,2151176,$179.19,$179.6143,$176.7325
04/30/2024,$179.30,1959422,$180.00,$182.33,$179.16
04/29/2024,$180.04,969475,$180.00,$181.06,$179.19
04/26/2024,$180.17,1104050,$179.38,$181.49,$178.86
04/25/2024,$179.11,2304047,$175.95,$181.49,$174.305
04/24/2024,$171.44,1287473,$171.56,$173.21,$170.51
04/23/2024,$172.29,854216,$171.32,$172.95,$170.85
04/22/2024,$170.28,867532,$170.08,$171.67,$169.1447
04/19/2024,$169.84,1257049,$169.09,$170.68,$168.55
04/18/2024,$168.61,947178,$170.38,$170.75,$168.33
04/17/2024,$169.50,1024422,$172.17,$173.01,$168.20
04/16/2024,$171.16,852649,$170.16,$172.02,$169.34
04/15/2024,$170.67,626016,$174.88,$174.88,$169.82
04/12/2024,$172.06,653843,$171.59,$173.02,$171.21
04/11/2024,$173.28,617031,$174.51,$174.82,$172.53
04/10/2024,$173.83,859063,$174.85,$175.65,$173.23
04/09/2024,$177.35,809588,$177.19,$177.84,$174.91
04/08/2024,$176.08,1061980,$176.48,$177.215,$176.04
04/05/2024,$175.84,828393,$173.62,$176.42,$173.01
04/04/2024,$173.20,979187,$175.92,$176.85,$172.34
04/03/2024,$174.35,1281710,$173.16,$175.30,$172.67
04/02/2024,$173.73,804257,$175.73,$176.40,$173.54
04/01/2024,$175.53,746543,$177.02,$177.335,$175.15
03/28/2024,$177.19,879498,$177.40,$178.015,$176.46
03/27/2024,$177.22,770101,$175.53,$177.37,$174.97
03/26/2024,$174.78,1080879,$175.53,$176.67,$174.64
03/25/2024,$175.36,748526,$176.42,$177.71,$175.20
03/22/2024,$176.41,994258,$178.14,$178.2554,$176.07
03/21/2024,$177.90,2048552,$175.73,$178.28,$175.32
03/20/2024,$175.55,935827,$174.58,$176.30,$173.71
03/19/2024,$175.14,747273,$174.36,$176.10,$174.36
