Date,Close/Last,Volume,Open,High,Low
09/06/2024,$408.49,618343,$409.78,$415.83,$404.61
09/05/2024,$410.26,846763,$407.83,$417.645,$406.34
09/04/2024,$405.53,542826,$402.54,$411.3799,$400.70
09/03/2024,$403.55,652415,$412.43,$415.50,$401.31
08/30/2024,$414.21,579966,$414.37,$415.7193,$412.01
08/29/2024,$412.96,676092,$415.00,$416.47,$405.685
08/28/2024,$416.09,479297,$417.92,$419.20,$414.59
08/27/2024,$418.41,565606,$422.09,$422.81,$416.19
08/26/2024,$424.48,683456,$425.00,$431.19,$423.43
08/23/2024,$425.28,833479,$418.84,$426.74,$416.50
08/22/2024,$416.23,749348,$427.68,$427.68,$415.49
08/21/2024,$427.70,645545,$428.40,$431.94,$424.41
08/20/2024,$427.06,860369,$432.66,$436.41,$423.11
08/19/2024,$432.84,997751,$442.92,$444.565,$429.49
08/16/2024,$442.91,502661,$443.51,$445.16,$438.23
08/15/2024,$444.58,423331,$446.04,$448.27,$442.68
08/14/2024,$442.24,334816,$444.62,$445.16,$439.18
08/13/2024,$441.30,750399,$446.00,$449.1199,$436.19
08/12/2024,$444.90,474542,$437.50,$447.64,$435.95
08/09/2024,$438.40,442665,$438.00,$440.55,$434.58
08/08/2024,$437.61,532201,$427.93,$440.8599,$427.93
08/07/2024,$427.57,573543,$429.66,$435.75,$425.86
08/06/2024,$428.98,657945,$433.26,$437.50,$427.67
08/05/2024,$429.22,769763,$419.55,$438.07,$418.00
08/02/2024,$429.00,550942,$423.60,$429.00,$420.73
08/01/2024,$426.64,590142,$430.00,$431.54,$421.77
07/31/2024,$428.70,842824,$435.00,$435.00,$425.37
07/30/2024,$429.15,524362,$427.82,$431.0185,$425.42
07/29/2024,$428.13,759428,$422.65,$430.61,$417.47
07/26/2024,$417.45,810348,$425.00,$425.86,$415.09
07/25/2024,$425.17,958140,$423.84,$426.11,$417.23
07/24/2024,$424.73,1087678,$422.00,$427.35,$418.73
07/23/2024,$422.94,1605906,$418.77,$433.38,$417.00
07/22/2024,$415.55,1651205,$403.12,$419.035,$401.30
07/19/2024,$404.17,1613474,$407.34,$411.72,$400.03
07/18/2024,$409.04,3127805,$409.80,$434.98,$406.16
07/17/2024,$473.27,956478,$486.36,$489.4001,$472.60
07/16/2024,$489.85,573021,$485.00,$492.6299,$482.88
07/15/2024,$483.03,581330,$491.60,$492.82,$482.85
07/12/2024,$491.48,720592,$476.68,$496.23,$476.68
07/11/2024,$473.09,421256,$481.11,$485.01,$472.19
07/10/2024,$477.99,626422,$477.90,$480.02,$470.50
07/09/2024,$477.83,757492,$500.35,$501.445,$476.87
07/08/2024,$500.33,614328,$508.57,$509.09,$498.3925
07/05/2024,$493.73,362634,$494.89,$496.85,$490.29
07/03/2024,$497.33,221324,$493.77,$500.93,$492.90
07/02/2024,$492.61,443368,$504.72,$504.72,$491.07
07/01/2024,$505.35,472224,$516.37,$516.37,$498.41
06/28/2024,$516.33,882798,$516.29,$521.495,$512.85
06/27/2024,$515.99,267021,$519.92,$519.995,$514.32
06/26/2024,$519.37,255030,$526.66,$526.66,$519.35
06/25/2024,$527.87,332999,$532.52,$532.76,$522.87
06/24/2024,$533.42,500161,$520.77,$535.26,$518.5801
06/21/2024,$521.83,859944,$526.94,$527.83,$514.04
06/20/2024,$525.00,401506,$534.00,$534.00,$522.42
06/18/2024,$533.64,356287,$532.25,$535.98,$527.82
06/17/2024,$532.16,427949,$522.28,$534.4499,$520.875
06/14/2024,$521.41,374150,$525.20,$529.7299,$521.40
06/13/2024,$528.75,401646,$538.37,$538.37,$524.28
06/12/2024,$531.40,387846,$532.04,$538.44,$529.72
06/11/2024,$527.95,411033,$526.55,$528.20,$519.87
06/10/2024,$526.55,511521,$513.00,$526.93,$511.505
06/07/2024,$513.55,269135,$511.51,$518.434,$510.53
06/06/2024,$513.69,319504,$519.26,$522.02,$510.3854
06/05/2024,$517.10,367203,$521.94,$524.27,$516.42
06/04/2024,$520.98,485837,$522.77,$527.175,$516.55
06/03/2024,$522.98,682844,$505.50,$524.24,$504.00
05/31/2024,$508.58,966445,$508.58,$509.62,$499.50
05/30/2024,$509.10,332669,$514.24,$514.95,$503.89
05/29/2024,$510.01,478576,$507.50,$510.8299,$505.27
05/28/2024,$509.08,411691,$500.82,$509.45,$500.82
05/24/2024,$502.16,368274,$503.74,$505.56,$500.745
05/23/2024,$502.13,442088,$513.38,$513.38,$501.21
05/22/2024,$511.92,338333,$513.63,$515.09,$508.35
05/21/2024,$513.72,202857,$517.23,$518.00,$511.145
05/20/2024,$516.08,268602,$513.10,$518.25,$511.58
05/17/2024,$513.03,343515,$514.09,$519.99,$512.18
05/16/2024,$513.30,389977,$514.29,$521.6899,$512.75
05/15/2024,$517.68,503414,$511.68,$521.67,$511.68
05/14/2024,$510.71,411374,$511.04,$514.10,$503.03
05/13/2024,$510.24,439506,$519.35,$522.7399,$509.79
05/10/2024,$518.65,224527,$519.69,$522.135,$516.40
05/09/2024,$517.26,268637,$517.09,$520.5599,$514.48
05/08/2024,$516.67,399446,$515.48,$522.12,$515.48
05/07/2024,$517.23,496024,$520.89,$522.81,$517.05
05/06/2024,$522.38,419280,$516.87,$525.615,$515.17
05/03/2024,$514.33,583565,$518.30,$518.9899,$509.08
05/02/2024,$512.70,470021,$517.32,$520.015,$511.695
05/01/2024,$516.42,690470,$525.58,$528.99,$515.00
