Date,Close/Last,Volume,Open,High,Low
09/06/2024,$157.43,1150677,$158.98,$160.64,$156.9514
09/05/2024,$157.94,1208511,$160.00,$160.39,$157.58
09/04/2024,$159.35,1002658,$158.24,$159.745,$157.995
09/03/2024,$158.25,1064171,$157.79,$159.2886,$157.30
08/30/2024,$158.15,1103482,$156.88,$158.65,$156.88
08/29/2024,$156.75,1308827,$157.50,$158.74,$155.78
08/28/2024,$156.96,1274967,$156.13,$157.89,$155.64
08/27/2024,$156.74,767893,$155.92,$156.87,$155.31
08/26/2024,$156.20,962748,$154.39,$157.11,$154.39
08/23/2024,$154.07,969386,$154.96,$156.03,$153.745
08/22/2024,$153.90,902063,$155.69,$156.58,$153.23
08/21/2024,$155.63,1195996,$155.77,$156.30,$154.73
08/20/2024,$155.15,3235723,$151.50,$157.30,$151.00
08/19/2024,$149.68,1517251,$143.92,$149.86,$143.91
08/16/2024,$143.36,768076,$143.84,$144.66,$143.08
08/15/2024,$144.25,955544,$142.19,$144.87,$141.82
08/14/2024,$140.82,1063791,$143.44,$143.44,$140.50
08/13/2024,$144.20,760743,$142.47,$145.06,$142.17
08/12/2024,$142.08,601255,$143.19,$143.6341,$141.56
08/09/2024,$143.10,954324,$144.67,$144.81,$142.68
08/08/2024,$144.49,936525,$141.84,$145.00,$141.6101
08/07/2024,$141.86,1665596,$142.96,$145.26,$141.66
08/06/2024,$143.47,1203033,$141.91,$144.56,$141.64
08/05/2024,$141.22,1662190,$141.80,$143.05,$140.10
08/02/2024,$144.03,2066736,$145.00,$145.00,$141.22
08/01/2024,$145.35,1613776,$147.03,$147.26,$142.87
07/31/2024,$146.29,1841485,$148.11,$148.22,$146.03
07/30/2024,$148.14,1180563,$146.86,$148.92,$145.67
07/29/2024,$146.75,1486116,$142.25,$146.81,$141.02
07/26/2024,$142.27,1185667,$143.00,$143.72,$141.88
07/25/2024,$141.90,1352119,$139.64,$142.37,$139.12
07/24/2024,$139.43,1430945,$140.06,$140.15,$138.21
07/23/2024,$140.20,1477873,$142.54,$143.80,$140.14
07/22/2024,$143.60,1320515,$142.89,$143.71,$139.98
07/19/2024,$142.86,1008444,$143.36,$143.36,$141.19
07/18/2024,$142.87,1681721,$145.61,$146.20,$141.68
07/17/2024,$147.35,1171111,$144.85,$148.66,$144.85
07/16/2024,$145.32,1190468,$143.43,$145.82,$142.57
07/15/2024,$143.27,1299874,$142.90,$144.11,$142.19
07/12/2024,$142.27,1226861,$140.72,$142.95,$140.21
07/11/2024,$139.96,1473626,$136.03,$140.48,$135.865
07/10/2024,$138.06,2387003,$138.98,$139.20,$136.92
07/09/2024,$140.29,1517400,$144.50,$144.96,$140.19
07/08/2024,$144.79,910710,$146.28,$146.561,$144.50
07/05/2024,$145.22,952820,$145.13,$145.50,$144.245
07/03/2024,$145.42,603932,$145.54,$146.675,$144.67
07/02/2024,$146.77,1066312,$148.68,$149.00,$146.53
07/01/2024,$148.33,898901,$151.81,$151.81,$147.71
06/28/2024,$151.32,1701216,$152.40,$153.75,$150.95
06/27/2024,$152.12,1104479,$152.35,$153.11,$150.46
06/26/2024,$152.13,959280,$152.18,$152.385,$150.255
06/25/2024,$153.09,1009669,$154.33,$155.03,$152.46
06/24/2024,$154.13,1605122,$153.31,$154.94,$152.30
06/21/2024,$153.28,2668375,$155.00,$155.00,$151.75
06/20/2024,$154.29,2727622,$157.48,$158.00,$151.81
06/18/2024,$151.96,2335369,$153.49,$154.86,$151.67
06/17/2024,$153.58,2551210,$148.81,$154.55,$148.59
06/14/2024,$148.78,1229208,$146.82,$148.80,$146.19
06/13/2024,$147.48,1208256,$145.59,$147.64,$145.31
06/12/2024,$147.19,1320160,$147.64,$148.88,$146.86
06/11/2024,$146.61,920322,$147.02,$147.16,$145.76
06/10/2024,$147.68,930317,$148.40,$148.855,$147.25
06/07/2024,$148.54,937500,$149.21,$150.63,$148.23
06/06/2024,$150.11,710623,$150.25,$151.37,$149.60
06/05/2024,$150.61,822640,$149.72,$150.9999,$147.74
06/04/2024,$149.81,790532,$150.48,$151.46,$149.63
06/03/2024,$151.14,932190,$149.85,$152.44,$149.3825
05/31/2024,$150.39,1532535,$148.11,$150.47,$147.6115
05/30/2024,$148.05,753900,$146.74,$148.42,$146.22
05/29/2024,$145.98,964074,$147.41,$148.41,$145.75
05/28/2024,$148.32,1348682,$147.52,$149.72,$147.18
05/24/2024,$147.60,843680,$148.28,$148.5548,$147.15
05/23/2024,$147.66,921188,$148.76,$148.80,$146.63
05/22/2024,$148.71,1189926,$149.16,$149.60,$148.21
05/21/2024,$149.69,942669,$152.24,$152.27,$149.50
05/20/2024,$151.98,969374,$154.08,$154.4225,$151.90
05/17/2024,$154.00,1191434,$153.07,$154.09,$151.735
05/16/2024,$151.42,1056863,$152.22,$152.795,$150.92
05/15/2024,$151.78,1181533,$149.29,$151.93,$148.96
05/14/2024,$148.94,1119786,$150.19,$151.46,$148.03
05/13/2024,$149.06,1354728,$148.58,$150.01,$148.06
05/10/2024,$148.25,1082397,$147.27,$149.295,$147.27
05/09/2024,$146.92,950078,$148.05,$148.39,$146.3607
05/08/2024,$147.98,1226027,$146.25,$148.05,$145.77
05/07/2024,$147.03,1557809,$147.66,$148.6817,$146.25
05/06/2024,$147.48,1545207,$149.70,$150.38,$147.225
05/03/2024,$149.25,1864340,$148.79,$149.78,$147.77
05/02/2024,$147.86,2574655,$151.69,$151.69,$147.46
05/01/2024,$151.15,1556857,$152.50,$153.00,$149.74
04/30/2024,$153.41,1329734,$154.58,$155.30,$153.27
04/29/2024,$155.49,970147,$156.91,$157.03,$155.12
04/26/2024,$156.10,886615,$155.83,$158.19,$155.81
04/25/2024,$156.54,1550668,$156.27,$157.31,$154.75
04/24/2024,$156.61,969954,$155.45,$156.92,$155.33
04/23/2024,$155.90,876714,$155.39,$156.35,$154.60
04/22/2024,$154.55,1235387,$153.27,$155.24,$152.68
04/19/2024,$152.50,960628,$152.39,$153.81,$152.275
04/18/2024,$152.29,890347,$154.01,$154.01,$152.06
04/17/2024,$152.97,1093802,$154.77,$155.23,$152.28
04/16/2024,$154.14,1066502,$153.94,$155.005,$152.435
04/15/2024,$154.06,1126647,$153.64,$155.265,$153.41
04/12/2024,$153.05,1423531,$154.31,$154.5599,$151.54
04/11/2024,$155.01,1290615,$156.26,$156.41,$153.31
04/10/2024,$155.90,1089869,$156.63,$156.63,$154.8901
04/09/2024,$158.31,927093,$156.88,$158.40,$156.22
04/08/2024,$157.94,1484583,$156.42,$158.77,$156.42
04/05/2024,$156.35,1467803,$158.10,$158.16,$156.25
04/04/2024,$158.51,1827459,$163.88,$165.50,$157.99
04/03/2024,$162.98,1230662,$163.99,$164.605,$162.70
04/02/2024,$163.98,1071979,$166.74,$167.16,$163.475
04/01/2024,$167.24,1478891,$166.70,$167.76,$165.21
03/28/2024,$167.15,975000,$167.45,$168.00,$166.91
03/27/2024,$166.97,1129140,$163.85,$166.98,$163.85
03/26/2024,$163.50,1309280,$163.39,$164.775,$162.37
03/25/2024,$162.70,2116154,$164.21,$164.84,$162.05
03/22/2024,$165.11,1675947,$164.10,$165.67,$162.535
03/21/2024,$163.24,3892119,$164.73,$168.08,$162.21
03/20/2024,$174.58,1359272,$174.28,$175.12,$173.81
03/19/2024,$174.09,1121455,$173.14,$174.425,$172.66
03/18/2024,$172.87,1195942,$171.00,$173.745,$171.00
03/15/2024,$171.96,2552517,$170.92,$173.80,$170.92
03/14/2024,$171.77,889892,$174.41,$174.70,$170.75
03/13/2024,$174.57,1080484,$172.80,$175.41,$172.80
03/12/2024,$172.32,805342,$171.38,$172.96,$171.225
03/11/2024,$171.81,853892,$170.90,$172.58,$170.36
03/08/2024,$171.57,870479,$172.75,$173.645,$171.21
03/07/2024,$173.19,1275336,$175.93,$176.105,$172.32
03/06/2024,$175.89,799506,$174.02,$176.055,$173.805
03/05/2024,$174.41,898962,$173.80,$176.08,$173.435
03/04/2024,$174.05,1542044,$172.50,$176.835,$171.975
03/01/2024,$171.29,866078,$170.62,$171.35,$169.04
02/29/2024,$170.71,1544066,$171.42,$171.42,$168.865
02/28/2024,$170.45,941723,$169.47,$170.93,$169.09
02/27/2024,$169.53,1335995,$169.69,$170.81,$168.9835
02/26/2024,$169.54,1147651,$170.00,$170.95,$169.4401
02/23/2024,$169.51,872637,$168.04,$169.815,$168.04
02/22/2024,$168.47,1283454,$167.60,$168.91,$166.975
02/21/2024,$166.44,964139,$165.46,$167.595,$165.445
02/20/2024,$165.31,1567464,$161.88,$167.04,$161.88
02/16/2024,$162.46,998696,$161.82,$165.36,$161.761
02/15/2024,$162.38,787272,$161.77,$163.165,$160.54
02/14/2024,$161.15,877838,$162.61,$162.61,$160.00
02/13/2024,$162.29,976935,$163.34,$163.34,$160.85
02/12/2024,$165.35,1081689,$167.50,$167.94,$164.80
02/09/2024,$167.66,574786,$167.96,$168.495,$167.1601
02/08/2024,$168.18,586414,$167.04,$169.00,$166.06
02/07/2024,$166.04,978173,$166.76,$168.32,$165.95
02/06/2024,$165.92,1065789,$164.43,$167.68,$163.94
02/05/2024,$164.51,845416,$165.39,$165.605,$162.91
02/02/2024,$166.52,881070,$166.39,$167.415,$164.30
02/01/2024,$167.23,1108280,$163.23,$167.23,$162.515
01/31/2024,$162.58,1033719,$164.86,$165.68,$162.24
01/30/2024,$163.79,1004149,$163.22,$163.965,$162.20
01/29/2024,$163.62,889735,$161.08,$163.62,$160.58
01/26/2024,$160.99,556066,$162.50,$162.91,$160.61
01/25/2024,$162.12,851369,$162.21,$162.91,$161.11
01/24/2024,$161.66,1184457,$162.06,$162.59,$159.98
01/23/2024,$161.66,794225,$162.16,$163.065,$160.82
01/22/2024,$161.59,1119274,$159.63,$161.9275,$159.02
01/19/2024,$159.24,1004551,$160.36,$160.36,$157.655
01/18/2024,$159.92,848633,$158.43,$160.21,$157.15
01/17/2024,$157.71,904861,$156.49,$158.37,$155.66
01/16/2024,$157.17,1428597,$156.53,$157.23,$154.74
01/12/2024,$157.13,976569,$160.29,$160.29,$157.00
01/11/2024,$159.99,1161857,$160.67,$161.13,$156.74
01/10/2024,$161.04,881596,$161.49,$161.85,$159.285
01/09/2024,$161.60,888531,$161.00,$162.02,$160.335
01/08/2024,$163.95,1297712,$162.37,$164.06,$160.795
01/05/2024,$162.08,1003358,$161.15,$162.18,$160.76
01/04/2024,$161.00,1024538,$160.45,$161.655,$160.275
01/03/2024,$160.40,1146272,$162.76,$163.00,$160.31
01/02/2024,$162.28,1298494,$163.43,$165.67,$162.19
12/29/2023,$164.30,772216,$164.19,$164.705,$163.5721
12/28/2023,$164.27,744463,$163.63,$164.74,$163.475
12/27/2023,$163.55,812582,$164.12,$164.12,$162.465
12/26/2023,$163.99,622504,$161.75,$164.10,$161.75
12/22/2023,$161.84,745839,$162.09,$162.50,$161.00
12/21/2023,$162.21,825979,$163.71,$163.71,$161.63
12/20/2023,$162.14,1073219,$164.96,$165.325,$161.93
12/19/2023,$165.46,1175913,$167.78,$168.30,$164.995
12/18/2023,$167.17,1447964,$163.16,$167.24,$162.25
12/15/2023,$162.49,3402940,$155.40,$163.16,$153.51
12/14/2023,$163.09,1892875,$163.69,$164.28,$161.54
12/13/2023,$162.46,967471,$158.93,$162.82,$158.93
12/12/2023,$161.08,785728,$161.60,$162.1347,$160.335
12/11/2023,$161.20,978712,$160.08,$161.62,$158.78
12/08/2023,$158.95,781354,$161.04,$161.37,$158.57
12/07/2023,$161.09,810059,$161.79,$161.79,$160.28
12/06/2023,$161.26,749486,$161.10,$162.50,$160.905
12/05/2023,$160.04,725093,$160.63,$161.3357,$159.59
12/04/2023,$161.00,1026513,$159.50,$161.66,$159.01
12/01/2023,$159.91,803319,$156.48,$160.21,$156.19
11/30/2023,$156.47,767339,$155.63,$156.69,$154.02
11/29/2023,$155.73,785248,$156.26,$156.26,$154.475
11/28/2023,$155.43,754708,$156.55,$156.70,$154.99
11/27/2023,$156.74,757064,$155.70,$157.48,$155.55
11/24/2023,$156.01,399398,$156.41,$157.25,$155.37
11/22/2023,$156.47,769332,$155.76,$158.70,$155.75
11/21/2023,$154.84,641389,$154.21,$155.46,$153.745
11/20/2023,$154.03,801033,$155.37,$155.82,$153.53
11/17/2023,$155.86,784545,$156.38,$156.47,$155.55
11/16/2023,$155.68,813837,$156.04,$157.32,$155.20
11/15/2023,$155.82,902076,$155.00,$155.97,$154.83
11/14/2023,$154.79,800481,$152.48,$154.86,$152.0373
11/13/2023,$151.25,781710,$149.74,$151.56,$149.66
11/10/2023,$150.10,756189,$148.57,$150.32,$148.00
11/09/2023,$148.16,540485,$148.32,$149.09,$147.53
11/08/2023,$147.67,789265,$148.62,$149.46,$147.28
11/07/2023,$148.54,624524,$149.28,$149.28,$147.89
11/06/2023,$149.29,1587178,$149.77,$150.86,$148.69
11/03/2023,$150.71,1119061,$147.48,$151.15,$147.43
11/02/2023,$146.88,894613,$146.69,$148.23,$146.445
11/01/2023,$145.66,1337848,$146.65,$146.92,$144.58
10/31/2023,$145.53,1049911,$144.10,$145.88,$142.885
10/30/2023,$143.35,1142110,$143.51,$144.77,$142.655
10/27/2023,$142.49,1031192,$142.62,$145.525,$142.37
10/26/2023,$142.19,917798,$143.29,$143.95,$141.90
10/25/2023,$142.20,1160782,$142.01,$143.11,$141.71
10/24/2023,$142.09,1191668,$142.70,$143.165,$141.025
10/23/2023,$141.78,1179887,$140.11,$142.55,$139.42
10/20/2023,$140.67,812470,$142.38,$142.50,$140.62
10/19/2023,$142.26,1338937,$142.29,$144.21,$141.23
10/18/2023,$140.72,1084462,$140.29,$141.78,$140.07
10/17/2023,$140.81,1160687,$138.86,$141.25,$138.29
10/16/2023,$138.81,1576433,$135.61,$139.02,$134.93
10/13/2023,$134.00,1340028,$133.91,$134.77,$133.36
10/12/2023,$134.25,1102329,$138.01,$138.01,$133.75
10/11/2023,$137.52,1125791,$138.30,$138.535,$136.275
10/10/2023,$138.21,989756,$137.51,$138.88,$137.04
10/09/2023,$137.08,1209547,$135.94,$137.49,$135.14
10/06/2023,$136.94,1597821,$139.41,$139.86,$136.41
10/05/2023,$141.11,986255,$141.55,$142.23,$140.82
10/04/2023,$141.20,983879,$140.32,$141.66,$139.67
10/03/2023,$139.83,1317713,$141.10,$142.06,$139.24
10/02/2023,$142.41,1178919,$142.70,$143.50,$141.75
09/29/2023,$143.22,989386,$143.99,$144.59,$143.017
09/28/2023,$143.10,925236,$141.80,$143.89,$140.84
09/27/2023,$141.43,1199376,$141.58,$142.56,$140.18
09/26/2023,$141.36,1430828,$140.64,$142.49,$140.64
09/25/2023,$141.27,1356183,$142.59,$143.79,$141.12
09/22/2023,$143.50,1632965,$145.55,$145.8367,$143.37
09/21/2023,$145.49,2465096,$149.53,$150.94,$145.25
09/20/2023,$149.46,1937034,$150.34,$151.995,$149.10
09/19/2023,$149.71,1323702,$148.74,$149.87,$148.30
09/18/2023,$149.10,1233785,$150.51,$151.08,$148.50
09/15/2023,$150.06,1329921,$151.00,$151.155,$149.845
09/14/2023,$151.82,955315,$149.52,$151.94,$148.85
09/13/2023,$148.81,1150934,$148.99,$150.02,$148.03
09/12/2023,$149.74,1081390,$148.00,$149.84,$147.25
09/11/2023,$148.09,1293721,$149.78,$150.13,$147.58
09/08/2023,$149.44,862624,$149.83,$150.97,$149.165
09/07/2023,$149.86,1141317,$148.90,$150.52,$148.69
09/06/2023,$148.95,1353847,$150.81,$151.47,$148.86
09/05/2023,$150.70,1320386,$155.41,$155.41,$150.18
09/01/2023,$155.56,866448,$156.26,$157.16,$154.05
08/31/2023,$155.51,873868,$157.43,$157.50,$155.47
08/30/2023,$157.14,682900,$155.88,$157.49,$155.88
08/29/2023,$155.82,907899,$154.36,$155.95,$154.36
08/28/2023,$155.16,942704,$155.88,$156.40,$154.565
08/25/2023,$155.99,694887,$156.33,$156.58,$155.51
08/24/2023,$155.58,523894,$155.89,$156.91,$155.23
08/23/2023,$156.30,814862,$156.06,$157.19,$154.77
08/22/2023,$156.01,936251,$155.41,$156.29,$154.31
08/21/2023,$155.29,1372991,$158.73,$159.01,$154.175
08/18/2023,$158.47,2383014,$158.00,$159.47,$157.70
08/17/2023,$158.89,1238585,$161.06,$161.50,$158.485
08/16/2023,$160.32,914246,$161.32,$162.17,$159.85
08/15/2023,$161.73,901621,$160.41,$162.11,$160.23
08/14/2023,$161.26,1238586,$160.10,$161.29,$159.695
08/11/2023,$160.49,1169099,$163.06,$163.185,$159.615
08/10/2023,$163.57,689601,$164.32,$166.3175,$163.27
08/09/2023,$163.93,741947,$164.53,$165.10,$163.62
08/08/2023,$164.79,1091757,$163.98,$165.54,$163.63
08/07/2023,$164.79,1027955,$162.99,$164.99,$162.61
08/04/2023,$162.45,1002522,$163.58,$163.94,$161.92
08/03/2023,$162.93,1248141,$163.38,$164.045,$162.39
08/02/2023,$164.13,1107889,$165.17,$166.33,$164.11
08/01/2023,$166.38,1380481,$168.50,$168.64,$166.12
07/31/2023,$168.92,2898475,$167.84,$169.73,$167.60
07/28/2023,$167.52,921663,$171.44,$172.145,$167.09
07/27/2023,$170.26,904714,$168.62,$171.30,$168.34
07/26/2023,$169.02,881957,$168.02,$169.20,$167.08
07/25/2023,$167.82,1033616,$169.25,$170.06,$167.13
07/24/2023,$170.08,1088615,$170.88,$171.36,$169.18
07/21/2023,$170.37,1140945,$173.06,$173.06,$170.34
07/20/2023,$172.18,1002681,$171.96,$172.825,$170.66
07/19/2023,$171.45,904583,$170.71,$172.05,$169.78
07/18/2023,$170.09,951221,$167.42,$170.41,$166.06
07/17/2023,$169.25,853223,$167.86,$169.7217,$167.845
07/14/2023,$167.44,946480,$168.48,$168.48,$166.59
07/13/2023,$168.46,917808,$167.56,$169.30,$167.12
07/12/2023,$166.86,1029541,$167.35,$168.00,$166.44
07/11/2023,$166.56,850398,$166.78,$167.34,$165.99
07/10/2023,$165.95,1091167,$163.63,$166.50,$163.48
07/07/2023,$163.45,928044,$162.68,$164.89,$161.9307
07/06/2023,$164.11,1174693,$163.73,$164.50,$162.33
07/05/2023,$164.95,1445561,$167.00,$167.91,$164.84
07/03/2023,$167.45,631010,$166.81,$168.38,$166.0326
06/30/2023,$167.08,1155213,$165.26,$167.66,$165.26
06/29/2023,$165.30,1104033,$162.18,$165.58,$162.18
06/28/2023,$162.05,1173486,$162.85,$162.94,$161.53
06/27/2023,$163.39,1131646,$161.41,$163.70,$160.79
06/26/2023,$161.59,1644993,$161.63,$162.45,$159.56
06/23/2023,$161.30,2516566,$161.21,$165.545,$160.10
06/22/2023,$162.13,3009315,$161.00,$165.10,$159.145
06/21/2023,$166.41,1518155,$165.41,$167.774,$165.05
06/20/2023,$165.82,1101695,$166.07,$167.1099,$165.10
06/16/2023,$166.01,1927061,$167.49,$168.04,$165.28
06/15/2023,$166.86,1182879,$167.91,$168.98,$166.70
06/14/2023,$167.64,1256099,$166.78,$168.72,$166.375
06/13/2023,$166.04,1068374,$165.29,$166.63,$164.91
06/12/2023,$164.98,1112840,$162.68,$165.15,$162.575
06/09/2023,$161.91,1045164,$163.40,$164.57,$161.80
06/08/2023,$163.36,1167465,$163.82,$164.60,$162.64
06/07/2023,$164.40,1292141,$163.48,$164.98,$163.06
06/06/2023,$163.07,1502534,$160.42,$163.43,$159.70
06/05/2023,$161.04,1330650,$163.42,$163.99,$160.92
06/02/2023,$164.04,1121918,$162.45,$164.43,$161.58
06/01/2023,$161.73,1328863,$159.95,$162.31,$158.71
05/31/2023,$158.52,1970009,$160.14,$160.60,$158.00
05/30/2023,$160.38,1004366,$161.51,$161.9371,$160.05
05/26/2023,$161.28,1159083,$161.52,$163.77,$160.50
05/25/2023,$161.03,1211288,$161.29,$162.185,$160.09
05/24/2023,$160.46,1283888,$160.58,$162.32,$159.965
05/23/2023,$160.57,1286090,$160.51,$161.35,$159.615
05/22/2023,$161.23,1159460,$161.79,$163.42,$161.025
05/19/2023,$161.41,1621976,$162.76,$163.41,$160.54
05/18/2023,$162.14,2024627,$159.00,$162.31,$158.70
05/17/2023,$158.69,1921832,$154.22,$158.86,$153.645
05/16/2023,$153.16,1582283,$151.68,$153.42,$150.495
05/15/2023,$151.89,1216728,$149.30,$151.93,$148.44
05/12/2023,$148.55,1444525,$146.59,$148.91,$146.59
05/11/2023,$147.01,1492114,$148.85,$149.115,$146.29
05/10/2023,$149.06,1346996,$150.56,$151.025,$147.82
05/09/2023,$150.33,904505,$149.85,$151.55,$149.7992
05/08/2023,$150.24,1746739,$152.81,$153.95,$149.87
05/05/2023,$153.09,1225570,$153.32,$154.18,$152.03
05/04/2023,$152.92,1005358,$151.50,$153.065,$151.14
05/03/2023,$151.47,1454327,$151.89,$152.20,$150.52
05/02/2023,$151.83,1140113,$151.46,$152.71,$149.15
05/01/2023,$151.26,1542502,$150.88,$152.19,$150.41
04/28/2023,$151.93,739691,$151.39,$152.41,$150.69
04/27/2023,$151.20,749710,$149.38,$151.31,$148.24
04/26/2023,$148.52,1220997,$146.82,$149.27,$146.745
04/25/2023,$146.46,1201148,$149.53,$149.53,$145.90
04/24/2023,$149.27,1125601,$152.00,$152.25,$148.552
04/21/2023,$151.85,1048161,$150.41,$151.87,$150.2925
04/20/2023,$149.93,902781,$151.34,$151.49,$149.16
04/19/2023,$151.55,840920,$151.84,$152.217,$151.24
04/18/2023,$151.81,736429,$152.46,$153.23,$151.76
04/17/2023,$151.75,996737,$153.13,$153.68,$150.65
04/14/2023,$152.42,746826,$153.24,$154.695,$152.26
04/13/2023,$153.47,1171583,$152.80,$153.81,$152.2055
04/12/2023,$151.74,1461568,$154.28,$154.83,$151.60
04/11/2023,$153.48,1499511,$151.53,$154.45,$151.47
04/10/2023,$151.50,1694905,$149.21,$151.52,$149.0801
04/06/2023,$149.70,1282217,$151.79,$151.79,$149.14
04/05/2023,$153.06,1306096,$152.94,$153.59,$151.84
04/04/2023,$153.09,1415550,$154.00,$154.73,$152.72
04/03/2023,$153.89,1767459,$154.70,$155.40,$153.00
03/31/2023,$155.16,1367418,$154.70,$155.90,$154.10
03/30/2023,$153.88,1308185,$154.60,$155.25,$153.08
03/29/2023,$154.67,1190053,$155.01,$155.35,$153.71
03/28/2023,$154.47,1221793,$154.08,$155.46,$153.19
03/27/2023,$153.80,1580440,$153.88,$155.035,$152.36
03/24/2023,$152.58,1608313,$151.47,$152.83,$149.91
03/23/2023,$150.52,2675453,$151.84,$153.67,$147.75
03/22/2023,$151.05,1751989,$151.70,$154.1407,$151.05
03/21/2023,$152.43,1304825,$151.99,$153.69,$151.555
03/20/2023,$150.63,1500113,$148.69,$151.45,$148.69
03/17/2023,$148.50,4673073,$150.87,$151.12,$147.57
03/16/2023,$150.36,1266918,$146.86,$151.13,$146.53
03/15/2023,$147.76,1922300,$146.25,$148.29,$145.43
03/14/2023,$147.58,2066210,$147.76,$149.96,$146.05
03/13/2023,$146.02,1952736,$142.83,$147.45,$142.83
03/10/2023,$143.97,1073911,$144.91,$146.68,$143.41
03/09/2023,$144.66,1086219,$146.46,$147.50,$144.46
03/08/2023,$145.73,831877,$146.60,$146.60,$143.93
03/07/2023,$146.53,1128805,$148.53,$149.80,$146.21
03/06/2023,$148.27,1066847,$147.65,$148.67,$147.2237
03/03/2023,$147.34,1120835,$147.14,$148.26,$146.50
03/02/2023,$147.14,1046660,$143.47,$147.415,$143.00
03/01/2023,$143.65,971502,$142.49,$143.95,$141.751
02/28/2023,$142.99,1187470,$142.88,$143.66,$142.25
02/27/2023,$142.67,923843,$145.00,$145.28,$142.43
02/24/2023,$144.53,1142899,$146.76,$147.76,$144.19
02/23/2023,$148.28,1092186,$149.13,$149.91,$147.625
02/22/2023,$148.91,1224133,$148.58,$149.96,$146.87
02/21/2023,$147.84,1508483,$146.50,$148.20,$145.65
02/17/2023,$146.09,1422822,$145.35,$147.05,$144.62
02/16/2023,$145.76,1306736,$145.47,$147.72,$144.52
02/15/2023,$146.66,1258281,$145.93,$146.70,$144.98
02/14/2023,$146.31,1239604,$147.91,$148.07,$145.38
02/13/2023,$147.84,1110836,$147.42,$148.61,$144.13
02/10/2023,$147.02,1153365,$147.50,$148.00,$146.36
02/09/2023,$147.76,897238,$149.40,$150.73,$147.34
02/08/2023,$148.45,696822,$148.71,$149.63,$147.785
02/07/2023,$149.59,664124,$148.70,$149.90,$147.65
02/06/2023,$149.79,1027299,$147.51,$149.85,$147.51
02/03/2023,$147.42,736332,$146.50,$148.59,$145.64
02/02/2023,$147.92,1412465,$148.24,$149.25,$146.79
02/01/2023,$147.06,1210952,$148.01,$148.49,$143.94
01/31/2023,$147.97,2240536,$146.69,$148.18,$146.38
01/30/2023,$146.92,889411,$148.01,$149.56,$146.78
01/27/2023,$148.37,852269,$150.00,$150.00,$147.86
01/26/2023,$149.30,802617,$148.21,$149.63,$148.15
01/25/2023,$147.78,872742,$145.22,$147.91,$144.83
01/24/2023,$145.98,940289,$148.43,$148.43,$145.50
01/23/2023,$148.10,652251,$147.87,$148.46,$146.99
01/20/2023,$147.38,848606,$145.97,$147.59,$145.29
01/19/2023,$145.39,1192613,$146.26,$146.69,$145.25
01/18/2023,$146.48,811975,$149.69,$149.87,$146.01
01/17/2023,$149.01,729599,$148.98,$149.92,$148.535
01/13/2023,$149.80,649843,$147.85,$149.93,$147.26
01/12/2023,$148.70,1287230,$150.15,$150.72,$148.22
01/11/2023,$149.65,1427390,$150.81,$152.08,$149.01
01/10/2023,$150.31,1507558,$148.39,$150.70,$148.11
01/09/2023,$148.10,1438419,$146.00,$148.45,$145.9325
01/06/2023,$146.98,1431018,$144.49,$147.32,$144.38
01/05/2023,$144.30,1328813,$143.44,$144.85,$142.03
01/04/2023,$143.03,1229491,$140.50,$143.56,$139.84
01/03/2023,$139.96,1229716,$139.74,$140.18,$137.93
12/30/2022,$138.33,800155,$139.62,$139.74,$137.48
12/29/2022,$140.08,675616,$139.59,$140.41,$139.15
12/28/2022,$138.82,911587,$138.20,$139.77,$137.95
12/27/2022,$137.74,813023,$138.94,$139.20,$137.19
12/23/2022,$138.84,659251,$137.38,$139.35,$136.33
12/22/2022,$137.31,840476,$137.82,$138.19,$136.21
12/21/2022,$138.55,990514,$140.60,$140.94,$138.51
12/20/2022,$139.72,1380690,$138.26,$140.39,$138.10
12/19/2022,$138.45,1901547,$140.07,$140.71,$137.5105
12/16/2022,$139.90,3701101,$132.06,$140.70,$131.90
12/15/2022,$142.86,1586965,$142.98,$143.355,$140.90
12/14/2022,$143.95,1289422,$147.40,$147.50,$142.50
12/13/2022,$145.03,1432203,$147.50,$148.15,$143.68
12/12/2022,$144.49,1371752,$142.80,$144.53,$140.50
12/09/2022,$142.57,974285,$143.28,$144.32,$142.44
12/08/2022,$143.77,1263438,$143.43,$144.49,$142.68
12/07/2022,$142.21,798106,$142.79,$144.62,$142.08
12/06/2022,$142.86,1167947,$143.61,$144.555,$141.66
12/05/2022,$143.54,929420,$144.12,$144.42,$142.76
12/02/2022,$145.48,863540,$143.97,$146.25,$143.0911
12/01/2022,$145.65,1058151,$147.59,$148.01,$145.52
11/30/2022,$146.99,1521226,$145.27,$147.42,$143.75
11/29/2022,$144.96,1179573,$144.55,$146.33,$144.31
11/28/2022,$146.82,769417,$147.82,$149.1185,$146.795
11/25/2022,$148.39,335996,$148.58,$149.035,$147.58
11/23/2022,$148.33,528615,$148.01,$148.73,$147.285
11/22/2022,$147.99,839021,$147.21,$148.36,$146.36
11/21/2022,$146.70,989284,$147.08,$148.07,$146.045
11/18/2022,$147.14,994801,$148.50,$149.80,$145.7355
11/17/2022,$146.05,919897,$144.24,$146.99,$144.01
11/16/2022,$145.43,1446794,$141.98,$145.48,$141.12
