Date,Close/Last,Volume,Open,High,Low
09/06/2024,$123.19,1709129,$124.04,$124.965,$122.95
09/05/2024,$123.66,2609848,$127.31,$127.31,$122.73
09/04/2024,$126.32,709546,$126.08,$127.59,$125.33
09/03/2024,$125.54,793815,$125.00,$126.58,$124.79
08/30/2024,$125.02,656194,$124.78,$125.18,$123.89
08/29/2024,$124.59,580526,$124.40,$124.63,$123.22
08/28/2024,$124.40,701771,$124.26,$125.335,$124.015
08/27/2024,$123.88,549307,$124.50,$125.005,$123.2801
08/26/2024,$124.67,442166,$124.23,$125.51,$123.70
08/23/2024,$123.82,489286,$123.86,$124.15,$123.26
08/22/2024,$123.34,757823,$123.48,$123.83,$122.37
08/21/2024,$123.32,579213,$123.10,$123.79,$122.77
08/20/2024,$122.93,580652,$123.52,$124.015,$122.67
08/19/2024,$123.27,744312,$121.91,$123.36,$121.91
08/16/2024,$121.89,2423752,$122.44,$122.94,$121.44
08/15/2024,$121.98,987658,$121.23,$122.19,$120.765
08/14/2024,$122.03,767569,$120.95,$122.79,$120.5437
08/13/2024,$121.30,743903,$120.99,$121.60,$120.44
08/12/2024,$120.60,639844,$119.62,$120.65,$119.38
08/09/2024,$119.91,634234,$120.05,$120.30,$117.91
08/08/2024,$119.89,804246,$119.25,$120.55,$119.15
08/07/2024,$120.10,1012215,$119.45,$121.37,$118.78
08/06/2024,$119.07,1430692,$118.79,$120.55,$118.13
08/05/2024,$118.79,1099791,$124.27,$124.42,$118.65
08/02/2024,$123.24,1256165,$125.00,$126.76,$121.69
08/01/2024,$123.38,1101916,$121.07,$123.54,$120.47
07/31/2024,$120.53,1046710,$120.69,$120.88,$119.56
07/30/2024,$120.63,807545,$119.01,$120.84,$118.49
07/29/2024,$119.11,882121,$118.21,$119.56,$117.44
07/26/2024,$118.19,1712734,$119.32,$119.32,$117.00
07/25/2024,$118.19,1063497,$118.32,$120.54,$117.21
07/24/2024,$117.91,954024,$117.16,$118.35,$116.39
07/23/2024,$115.90,647171,$117.04,$117.155,$115.80
07/22/2024,$117.21,760917,$116.65,$117.39,$115.97
07/19/2024,$116.09,671547,$117.59,$117.59,$115.4811
07/18/2024,$116.68,1018925,$116.36,$118.58,$116.335
07/17/2024,$117.34,1274864,$115.16,$118.53,$114.77
07/16/2024,$114.70,1118338,$113.58,$114.865,$113.14
07/15/2024,$113.13,1133643,$113.84,$114.83,$112.65
07/12/2024,$114.48,1039226,$113.62,$115.25,$113.25
