Date,Close/Last,Volume,Open,High,Low
09/06/2024,$149.98,752611,$149.16,$151.44,$148.305
09/05/2024,$148.74,609861,$151.23,$151.76,$148.1301
09/04/2024,$151.37,491752,$152.03,$152.34,$149.54
09/03/2024,$151.98,878911,$150.00,$152.01,$148.77
08/30/2024,$150.92,1085976,$152.97,$153.84,$147.583
08/29/2024,$153.24,655191,$153.79,$154.71,$152.15
08/28/2024,$153.58,519563,$154.89,$155.19,$153.53
08/27/2024,$154.85,460983,$154.79,$156.09,$154.4101
08/26/2024,$154.75,491473,$154.00,$156.44,$153.1943
08/23/2024,$153.99,475434,$153.30,$155.56,$152.62
08/22/2024,$152.35,396536,$151.20,$152.37,$149.51
08/21/2024,$150.60,542107,$148.40,$150.699,$147.8246
08/20/2024,$147.58,759804,$151.76,$152.08,$147.37
08/19/2024,$152.17,643098,$150.30,$152.2155,$150.30
08/16/2024,$150.30,680482,$150.00,$151.27,$148.52
08/15/2024,$149.96,933254,$150.07,$151.55,$148.58
08/14/2024,$148.88,1106121,$146.29,$151.05,$145.30
08/13/2024,$145.84,871984,$144.20,$147.91,$144.20
08/12/2024,$143.63,745451,$139.93,$144.59,$139.66
08/09/2024,$140.30,581736,$138.73,$141.07,$136.74
08/08/2024,$138.88,865108,$134.94,$139.50,$133.525
08/07/2024,$133.98,1431817,$142.05,$142.88,$131.76
08/06/2024,$136.99,1280224,$134.58,$140.51,$134.00
08/05/2024,$135.41,785443,$136.72,$138.675,$134.91
08/02/2024,$139.52,602141,$136.21,$140.09,$134.8701
08/01/2024,$137.52,446232,$136.72,$138.14,$135.12
07/31/2024,$136.62,760765,$136.55,$137.80,$134.53
07/30/2024,$136.47,638002,$137.95,$139.3275,$133.61
07/29/2024,$139.16,500884,$137.61,$140.03,$136.94
07/26/2024,$137.41,830983,$143.39,$143.79,$136.30
07/25/2024,$142.50,337679,$143.89,$145.375,$142.28
07/24/2024,$143.81,356375,$142.73,$144.86,$142.17
07/23/2024,$141.86,330391,$141.13,$142.205,$139.89
07/22/2024,$139.96,395772,$137.96,$140.02,$137.96
07/19/2024,$137.95,698407,$136.90,$138.89,$134.48
07/18/2024,$136.06,848479,$140.68,$142.38,$135.71
07/17/2024,$139.68,654101,$137.50,$140.33,$137.015
07/16/2024,$137.72,562492,$136.90,$138.88,$136.44
07/15/2024,$135.95,779101,$140.49,$142.79,$135.51
07/12/2024,$141.55,838537,$140.58,$144.10,$140.52
07/11/2024,$140.25,411652,$140.00,$141.30,$139.56
07/10/2024,$139.37,622752,$138.86,$139.70,$138.23
07/09/2024,$137.92,455985,$137.34,$138.82,$136.75
07/08/2024,$137.38,564286,$136.97,$138.14,$135.84
07/05/2024,$136.45,863502,$137.96,$138.33,$135.77
07/03/2024,$137.95,572044,$139.11,$139.11,$137.48
07/02/2024,$138.45,680777,$138.34,$139.08,$137.09
07/01/2024,$138.61,644252,$139.32,$142.60,$138.48
06/28/2024,$138.57,932041,$140.85,$142.71,$138.23
06/27/2024,$141.45,719894,$141.67,$141.70,$139.24
06/26/2024,$142.16,838144,$142.07,$142.953,$139.86
06/25/2024,$142.92,628812,$143.90,$144.11,$141.62
06/24/2024,$143.88,1129129,$142.04,$144.57,$139.25
06/21/2024,$141.38,5696210,$140.22,$143.08,$136.50
06/20/2024,$140.24,1040699,$141.69,$145.3204,$139.19
06/18/2024,$142.21,819246,$140.60,$142.6693,$140.14
06/17/2024,$141.24,997868,$140.34,$142.77,$138.77
06/14/2024,$141.16,512239,$140.99,$141.32,$139.50
06/13/2024,$142.16,558569,$140.79,$142.80,$139.27
06/12/2024,$142.69,701042,$140.38,$143.62,$139.81
06/11/2024,$139.86,715653,$141.39,$141.53,$139.34
06/10/2024,$141.58,659834,$142.31,$142.68,$139.64
06/07/2024,$143.18,960553,$143.43,$145.41,$142.48
06/06/2024,$143.84,686806,$145.10,$145.77,$143.50
06/05/2024,$145.03,738930,$143.98,$145.6175,$142.725
06/04/2024,$143.31,613208,$145.03,$145.03,$142.115
06/03/2024,$145.61,834227,$146.27,$147.30,$144.28
05/31/2024,$147.12,1349981,$147.07,$147.33,$144.45
05/30/2024,$147.14,920390,$147.08,$147.9275,$145.44
05/29/2024,$146.69,1216455,$142.54,$147.26,$142.11
05/28/2024,$143.67,1178516,$138.05,$144.06,$137.32
05/24/2024,$138.54,1169810,$139.00,$139.50,$136.53
05/23/2024,$132.25,945280,$134.23,$134.65,$131.44
05/22/2024,$134.75,933688,$138.01,$138.70,$134.73
05/21/2024,$138.69,687379,$140.92,$141.26,$138.51
05/20/2024,$140.93,827249,$139.82,$141.435,$138.79
05/17/2024,$139.82,758649,$137.15,$140.45,$137.00
05/16/2024,$136.48,603039,$137.56,$138.56,$136.39
05/15/2024,$137.88,569414,$137.59,$138.275,$136.21
05/14/2024,$137.01,595428,$136.94,$137.14,$135.7075
05/13/2024,$136.59,613353,$137.19,$139.025,$136.42
05/10/2024,$137.52,743556,$138.47,$140.31,$136.71
05/09/2024,$137.94,619091,$136.02,$138.47,$135.50
05/08/2024,$135.85,725130,$137.69,$137.97,$135.64
05/07/2024,$137.69,977496,$136.68,$138.10,$135.40
05/06/2024,$136.87,1442587,$135.48,$138.46,$134.00
05/03/2024,$134.45,2541405,$143.00,$145.04,$131.27
05/02/2024,$142.24,1893560,$141.37,$143.23,$139.72
05/01/2024,$139.75,1127667,$138.11,$140.75,$136.35
04/30/2024,$139.01,947439,$137.62,$139.48,$137.14
04/29/2024,$138.14,990814,$133.23,$139.24,$133.23
04/26/2024,$133.51,477673,$131.70,$134.01,$130.96
04/25/2024,$132.77,519286,$132.57,$133.18,$131.34
04/24/2024,$132.74,472887,$133.10,$134.285,$132.73
04/23/2024,$133.91,402045,$133.01,$135.7125,$132.90
04/22/2024,$132.52,673396,$128.75,$132.72,$128.69
04/19/2024,$127.82,487093,$126.81,$128.535,$125.97
04/18/2024,$126.11,749549,$127.60,$128.57,$125.64
04/17/2024,$127.64,555041,$130.64,$130.64,$126.84
04/16/2024,$129.78,345882,$130.48,$130.98,$128.69
04/15/2024,$129.96,451200,$132.28,$133.077,$129.86
04/12/2024,$130.42,513129,$130.70,$131.82,$129.5201
04/11/2024,$131.40,342290,$132.61,$132.61,$130.7801
04/10/2024,$132.06,454522,$133.01,$134.48,$131.99
04/09/2024,$134.08,310549,$134.60,$134.81,$133.19
04/08/2024,$133.73,383108,$133.72,$134.235,$132.48
04/05/2024,$133.61,474736,$133.18,$134.41,$132.35
04/04/2024,$132.95,555426,$136.40,$136.40,$132.72
04/03/2024,$135.29,489669,$135.15,$136.285,$134.905
04/02/2024,$135.04,926460,$134.74,$136.16,$131.81
04/01/2024,$137.84,455939,$138.14,$138.25,$136.03
03/28/2024,$138.05,608798,$137.00,$138.14,$136.955
03/27/2024,$136.85,251918,$136.41,$137.00,$135.69
