Date,Close/Last,Volume,Open,High,Low
09/06/2024,$103.28,1760628,$104.15,$104.38,$103.21
09/05/2024,$103.79,1538696,$105.00,$105.29,$103.48
09/04/2024,$104.40,1501047,$103.56,$104.94,$103.56
09/03/2024,$103.28,2122586,$101.74,$103.51,$101.55
08/30/2024,$101.56,2366505,$101.00,$101.83,$100.855
08/29/2024,$100.81,1150898,$100.29,$100.86,$99.45
08/28/2024,$100.39,1019536,$99.78,$101.10,$99.43
08/27/2024,$99.59,927271,$100.77,$101.25,$99.51
08/26/2024,$100.90,1221535,$100.93,$101.72,$100.68
08/23/2024,$100.60,1620024,$100.84,$101.09,$100.25
08/22/2024,$100.67,1844957,$100.32,$100.8424,$100.00
08/21/2024,$100.42,1922499,$100.11,$100.78,$100.01
08/20/2024,$100.17,1460744,$100.52,$101.17,$100.06
08/19/2024,$100.41,1837783,$100.30,$100.6744,$99.99
08/16/2024,$100.10,1684765,$99.50,$100.51,$98.975
08/15/2024,$99.23,2757442,$99.90,$100.47,$98.64
08/14/2024,$100.86,1639219,$100.31,$101.49,$99.88
08/13/2024,$101.60,1505744,$102.02,$102.63,$101.325
08/12/2024,$101.94,1238505,$100.735,$101.98,$100.501
08/09/2024,$101.02,1512920,$100.59,$101.13,$99.21
08/08/2024,$100.50,1784635,$100.63,$101.47,$100.11
08/07/2024,$101.19,2139807,$101.00,$102.22,$100.19
08/06/2024,$100.89,1956382,$100.70,$102.165,$100.70
08/05/2024,$100.70,2846485,$102.85,$103.38,$100.57
08/02/2024,$101.83,4425804,$103.15,$105.99,$100.06
08/01/2024,$100.21,2409332,$98.14,$100.26,$97.38
07/31/2024,$97.52,1623371,$98.24,$98.24,$97.05
07/30/2024,$98.16,1127031,$96.79,$98.38,$96.67
07/29/2024,$96.87,1320213,$96.63,$97.09,$95.995
07/26/2024,$96.44,1438755,$96.18,$97.02,$95.96
07/25/2024,$95.92,1920793,$96.45,$97.82,$95.50
07/24/2024,$95.88,2179846,$94.00,$95.92,$93.705
