Date,Close/Last,Volume,Open,High,Low
09/06/2024,$292.08,1344526,$297.05,$299.08,$291.47
09/05/2024,$296.59,891941,$302.61,$302.84,$295.90
09/04/2024,$302.44,791611,$302.52,$302.9886,$300.36
09/03/2024,$302.65,555460,$305.25,$308.535,$299.37
08/30/2024,$307.13,798014,$305.58,$307.32,$300.865
08/29/2024,$303.83,520249,$303.70,$306.31,$300.67
08/28/2024,$303.62,611405,$303.00,$307.69,$300.60
08/27/2024,$303.24,442350,$300.43,$304.37,$300.43
08/26/2024,$301.95,485539,$303.01,$306.88,$301.05
08/23/2024,$302.17,479845,$297.34,$303.88,$295.11
08/22/2024,$296.45,607445,$298.69,$298.69,$293.52
08/21/2024,$298.39,791313,$296.88,$298.43,$292.363
08/20/2024,$296.58,442699,$295.65,$296.89,$292.35
08/19/2024,$295.07,504383,$292.28,$295.66,$290.98
08/16/2024,$292.27,941071,$293.27,$293.34,$290.014
08/15/2024,$293.54,934084,$297.29,$298.58,$290.88
08/14/2024,$296.38,624189,$292.17,$296.79,$289.84
08/13/2024,$292.38,955606,$286.25,$293.13,$284.00
08/12/2024,$283.59,746585,$279.28,$284.17,$278.905
08/09/2024,$278.43,1060233,$280.54,$281.2366,$277.35
08/08/2024,$280.73,974991,$277.13,$281.43,$276.78
08/07/2024,$276.06,981384,$283.13,$285.32,$275.58
08/06/2024,$279.90,1128192,$279.23,$286.19,$276.72
08/05/2024,$278.47,1688144,$279.39,$288.24,$274.66
08/02/2024,$284.63,1464955,$277.88,$287.14,$277.67
08/01/2024,$282.10,846467,$278.60,$284.71,$276.76
07/31/2024,$279.37,604743,$280.00,$282.50,$276.295
07/30/2024,$278.27,627686,$276.99,$280.27,$272.70
07/29/2024,$273.93,610874,$272.44,$276.27,$271.11
07/26/2024,$271.74,615529,$270.73,$272.32,$266.765
07/25/2024,$267.53,649522,$263.05,$273.68,$262.695
07/24/2024,$260.89,641189,$263.72,$265.52,$260.11
07/23/2024,$264.99,510328,$269.00,$269.88,$264.36
07/22/2024,$269.62,796179,$262.90,$270.25,$260.45
07/19/2024,$260.30,1301033,$264.67,$268.62,$259.88
07/18/2024,$264.19,1335168,$264.54,$276.69,$261.1358
07/17/2024,$259.25,942141,$263.37,$264.70,$259.18
07/16/2024,$264.60,651203,$260.00,$264.82,$258.04
07/15/2024,$258.97,586460,$258.86,$262.62,$257.455
07/12/2024,$257.97,640520,$254.80,$260.29,$252.38
07/11/2024,$252.89,886735,$243.93,$253.185,$243.58
07/10/2024,$239.86,747201,$240.92,$241.425,$237.55
07/09/2024,$240.26,467900,$242.54,$242.54,$238.21
