Date,Close/Last,Volume,Open,High,Low
09/06/2024,$383.39,283238,$388.46,$390.7214,$382.92
09/05/2024,$389.50,219186,$396.57,$396.57,$387.21
09/04/2024,$392.50,349333,$396.26,$400.00,$391.94
09/03/2024,$393.27,373286,$391.32,$395.67,$390.00
08/30/2024,$392.24,377360,$391.92,$392.5347,$386.67
08/29/2024,$390.42,296913,$391.05,$392.8399,$387.00
08/28/2024,$389.61,287788,$388.68,$390.55,$384.78
08/27/2024,$388.13,357469,$390.51,$392.8899,$387.84
08/26/2024,$389.46,372071,$395.81,$397.91,$388.97
08/23/2024,$388.63,143220,$384.52,$388.7199,$382.38
08/22/2024,$382.17,179615,$377.87,$382.44,$376.96
08/21/2024,$378.65,132228,$379.21,$379.665,$374.51
08/20/2024,$377.24,285237,$377.95,$379.44,$374.44
08/19/2024,$378.74,150728,$374.85,$378.76,$374.85
08/16/2024,$374.54,196762,$374.37,$376.82,$372.49
08/15/2024,$373.46,207520,$372.08,$374.00,$369.27
08/14/2024,$369.54,166579,$363.11,$370.43,$363.11
08/13/2024,$363.11,217707,$362.90,$365.37,$359.71
08/12/2024,$360.91,387093,$365.40,$365.97,$359.60
08/09/2024,$364.50,280668,$364.29,$364.67,$360.89
08/08/2024,$364.20,310332,$361.48,$366.53,$361.48
08/07/2024,$360.63,378190,$361.06,$363.565,$358.97
08/06/2024,$358.64,586762,$356.50,$362.70,$355.51
08/05/2024,$356.30,610758,$360.67,$361.30,$350.61
08/02/2024,$364.13,407891,$366.22,$370.20,$360.16
08/01/2024,$368.34,841549,$385.00,$388.62,$365.00
07/31/2024,$392.87,494461,$389.25,$397.48,$386.445
07/30/2024,$389.44,385026,$386.99,$392.02,$384.71
07/29/2024,$384.00,378347,$382.08,$385.54,$380.645
07/26/2024,$382.93,332477,$373.80,$385.33,$373.12
07/25/2024,$373.75,466580,$377.88,$384.52,$372.78
07/24/2024,$381.54,235843,$386.57,$388.00,$380.65
07/23/2024,$384.86,182939,$387.89,$389.61,$382.93
07/22/2024,$388.72,213507,$390.51,$390.51,$384.79
07/19/2024,$385.32,916777,$398.79,$399.74,$383.76
07/18/2024,$400.00,224422,$398.80,$406.395,$398.1275
07/17/2024,$398.08,312534,$396.76,$403.875,$395.22
07/16/2024,$394.60,222040,$396.23,$402.01,$393.295
07/15/2024,$396.26,488775,$386.52,$399.44,$385.05
07/12/2024,$381.64,176111,$381.88,$383.79,$378.81
07/11/2024,$379.81,185017,$378.99,$380.15,$375.39
07/10/2024,$378.15,231745,$372.75,$378.45,$372.75
07/09/2024,$372.80,268915,$370.43,$375.90,$370.07
07/08/2024,$373.04,274666,$370.93,$373.76,$370.14
07/05/2024,$362.85,495185,$363.25,$365.58,$358.63
07/03/2024,$364.77,262604,$367.22,$369.145,$360.925
07/02/2024,$369.67,317952,$372.03,$372.90,$367.01
07/01/2024,$378.62,249978,$384.88,$385.76,$376.92
06/28/2024,$381.02,511239,$380.03,$383.485,$377.345
06/27/2024,$380.50,157543,$375.85,$381.24,$375.85
06/26/2024,$376.19,196582,$378.89,$378.89,$372.78
06/25/2024,$381.66,177271,$383.45,$384.44,$379.075
06/24/2024,$382.01,212225,$378.71,$383.605,$375.895
06/21/2024,$377.19,553292,$380.34,$380.34,$375.475
06/20/2024,$380.28,269227,$378.21,$381.65,$378.05
06/18/2024,$377.25,218417,$376.00,$381.19,$372.97
06/17/2024,$376.39,218675,$368.86,$379.15,$366.39
06/14/2024,$367.56,203745,$372.21,$372.77,$365.485
06/13/2024,$374.43,147792,$372.70,$374.70,$368.75
06/12/2024,$373.71,166117,$377.75,$380.68,$370.33
06/11/2024,$379.10,156707,$379.59,$379.83,$376.83
06/10/2024,$381.61,139591,$380.66,$383.18,$378.39
06/07/2024,$382.81,136266,$381.08,$386.98,$381.08
06/06/2024,$379.66,114637,$381.20,$383.52,$379.36
06/05/2024,$380.57,198648,$385.05,$385.05,$377.08
06/04/2024,$384.71,194958,$384.94,$389.66,$383.58
06/03/2024,$386.76,201544,$391.00,$393.24,$383.76
05/31/2024,$390.93,369837,$387.82,$392.05,$387.30
05/30/2024,$388.53,226971,$383.30,$389.6999,$381.9903
05/29/2024,$382.69,228277,$385.71,$386.87,$382.38
05/28/2024,$388.46,202686,$390.76,$392.34,$388.26
05/24/2024,$391.78,98773,$387.65,$391.85,$387.65
05/23/2024,$387.38,317061,$398.79,$399.085,$385.11
05/22/2024,$399.53,259113,$394.58,$400.79,$393.96
05/21/2024,$394.16,296412,$390.49,$394.59,$390.49
05/20/2024,$389.80,227156,$394.04,$394.04,$389.095
05/17/2024,$392.92,261232,$391.27,$393.91,$388.09
05/16/2024,$388.27,353002,$380.54,$389.15,$377.84
05/15/2024,$375.11,201305,$378.56,$380.95,$374.65
05/14/2024,$378.76,219405,$380.51,$380.51,$374.58
05/13/2024,$381.18,191883,$382.41,$384.91,$380.755
05/10/2024,$382.93,145176,$381.41,$385.56,$380.97
05/09/2024,$380.53,140398,$380.49,$382.88,$379.45
05/08/2024,$380.97,196096,$380.74,$383.57,$377.36
05/07/2024,$378.64,319823,$381.16,$381.34,$376.60
05/06/2024,$379.00,290925,$370.97,$379.11,$370.24
05/03/2024,$369.65,194932,$371.06,$371.11,$363.47
05/02/2024,$372.07,531361,$372.08,$373.42,$366.30
05/01/2024,$369.90,566962,$366.63,$375.18,$366.63
04/30/2024,$366.41,563337,$360.00,$367.615,$351.52
04/29/2024,$369.11,424922,$365.00,$369.485,$364.96
04/26/2024,$364.70,294127,$363.85,$366.37,$361.44
04/25/2024,$365.76,330787,$367.25,$370.30,$362.45
04/24/2024,$365.74,335991,$366.32,$367.275,$362.18
04/23/2024,$368.67,285044,$373.87,$374.565,$367.89
04/22/2024,$372.84,233613,$371.30,$376.00,$369.35
04/19/2024,$370.26,425229,$361.88,$370.54,$360.00
04/18/2024,$360.21,399156,$359.70,$362.16,$355.22
04/17/2024,$357.14,446710,$356.87,$358.79,$354.08
04/16/2024,$359.92,302876,$359.92,$361.85,$356.53
04/15/2024,$359.53,207053,$364.65,$368.14,$359.10
04/12/2024,$361.81,243664,$364.49,$368.00,$361.105
04/11/2024,$366.15,343093,$368.35,$371.73,$362.62
04/10/2024,$371.64,289153,$372.80,$376.14,$369.19
04/09/2024,$371.50,307637,$380.66,$380.775,$369.74
04/08/2024,$381.11,220234,$381.27,$384.075,$379.21
04/05/2024,$379.86,251914,$382.04,$384.59,$378.26
04/04/2024,$379.46,289880,$390.48,$391.685,$379.40
04/03/2024,$387.62,374460,$390.95,$391.88,$384.755
04/02/2024,$391.87,305485,$399.57,$400.75,$391.80
04/01/2024,$398.04,191441,$395.95,$399.46,$395.31
03/28/2024,$397.50,241506,$396.57,$399.875,$396.30
03/27/2024,$395.79,245636,$391.52,$396.22,$390.19
03/26/2024,$388.31,279664,$391.00,$393.47,$386.94
03/25/2024,$391.90,253226,$384.58,$392.40,$383.60
03/22/2024,$384.17,271848,$384.83,$385.53,$382.74
03/21/2024,$384.43,479912,$390.54,$390.54,$382.585
03/20/2024,$390.72,349553,$386.51,$390.93,$386.51
03/19/2024,$387.40,246309,$391.18,$393.15,$387.38
03/18/2024,$388.11,384226,$389.53,$392.14,$388.06
03/15/2024,$392.87,844884,$386.59,$393.30,$386.59
03/14/2024,$388.31,247905,$384.79,$388.5005,$384.79
03/13/2024,$386.04,302958,$385.00,$388.19,$383.87
03/12/2024,$383.57,340859,$379.04,$383.89,$378.335
03/11/2024,$379.67,382485,$367.34,$381.36,$365.5949
03/08/2024,$367.70,332627,$365.51,$369.85,$363.34
03/07/2024,$367.50,446942,$369.51,$372.415,$364.545
03/06/2024,$370.18,286010,$368.71,$371.56,$365.79
03/05/2024,$366.93,364319,$368.12,$371.96,$365.80
03/04/2024,$367.50,390295,$369.58,$371.905,$365.49
03/01/2024,$369.92,455314,$368.50,$370.02,$367.08
02/29/2024,$368.88,496928,$369.86,$369.86,$364.22
02/28/2024,$370.35,259301,$368.58,$371.64,$367.395
02/27/2024,$367.71,227865,$365.80,$367.78,$363.575
02/26/2024,$367.00,265936,$370.88,$373.70,$366.41
02/23/2024,$370.88,225480,$370.45,$372.2176,$368.72
02/22/2024,$370.45,507049,$363.99,$372.13,$361.26
02/21/2024,$361.90,456701,$367.00,$369.505,$359.96
02/20/2024,$368.11,388372,$365.93,$372.96,$365.93
02/16/2024,$367.87,392003,$378.47,$379.00,$367.485
02/15/2024,$374.38,453286,$372.43,$376.40,$369.69
02/14/2024,$371.04,444330,$367.70,$373.52,$366.04
02/13/2024,$368.16,704943,$365.00,$372.815,$362.015
02/12/2024,$360.93,413699,$354.57,$364.28,$354.13
02/09/2024,$353.76,691528,$351.74,$355.19,$348.36
02/08/2024,$354.56,1386288,$359.86,$365.01,$343.76
02/07/2024,$383.94,429586,$382.07,$386.28,$380.47
02/06/2024,$380.63,294125,$382.90,$384.37,$380.02
02/05/2024,$381.81,250813,$380.78,$384.29,$378.76
02/02/2024,$381.34,392442,$381.24,$383.60,$379.89
02/01/2024,$378.41,368147,$382.15,$382.17,$375.88
01/31/2024,$384.97,344539,$382.81,$388.50,$382.11
01/30/2024,$379.73,288306,$377.65,$380.00,$377.15
01/29/2024,$377.51,337826,$378.74,$379.6372,$375.815
01/26/2024,$379.75,254947,$376.84,$379.925,$375.913
01/25/2024,$376.56,274630,$376.12,$378.18,$369.50
01/24/2024,$375.01,331068,$374.00,$378.23,$374.00
01/23/2024,$374.99,252667,$374.31,$376.42,$371.79
01/22/2024,$374.70,271329,$373.27,$377.2239,$371.425
01/19/2024,$373.84,340774,$372.56,$377.4058,$371.21
01/18/2024,$368.92,260978,$363.04,$369.45,$361.38
01/17/2024,$365.20,294359,$368.42,$372.78,$364.36
01/16/2024,$369.23,316382,$371.01,$373.09,$367.6452
01/12/2024,$370.43,346911,$375.33,$378.00,$370.39
01/11/2024,$374.37,316143,$370.96,$375.08,$369.64
01/10/2024,$370.50,415867,$365.38,$370.58,$364.68
01/09/2024,$368.51,343136,$372.25,$372.25,$362.6402
01/08/2024,$372.50,437284,$371.87,$374.9999,$364.65
01/05/2024,$371.41,529909,$370.83,$371.53,$365.20
01/04/2024,$367.69,541778,$366.38,$370.37,$364.0801
01/03/2024,$363.95,605742,$362.78,$368.86,$361.29
01/02/2024,$361.65,409425,$355.01,$362.23,$355.00
12/29/2023,$353.58,210474,$352.46,$354.46,$351.0484
12/28/2023,$352.61,214439,$350.00,$354.215,$350.00
12/27/2023,$350.69,377309,$350.00,$352.57,$348.61
12/26/2023,$351.28,355949,$354.94,$355.875,$349.69
12/22/2023,$353.64,277116,$358.00,$360.30,$353.45
12/21/2023,$357.63,395504,$356.36,$358.98,$352.77
12/20/2023,$356.79,388727,$364.04,$366.99,$356.76
12/19/2023,$364.99,483124,$363.61,$369.00,$362.76
12/18/2023,$363.80,697133,$360.01,$368.685,$357.38
12/15/2023,$356.08,935464,$358.38,$363.7199,$353.28
12/14/2023,$360.78,1173038,$384.33,$385.55,$360.31
12/13/2023,$386.83,338625,$396.27,$399.38,$386.592
12/12/2023,$396.13,300150,$391.00,$400.10,$390.26
12/11/2023,$390.73,259670,$386.56,$395.45,$385.315
12/08/2023,$384.78,292472,$384.19,$386.63,$382.245
12/07/2023,$383.36,332179,$390.51,$392.96,$380.84
12/06/2023,$390.37,451986,$397.20,$400.45,$385.51
12/05/2023,$397.19,333464,$397.99,$399.235,$394.3001
12/04/2023,$399.06,517393,$405.68,$408.71,$398.12
12/01/2023,$407.63,288309,$409.23,$413.18,$406.92
11/30/2023,$410.55,1225328,$402.33,$412.47,$402.33
