Date,Close/Last,Volume,Open,High,Low
09/06/2024,$87.50,3868894,$89.71,$90.4347,$87.48
09/05/2024,$90.07,2963749,$92.56,$92.655,$89.43
09/04/2024,$92.41,4040443,$92.01,$93.40,$91.27
09/03/2024,$92.53,4223927,$90.73,$93.05,$90.45
08/30/2024,$91.66,2653517,$90.88,$91.78,$90.155
08/29/2024,$90.57,3190998,$93.10,$93.35,$90.36
08/28/2024,$92.39,3065119,$92.20,$92.59,$91.15
08/27/2024,$92.87,2816981,$94.28,$94.85,$91.66
08/26/2024,$94.50,3193868,$93.50,$95.70,$93.00
08/23/2024,$93.70,5478285,$91.88,$95.175,$91.60
08/22/2024,$91.44,9527071,$95.96,$95.96,$91.32
08/21/2024,$91.51,5145207,$92.05,$93.06,$90.89
08/20/2024,$90.97,10044480,$92.00,$92.25,$87.73
08/19/2024,$92.85,11613990,$95.10,$96.61,$92.36
08/16/2024,$94.97,3905170,$91.86,$95.4104,$91.78
08/15/2024,$95.14,3774364,$93.67,$96.31,$93.415
08/14/2024,$91.63,3716123,$91.15,$92.21,$89.78
08/13/2024,$91.92,6367525,$86.64,$92.15,$86.27
08/12/2024,$86.20,4523818,$89.15,$89.18,$86.05
08/09/2024,$89.15,3447902,$91.32,$91.50,$88.94
08/08/2024,$91.70,4569299,$92.00,$93.13,$91.14
08/07/2024,$91.57,3844995,$94.56,$94.81,$91.40
08/06/2024,$93.37,3540629,$92.69,$94.79,$91.83
08/05/2024,$92.20,4730443,$91.17,$93.04,$90.26
08/02/2024,$95.50,2596078,$96.47,$97.00,$93.52
08/01/2024,$97.12,2072303,$99.66,$100.19,$95.81
07/31/2024,$99.61,2009758,$100.00,$101.34,$98.98
07/30/2024,$99.44,3140544,$98.41,$99.75,$97.74
07/29/2024,$100.73,2286931,$100.40,$101.15,$98.40
07/26/2024,$100.72,2046042,$100.90,$102.17,$99.42
07/25/2024,$99.90,3646216,$99.37,$101.72,$99.13
07/24/2024,$99.80,2468800,$101.93,$102.00,$98.985
07/23/2024,$99.96,2543520,$100.43,$101.21,$99.37
07/22/2024,$101.04,3221347,$98.89,$101.97,$97.59
07/19/2024,$99.18,3803114,$97.00,$99.24,$95.8704
07/18/2024,$96.90,4414101,$101.24,$101.73,$96.75
07/17/2024,$100.68,2267366,$100.80,$102.955,$100.23
07/16/2024,$100.99,2785523,$101.04,$102.39,$100.28
07/15/2024,$101.04,3379744,$102.33,$103.05,$99.80
07/12/2024,$103.36,3050712,$103.02,$104.50,$102.501
07/11/2024,$101.61,4288849,$103.98,$105.59,$101.35
07/10/2024,$102.21,3303844,$103.40,$104.26,$101.95
07/09/2024,$104.21,2691533,$105.92,$106.0299,$103.58
07/08/2024,$106.50,2120910,$106.59,$107.29,$105.49
07/05/2024,$106.35,3075418,$106.75,$107.57,$104.96
07/03/2024,$106.44,1682647,$106.16,$106.80,$105.77
07/02/2024,$105.87,1738994,$105.99,$107.275,$104.48
07/01/2024,$105.38,2995973,$108.37,$108.37,$104.80
06/28/2024,$106.40,7457725,$110.00,$110.185,$104.0101
06/27/2024,$110.86,2747385,$112.94,$113.475,$109.93
06/26/2024,$113.22,1922628,$113.01,$113.8525,$112.12
06/25/2024,$113.88,2624127,$114.86,$115.80,$112.40
06/24/2024,$115.13,2684413,$113.85,$115.82,$113.76
06/21/2024,$113.85,5159016,$113.82,$114.39,$113.14
06/20/2024,$112.70,3118580,$110.21,$112.77,$109.82
