Date,Close/Last,Volume,Open,High,Low
09/06/2024,$108.65,1628396,$113.03,$113.6499,$107.95
09/05/2024,$112.08,1190557,$113.74,$114.74,$111.64
09/04/2024,$113.11,1363620,$111.05,$115.055,$111.00
09/03/2024,$112.91,2353967,$118.63,$119.28,$112.34
08/30/2024,$121.04,1999684,$121.31,$121.998,$118.90
08/29/2024,$121.30,1605949,$123.18,$124.50,$121.01
08/28/2024,$123.65,2326527,$122.20,$125.74,$121.6686
08/27/2024,$122.53,1997652,$121.37,$122.9999,$118.46
08/26/2024,$122.59,3068059,$125.00,$130.08,$122.46
08/23/2024,$123.00,2729010,$117.10,$124.21,$116.64
08/22/2024,$115.49,1259923,$118.38,$119.77,$115.20
08/21/2024,$119.31,1806014,$118.50,$119.8403,$117.26
08/20/2024,$116.98,1020751,$118.72,$119.95,$116.18
08/19/2024,$119.71,2154476,$116.00,$120.80,$115.93
08/16/2024,$116.39,1396506,$116.10,$117.7799,$115.275
08/15/2024,$117.12,2740789,$113.69,$119.70,$112.41
08/14/2024,$111.15,1517651,$113.07,$113.22,$109.27
08/13/2024,$112.52,1754232,$110.00,$112.71,$109.40
08/12/2024,$109.11,1707566,$107.86,$109.8099,$107.0901
08/09/2024,$107.86,2417728,$107.92,$108.80,$105.11
08/08/2024,$108.80,3067281,$102.94,$109.30,$102.67
08/07/2024,$103.42,3294976,$107.04,$108.88,$103.2109
08/06/2024,$101.53,2772357,$102.64,$104.8582,$100.80
08/05/2024,$103.39,3882965,$99.91,$108.46,$96.78
08/02/2024,$105.19,2869094,$105.07,$108.47,$103.31
08/01/2024,$109.68,3263433,$115.77,$118.28,$109.04
07/31/2024,$115.11,3621497,$111.37,$118.59,$110.07
07/30/2024,$109.37,3594995,$114.22,$114.22,$109.23
07/29/2024,$113.72,4495995,$119.08,$120.9899,$112.90
07/26/2024,$119.34,3589529,$120.29,$122.95,$117.24
07/25/2024,$117.52,5068095,$116.06,$121.01,$115.48
07/24/2024,$116.91,14753780,$109.26,$120.18,$107.56
07/23/2024,$103.64,4449823,$102.90,$105.655,$102.88
07/22/2024,$104.74,4204230,$109.14,$109.29,$102.30
07/19/2024,$105.46,3238581,$107.74,$108.6912,$105.315
07/18/2024,$107.945,4928166,$113.62,$115.2275,$105.58
07/17/2024,$111.15,4367010,$112.64,$115.20,$108.62
07/16/2024,$116.17,3620611,$114.61,$116.40,$111.12
07/15/2024,$113.06,5350674,$114.66,$115.8699,$110.35
07/12/2024,$119.34,5640585,$113.51,$119.71,$113.30
07/11/2024,$111.68,6112359,$111.64,$115.29,$108.7501
07/10/2024,$106.75,2975974,$104.81,$107.28,$102.55
07/09/2024,$103.59,3304257,$101.69,$104.755,$100.04
07/08/2024,$102.81,3542872,$98.60,$102.95,$97.76
07/05/2024,$97.14,2858220,$100.69,$101.46,$97.00
07/03/2024,$99.17,3961714,$97.00,$99.18,$95.25
07/02/2024,$95.77,3725621,$96.45,$99.58,$95.21
07/01/2024,$97.26,3124539,$99.50,$99.71,$96.88
06/28/2024,$99.71,5476955,$105.17,$105.55,$98.37
