Date,Close/Last,Volume,Open,High,Low
09/06/2024,$120.35,3144135,$122.00,$122.46,$119.925
09/05/2024,$121.55,3124920,$123.67,$123.805,$121.03
09/04/2024,$122.78,2732426,$123.99,$125.32,$122.4501
09/03/2024,$123.63,3830834,$127.03,$127.27,$123.57
08/30/2024,$128.82,2820225,$128.43,$129.31,$127.60
08/29/2024,$129.98,3152084,$129.37,$130.54,$129.10
08/28/2024,$128.72,1726245,$127.59,$129.26,$127.1687
08/27/2024,$128.56,2151028,$130.49,$130.85,$128.335
08/26/2024,$130.06,2269970,$129.50,$131.18,$128.84
08/23/2024,$126.90,1995815,$126.25,$127.265,$125.4993
08/22/2024,$125.22,2216267,$125.00,$126.43,$124.95
08/21/2024,$124.98,2668768,$126.23,$126.86,$124.925
08/20/2024,$125.25,2867506,$128.29,$128.56,$124.65
08/19/2024,$128.24,1985302,$128.07,$129.81,$127.85
08/16/2024,$128.06,2340017,$127.61,$128.43,$127.31
08/15/2024,$128.12,2037756,$126.57,$128.42,$126.47
08/14/2024,$126.54,2025730,$126.61,$127.10,$125.88
08/13/2024,$126.36,2975935,$127.38,$127.80,$126.00
08/12/2024,$128.77,2931832,$127.20,$128.83,$126.93
08/09/2024,$126.53,3070708,$126.80,$127.155,$125.3034
08/08/2024,$126.79,2667216,$123.44,$126.94,$123.44
08/07/2024,$123.12,2726898,$124.11,$125.38,$122.93
08/06/2024,$122.27,3807686,$122.47,$124.275,$122.16
08/05/2024,$123.12,5001733,$120.59,$124.449,$119.78
08/02/2024,$122.92,6668943,$124.68,$126.04,$119.9999
08/01/2024,$123.11,3083613,$127.12,$128.01,$122.59
07/31/2024,$126.80,3197296,$128.15,$128.57,$126.46
07/30/2024,$126.15,2306456,$125.11,$126.81,$125.11
07/29/2024,$125.18,2343632,$127.50,$127.98,$123.865
07/26/2024,$127.15,2214477,$126.80,$127.77,$125.51
07/25/2024,$127.04,2258392,$125.46,$128.06,$125.30
07/24/2024,$125.10,2209781,$125.91,$126.64,$124.64
07/23/2024,$124.90,3676812,$125.89,$126.175,$124.12
07/22/2024,$126.92,2088100,$128.63,$128.94,$126.84
07/19/2024,$129.25,3215711,$132.40,$132.43,$128.60
07/18/2024,$132.23,2155568,$131.73,$134.74,$131.385
07/17/2024,$132.38,2413519,$130.72,$133.11,$130.71
07/16/2024,$131.52,2925347,$132.34,$133.0704,$131.20
07/15/2024,$132.65,3532443,$130.25,$134.32,$129.65
07/12/2024,$128.95,2032077,$129.35,$129.47,$127.75
07/11/2024,$128.17,2402858,$125.98,$128.53,$125.60
07/10/2024,$126.22,1835337,$125.64,$126.34,$124.94
07/09/2024,$125.67,2860040,$123.88,$126.93,$123.82
07/08/2024,$125.63,2631981,$124.04,$125.66,$123.9133
07/05/2024,$124.94,3354629,$126.55,$127.09,$124.45
07/03/2024,$126.77,1814117,$126.50,$127.39,$126.15
07/02/2024,$126.65,2274652,$127.80,$128.85,$126.08
07/01/2024,$126.54,2496129,$127.70,$127.89,$125.47
06/28/2024,$125.87,4029396,$125.59,$126.07,$124.80
06/27/2024,$124.55,1726714,$125.50,$125.50,$123.665
06/26/2024,$124.58,2297402,$126.02,$126.15,$123.87
06/25/2024,$125.55,1965319,$124.94,$125.68,$123.92
06/24/2024,$125.30,2784258,$122.62,$125.93,$122.50
06/21/2024,$122.05,7884598,$122.84,$122.96,$121.26
06/20/2024,$121.99,2469052,$119.76,$122.079,$119.255
06/18/2024,$119.50,2032355,$119.78,$121.15,$118.77
06/17/2024,$119.08,2388860,$118.24,$119.5898,$117.24
06/14/2024,$118.24,2850281,$119.71,$119.71,$117.17
06/13/2024,$119.10,2253775,$120.51,$120.83,$118.125
06/12/2024,$120.93,2129581,$123.10,$123.23,$120.15
06/11/2024,$122.03,2063539,$120.69,$122.05,$119.79
06/10/2024,$121.59,1717489,$120.60,$122.27,$119.745
06/07/2024,$120.19,2494458,$121.00,$122.09,$120.05
06/06/2024,$121.21,3399811,$120.30,$121.29,$119.60
06/05/2024,$120.31,3406698,$119.88,$120.35,$119.00
06/04/2024,$119.80,4499201,$118.45,$120.04,$117.40
06/03/2024,$119.64,3239567,$124.20,$124.395,$118.40
05/31/2024,$124.55,4082404,$122.54,$124.74,$122.54
05/30/2024,$122.25,3005365,$121.92,$123.2399,$121.38
05/29/2024,$121.92,5506273,$125.97,$126.00,$121.18
05/28/2024,$125.85,3800033,$123.90,$126.10,$123.66
05/24/2024,$123.27,3730896,$124.63,$125.58,$122.98
05/23/2024,$124.03,3373688,$126.66,$127.30,$123.875
05/22/2024,$126.05,3617622,$128.45,$128.45,$125.62
05/21/2024,$128.90,2210955,$129.44,$130.35,$128.73
05/20/2024,$129.86,1933798,$130.23,$130.58,$129.15
05/17/2024,$129.94,2340077,$128.78,$130.26,$128.105
05/16/2024,$127.92,2615545,$128.78,$129.63,$127.89
05/15/2024,$129.09,2561383,$129.00,$129.43,$126.54
05/14/2024,$129.43,2342331,$129.43,$130.18,$128.70
05/13/2024,$129.40,3006039,$130.47,$130.65,$129.34
05/10/2024,$130.10,2821161,$130.81,$131.57,$129.79
05/09/2024,$130.56,3663170,$130.18,$131.06,$129.74
05/08/2024,$129.83,2805312,$129.27,$131.16,$128.9335
05/07/2024,$130.26,3263641,$130.60,$131.51,$130.18
05/06/2024,$130.48,3691090,$130.68,$132.14,$130.24
05/03/2024,$130.02,5660840,$130.92,$132.44,$128.245
05/02/2024,$131.80,4181430,$131.33,$132.32,$130.32
05/01/2024,$129.95,3408109,$131.04,$131.78,$128.87
04/30/2024,$132.13,3554479,$135.69,$135.99,$132.04
04/29/2024,$136.25,2813135,$135.16,$136.50,$135.14
04/26/2024,$135.70,1841074,$135.12,$136.3899,$134.36
04/25/2024,$135.36,3444596,$135.71,$136.325,$133.74
04/24/2024,$135.60,1968259,$134.26,$135.69,$133.255
04/23/2024,$134.80,2055309,$134.02,$135.2889,$132.28
04/22/2024,$133.90,2576845,$132.89,$135.11,$131.67
04/19/2024,$133.17,2489274,$131.79,$134.34,$131.735
04/18/2024,$131.76,2035825,$133.03,$133.134,$130.99
04/17/2024,$132.40,2642930,$132.75,$134.44,$131.2001
04/16/2024,$132.96,3483685,$132.39,$133.03,$130.63
04/15/2024,$132.39,2979236,$133.97,$135.17,$132.30
04/12/2024,$135.29,2656163,$138.50,$139.67,$134.68
04/11/2024,$137.27,3430222,$137.35,$137.72,$135.045
04/10/2024,$137.95,3397532,$136.44,$138.41,$136.17
04/09/2024,$137.06,2807577,$136.58,$137.215,$135.29
04/08/2024,$135.45,3837813,$136.06,$136.675,$134.95
04/05/2024,$135.94,3458839,$134.77,$136.505,$134.255
04/04/2024,$134.03,3354518,$133.93,$134.52,$133.2633
04/03/2024,$133.78,3485913,$133.00,$133.90,$132.29
04/02/2024,$132.24,3598834,$131.00,$132.26,$129.78
04/01/2024,$129.76,2800574,$128.81,$130.14,$127.44
03/28/2024,$127.84,3310524,$127.85,$128.47,$126.90
03/27/2024,$126.39,2197305,$125.37,$126.80,$124.77
03/26/2024,$125.78,2957064,$127.50,$127.73,$125.22
03/25/2024,$127.25,3245977,$125.39,$127.44,$125.17
03/22/2024,$124.84,3152678,$126.15,$126.42,$124.66
03/21/2024,$126.08,2675058,$125.90,$126.28,$125.075
03/20/2024,$125.70,3139454,$124.33,$125.93,$124.00
03/19/2024,$124.64,3304075,$123.52,$125.155,$123.22
03/18/2024,$123.57,2269861,$123.32,$123.705,$121.84
03/15/2024,$122.79,16696740,$123.29,$124.91,$122.74
03/14/2024,$123.79,2970177,$123.26,$123.94,$122.54
03/13/2024,$122.57,2941821,$122.44,$123.56,$121.93
03/12/2024,$120.84,4069326,$120.82,$121.885,$120.48
03/11/2024,$120.82,3784254,$119.22,$121.14,$118.46
03/08/2024,$118.72,3141485,$117.49,$118.89,$117.12
03/07/2024,$117.85,3482085,$116.79,$118.78,$116.7425
03/06/2024,$116.49,3762944,$117.15,$117.38,$115.57
03/05/2024,$116.20,4265052,$115.71,$117.8761,$115.40
03/04/2024,$115.83,5192406,$117.63,$118.15,$115.74
03/01/2024,$116.10,2998396,$115.70,$116.73,$115.29
02/29/2024,$114.46,4341394,$114.76,$115.39,$113.83
02/28/2024,$114.17,3162450,$113.99,$115.29,$112.86
02/27/2024,$113.94,4337085,$113.00,$114.17,$112.11
02/26/2024,$112.05,4035303,$111.53,$113.19,$111.13
02/23/2024,$111.86,6200636,$109.86,$112.88,$109.06
02/22/2024,$116.40,4753383,$115.68,$117.07,$115.26
02/21/2024,$116.36,3111877,$114.30,$117.09,$113.89
02/20/2024,$113.13,3674656,$113.86,$114.29,$112.78
02/16/2024,$113.56,4151067,$114.79,$115.25,$113.44
02/15/2024,$114.25,3082441,$110.95,$114.87,$110.72
02/14/2024,$111.01,2567982,$111.83,$112.58,$110.20
02/13/2024,$111.03,3933578,$113.00,$113.39,$109.88
02/12/2024,$112.85,3786870,$111.68,$113.13,$111.19
02/09/2024,$111.05,2607522,$113.06,$113.75,$110.67
02/08/2024,$113.06,3159700,$112.90,$113.957,$111.8044
02/07/2024,$112.52,2986437,$111.92,$113.23,$111.12
02/06/2024,$111.88,3506508,$110.00,$112.98,$109.675
02/05/2024,$109.65,2957160,$110.17,$110.6061,$108.94
02/02/2024,$110.85,2927413,$112.66,$113.00,$110.38
02/01/2024,$112.60,2569554,$114.20,$115.0175,$111.745
01/31/2024,$113.79,3281858,$116.64,$116.675,$113.73
01/30/2024,$116.78,2947447,$114.32,$116.88,$113.7784
01/29/2024,$114.96,2648511,$115.37,$115.42,$113.7626
01/26/2024,$115.54,2683840,$114.96,$115.58,$113.17
01/25/2024,$114.85,2962508,$112.49,$114.86,$112.00
01/24/2024,$112.09,3527905,$111.10,$112.67,$110.50
01/23/2024,$110.37,2367815,$110.52,$111.91,$110.07
01/22/2024,$110.64,2482856,$109.60,$110.94,$109.04
01/19/2024,$110.17,2838373,$110.00,$110.18,$108.94
01/18/2024,$110.09,3378653,$110.48,$110.80,$109.1283
01/17/2024,$110.63,3282375,$110.50,$111.76,$109.89
01/16/2024,$112.14,3420439,$115.17,$115.17,$111.825
01/12/2024,$116.05,3010827,$117.14,$117.78,$115.32
01/11/2024,$114.98,2133968,$115.30,$115.94,$114.47
01/10/2024,$114.99,3128922,$116.05,$116.08,$114.17
01/09/2024,$116.07,3043402,$118.10,$118.37,$114.79
01/08/2024,$117.77,4244560,$118.17,$118.17,$116.06
01/05/2024,$120.38,2157200,$121.85,$122.06,$119.53
01/04/2024,$121.02,2847481,$125.56,$126.0726,$120.84
01/03/2024,$124.98,2794135,$121.63,$125.44,$121.23
01/02/2024,$121.60,3023003,$121.81,$123.2992,$121.26
12/29/2023,$120.95,1756736,$121.94,$122.09,$120.585
12/28/2023,$121.33,2137211,$123.12,$124.06,$121.29
12/27/2023,$124.27,2568378,$124.00,$125.27,$123.47
12/26/2023,$124.30,1852159,$123.34,$124.81,$122.92
12/22/2023,$122.27,1742029,$122.21,$123.005,$121.403
12/21/2023,$121.08,3841692,$121.66,$121.70,$119.77
12/20/2023,$121.43,3671278,$122.86,$123.975,$121.27
12/19/2023,$122.53,3498875,$121.85,$122.97,$120.864
12/18/2023,$121.62,2875617,$122.75,$123.10,$121.251
12/15/2023,$120.11,7429081,$119.43,$120.65,$118.7948
12/14/2023,$120.60,4842581,$117.87,$121.26,$117.79
12/13/2023,$118.48,5765760,$117.92,$118.87,$116.80
12/12/2023,$117.67,3447879,$117.73,$118.585,$116.78
12/11/2023,$119.20,5004141,$117.56,$119.69,$117.50
12/08/2023,$118.96,3858359,$119.32,$120.53,$118.56
12/07/2023,$118.35,3524534,$120.32,$121.08,$117.96
12/06/2023,$119.75,4613870,$120.75,$122.09,$118.68
12/05/2023,$121.95,3478419,$123.18,$123.5563,$121.46
12/04/2023,$123.00,3000917,$122.55,$123.90,$122.00
12/01/2023,$123.60,2990905,$122.70,$125.63,$122.45
11/30/2023,$123.07,5597879,$124.54,$125.9694,$121.86
11/29/2023,$123.24,3000103,$124.23,$124.39,$122.70
11/28/2023,$123.64,3381045,$123.39,$124.52,$122.69
11/27/2023,$123.00,2384172,$122.66,$123.27,$121.75
11/24/2023,$123.50,1318147,$122.96,$124.17,$122.57
11/22/2023,$123.17,3369570,$120.60,$123.46,$119.095
11/21/2023,$124.25,2281159,$124.29,$124.64,$123.14
11/20/2023,$125.23,3133807,$124.75,$125.72,$124.14
11/17/2023,$124.00,3667551,$121.99,$124.57,$121.49
11/16/2023,$120.70,4075135,$120.91,$121.77,$117.36
11/15/2023,$123.07,3861968,$124.91,$125.66,$123.015
11/14/2023,$125.12,2556087,$123.90,$125.33,$123.14
11/13/2023,$123.06,2413693,$123.00,$123.73,$122.3975
11/10/2023,$122.70,1934596,$122.48,$123.29,$121.65
11/09/2023,$121.30,1826975,$122.21,$122.63,$120.89
