Date,Close/Last,Volume,Open,High,Low
09/06/2024,$204.82,507137,$205.49,$207.50,$201.96
09/05/2024,$204.00,629896,$202.00,$207.27,$200.17
09/04/2024,$200.50,1254868,$195.43,$202.82,$194.67
09/03/2024,$195.34,347859,$199.40,$202.00,$194.92
08/30/2024,$200.76,455686,$201.72,$202.625,$197.525
08/29/2024,$201.24,262981,$200.42,$204.94,$200.09
08/28/2024,$198.57,414670,$199.87,$204.70,$198.06
08/27/2024,$200.25,318916,$195.69,$202.50,$195.32
08/26/2024,$196.13,274385,$200.01,$201.93,$195.86
08/23/2024,$199.12,261398,$197.00,$199.68,$197.00
08/22/2024,$196.57,308738,$200.88,$202.25,$196.53
08/21/2024,$200.85,235339,$200.60,$201.60,$199.50
08/20/2024,$199.73,325881,$202.00,$204.54,$199.72
08/19/2024,$202.29,207206,$202.16,$204.36,$200.65
08/16/2024,$201.35,372895,$202.43,$204.52,$199.46
08/15/2024,$200.00,496373,$202.43,$205.21,$200.00
08/14/2024,$199.96,568041,$197.68,$200.67,$197.57
08/13/2024,$196.85,641806,$188.99,$199.52,$188.58
08/12/2024,$189.01,723147,$194.835,$194.835,$187.255
08/09/2024,$193.21,801406,$193.94,$196.81,$190.835
08/08/2024,$191.16,2003310,$193.05,$193.575,$183.48
08/07/2024,$208.17,766047,$209.67,$213.865,$208.16
08/06/2024,$206.66,403435,$202.70,$208.536,$202.70
08/05/2024,$202.25,424753,$195.80,$203.71,$195.80
08/02/2024,$208.99,452728,$212.91,$212.91,$204.4842
08/01/2024,$214.94,524431,$216.74,$221.15,$211.23
07/31/2024,$215.13,459381,$214.21,$219.045,$212.74
07/30/2024,$213.71,449748,$211.31,$215.67,$210.20
07/29/2024,$210.04,259067,$210.33,$211.80,$207.87
07/26/2024,$211.05,318277,$209.32,$211.55,$207.67
07/25/2024,$207.14,359154,$204.64,$212.17,$204.05
07/24/2024,$205.04,299484,$206.85,$209.00,$204.08
07/23/2024,$207.33,400101,$210.55,$211.62,$206.895
07/22/2024,$212.10,517828,$209.665,$212.27,$205.655
07/19/2024,$208.90,704126,$216.07,$216.93,$206.73
07/18/2024,$217.47,1182095,$211.41,$223.025,$211.098
07/17/2024,$211.31,689735,$208.51,$212.15,$206.2047
07/16/2024,$209.35,803229,$207.72,$211.44,$205.60
07/15/2024,$199.72,857229,$194.02,$200.04,$192.84
07/12/2024,$193.50,544331,$190.035,$193.94,$189.17
07/11/2024,$189.17,665432,$184.075,$191.515,$183.55
07/10/2024,$181.69,452434,$183.76,$183.76,$179.55
07/09/2024,$182.59,404285,$185.37,$185.78,$182.47
07/08/2024,$186.13,330263,$184.96,$186.45,$183.50
07/05/2024,$184.14,563015,$183.766,$185.69,$183.00
07/03/2024,$185.53,350848,$184.905,$185.72,$182.24
07/02/2024,$183.28,449168,$186.64,$188.86,$182.64
07/01/2024,$185.58,353973,$186.42,$188.30,$184.88
06/28/2024,$188.11,2087825,$186.15,$188.26,$184.9101
06/27/2024,$185.11,768131,$182.50,$185.69,$181.785
06/26/2024,$182.59,656691,$180.68,$183.30,$180.68
06/25/2024,$181.91,565524,$182.76,$183.47,$181.07
06/24/2024,$183.09,970424,$183.17,$188.56,$182.47
06/21/2024,$184.78,2698780,$182.51,$185.05,$178.31
06/20/2024,$181.80,1347911,$172.81,$182.35,$171.355
06/18/2024,$170.25,753786,$174.36,$174.53,$169.43
06/17/2024,$174.36,531649,$177.20,$177.23,$174.25
06/14/2024,$177.58,674327,$177.79,$179.07,$175.00
06/13/2024,$177.96,689759,$180.99,$181.62,$177.92
06/12/2024,$180.05,518687,$179.52,$181.80,$179.10
06/11/2024,$177.84,657093,$177.39,$178.26,$174.31
06/10/2024,$176.98,612901,$176.34,$177.91,$175.47
06/07/2024,$176.98,875029,$175.00,$179.00,$174.31
06/06/2024,$175.21,404180,$174.00,$177.39,$173.51
06/05/2024,$174.51,451611,$175.33,$175.68,$172.95
06/04/2024,$174.51,470086,$174.40,$177.92,$173.77
06/03/2024,$176.19,522512,$179.18,$179.18,$175.55
05/31/2024,$177.93,869427,$176.91,$178.41,$175.85
05/30/2024,$176.05,824586,$178.49,$179.91,$174.58
05/29/2024,$178.43,808215,$175.01,$179.78,$174.22
05/28/2024,$177.27,834817,$180.00,$180.55,$176.125
05/24/2024,$180.11,1097553,$186.69,$186.915,$179.44
05/23/2024,$186.90,891884,$189.99,$190.415,$185.39
05/22/2024,$189.37,705764,$191.21,$192.01,$189.04
05/21/2024,$191.26,752696,$190.13,$191.31,$188.33
05/20/2024,$191.50,639912,$188.39,$191.51,$186.1542
05/17/2024,$187.80,808983,$187.77,$188.305,$183.68
05/16/2024,$189.14,964203,$190.00,$190.91,$188.24
05/15/2024,$190.48,970843,$189.32,$191.23,$186.35
05/14/2024,$187.05,1241743,$193.15,$194.03,$186.52
05/13/2024,$190.72,1903095,$185.00,$191.44,$184.27
05/10/2024,$183.40,1891365,$182.98,$188.87,$180.83
05/09/2024,$181.93,4993026,$192.16,$197.15,$180.283
05/08/2024,$249.20,817084,$247.74,$250.72,$246.36
05/07/2024,$249.54,421157,$247.65,$250.97,$245.46
05/06/2024,$246.39,414629,$243.33,$247.785,$242.27
05/03/2024,$242.12,347078,$242.72,$245.605,$240.40
05/02/2024,$238.18,397965,$236.14,$243.505,$233.56
05/01/2024,$234.98,336536,$235.85,$240.93,$232.52
04/30/2024,$235.26,438418,$236.25,$238.87,$234.82
04/29/2024,$239.21,297836,$239.12,$241.06,$237.50
