Date,Close/Last,Volume,Open,High,Low
09/06/2024,$817.96,457770,$821.53,$825.01,$809.54
09/05/2024,$821.74,333726,$826.24,$829.035,$816.60
09/04/2024,$827.59,586292,$826.19,$830.00,$816.00
09/03/2024,$832.15,402407,$829.47,$835.49,$825.30
08/30/2024,$834.36,520988,$820.38,$836.48,$816.99
08/29/2024,$818.74,310380,$812.78,$823.38,$810.00
08/28/2024,$813.70,218633,$817.48,$818.50,$810.31
08/27/2024,$817.98,257082,$815.42,$820.68,$813.60
08/26/2024,$818.90,284009,$830.39,$833.00,$816.085
08/23/2024,$827.96,532749,$822.42,$829.39,$817.96
08/22/2024,$818.95,418336,$818.39,$820.85,$814.13
08/21/2024,$817.99,382690,$826.00,$826.90,$816.01
08/20/2024,$829.84,284125,$833.57,$833.57,$824.78
08/19/2024,$830.38,304239,$820.93,$834.60,$820.70
08/16/2024,$828.66,371708,$825.80,$831.70,$821.00
08/15/2024,$830.08,553501,$838.15,$839.05,$827.14
08/14/2024,$841.49,566505,$831.75,$843.27,$828.805
08/13/2024,$829.64,429171,$825.00,$831.47,$820.985
08/12/2024,$819.09,408979,$815.00,$820.00,$803.28
08/09/2024,$818.88,365876,$811.95,$823.34,$804.37
08/08/2024,$809.48,716659,$775.74,$812.75,$772.00
08/07/2024,$780.29,695052,$783.86,$799.99,$779.15
08/06/2024,$784.61,410363,$767.52,$791.28,$763.49
08/05/2024,$768.24,675381,$800.81,$800.81,$764.11
08/02/2024,$806.65,379114,$810.72,$814.95,$798.675
08/01/2024,$811.18,622735,$792.50,$813.86,$792.50
07/31/2024,$790.24,718732,$778.27,$799.53,$770.55
07/30/2024,$768.77,665347,$776.55,$784.35,$768.13
07/29/2024,$776.55,399141,$771.55,$783.13,$768.07
07/26/2024,$772.43,541016,$769.31,$779.98,$766.87
07/25/2024,$769.31,538024,$797.30,$801.74,$767.27
07/24/2024,$794.15,353112,$802.00,$807.07,$790.00
07/23/2024,$802.97,243110,$806.30,$812.87,$800.27
07/22/2024,$798.86,266219,$786.82,$799.97,$783.315
07/19/2024,$786.82,234266,$796.01,$800.00,$783.31
07/18/2024,$795.07,339478,$801.84,$812.32,$792.94
07/17/2024,$803.14,397151,$810.00,$819.41,$799.17
