Date,Close/Last,Volume,Open,High,Low
09/06/2024,$74.34,2268886,$75.12,$75.22,$73.76
09/05/2024,$75.40,1502024,$76.22,$76.31,$74.77
09/04/2024,$75.48,2129645,$75.58,$76.75,$74.98
09/03/2024,$75.66,1539098,$74.55,$75.92,$74.49
08/30/2024,$74.88,2030145,$74.50,$75.11,$73.86
08/29/2024,$74.04,1264084,$74.05,$74.46,$73.82
08/28/2024,$74.19,1399362,$73.51,$74.38,$73.39
08/27/2024,$73.44,1306819,$72.56,$73.73,$72.23
08/26/2024,$72.93,1710049,$73.19,$73.71,$72.76
08/23/2024,$73.63,1099263,$72.80,$73.835,$72.54
08/22/2024,$72.59,1101859,$72.41,$72.62,$71.93
08/21/2024,$72.31,1529878,$72.00,$72.39,$71.61
08/20/2024,$71.98,875055,$71.59,$71.985,$71.34
08/19/2024,$71.59,770163,$71.53,$71.966,$71.25
08/16/2024,$71.41,1442953,$71.30,$71.47,$70.70
08/15/2024,$71.24,1536831,$71.20,$71.60,$70.62
08/14/2024,$71.19,1515296,$71.24,$71.75,$70.86
08/13/2024,$71.15,1064496,$71.58,$71.58,$70.75
08/12/2024,$70.85,1186694,$70.89,$71.19,$70.32
08/09/2024,$71.35,1206120,$70.65,$71.475,$70.21
08/08/2024,$70.39,2382288,$70.00,$70.495,$69.26
08/07/2024,$70.04,2253806,$71.75,$72.13,$69.95
08/06/2024,$71.42,2710097,$69.18,$71.86,$69.10
08/05/2024,$69.17,4061444,$69.49,$70.67,$68.87
08/02/2024,$70.22,3207493,$70.55,$72.325,$69.62
08/01/2024,$70.67,2562773,$70.18,$71.12,$69.96
07/31/2024,$69.63,4233388,$70.23,$70.40,$69.35
07/30/2024,$69.57,3479126,$71.50,$71.50,$68.50
07/29/2024,$71.29,1809570,$70.90,$71.775,$70.33
07/26/2024,$70.77,1415699,$69.93,$71.21,$69.605
07/25/2024,$69.52,2569819,$70.21,$71.35,$69.04
07/24/2024,$70.01,1682210,$71.05,$71.40,$69.855
07/23/2024,$70.86,1604240,$71.00,$71.40,$70.47
07/22/2024,$71.04,1269750,$70.00,$71.14,$69.97
07/19/2024,$70.14,1708298,$70.59,$70.59,$69.91
07/18/2024,$70.07,1824233,$69.33,$71.17,$69.195
07/17/2024,$69.67,1490793,$68.95,$69.94,$68.95
07/16/2024,$69.04,1508919,$68.14,$69.15,$67.87
07/15/2024,$67.93,2224171,$67.50,$68.99,$67.26
07/12/2024,$67.19,1969166,$68.01,$68.04,$66.61
07/11/2024,$67.70,1528761,$68.87,$69.35,$67.40
07/10/2024,$67.84,1038248,$68.40,$68.41,$67.44
07/09/2024,$67.95,1176241,$68.02,$68.47,$67.52
07/08/2024,$67.99,1347286,$67.89,$68.36,$67.70
07/05/2024,$67.87,1357236,$67.68,$68.16,$67.2875
07/03/2024,$67.49,713289,$68.21,$68.295,$67.47
07/02/2024,$68.20,963495,$68.14,$68.56,$67.93
07/01/2024,$68.14,1054999,$68.52,$68.73,$67.79
06/28/2024,$69.34,2723104,$69.34,$69.65,$68.51
06/27/2024,$68.31,1179494,$68.10,$68.47,$67.66
06/26/2024,$68.02,1198696,$67.94,$68.44,$67.46
06/25/2024,$68.59,1946650,$69.16,$69.18,$68.38
06/24/2024,$69.19,1646889,$68.53,$69.57,$68.35
06/21/2024,$68.31,2977056,$68.17,$68.42,$67.48
06/20/2024,$67.85,1657982,$67.54,$67.94,$67.42
06/18/2024,$67.82,1281306,$67.23,$67.93,$67.025
06/17/2024,$67.01,1349035,$66.12,$67.20,$65.89
06/14/2024,$66.71,1287936,$65.83,$66.84,$65.66
06/13/2024,$65.96,1115074,$65.98,$66.44,$65.48
06/12/2024,$65.79,1183479,$66.75,$66.87,$65.66
06/11/2024,$65.55,1229009,$65.60,$66.07,$65.37
06/10/2024,$66.05,1294408,$65.03,$66.54,$64.78
06/07/2024,$65.07,2168377,$64.39,$65.28,$64.32
06/06/2024,$65.27,1232778,$65.48,$65.80,$65.12
06/05/2024,$65.74,1505086,$65.50,$65.86,$65.01
06/04/2024,$65.61,2933550,$65.42,$65.99,$65.09
06/03/2024,$65.42,2248486,$65.41,$65.88,$64.85
05/31/2024,$65.03,4933552,$64.28,$65.07,$63.82
05/30/2024,$63.90,1586852,$63.67,$64.00,$63.44
05/29/2024,$63.38,3213295,$63.83,$63.83,$62.24
05/28/2024,$64.64,1866101,$66.00,$66.05,$64.53
05/24/2024,$65.70,1427935,$65.69,$65.86,$65.44
05/23/2024,$65.38,1552231,$65.98,$66.16,$65.295
05/22/2024,$66.26,1679535,$66.70,$67.54,$65.92
05/21/2024,$66.80,1453407,$66.33,$66.89,$66.25
05/20/2024,$66.47,1656654,$67.12,$67.18,$66.37
05/17/2024,$67.13,1606223,$67.35,$67.35,$66.81
05/16/2024,$67.09,1010465,$67.47,$67.69,$67.09
05/15/2024,$67.57,1320039,$68.31,$68.55,$67.38
05/14/2024,$67.39,1176088,$66.97,$67.46,$66.75
05/13/2024,$66.75,1411617,$66.48,$67.59,$66.37
05/10/2024,$66.80,1123940,$67.21,$67.32,$66.75
05/09/2024,$67.04,1635343,$66.28,$67.175,$66.03
05/08/2024,$66.10,1591109,$66.72,$66.99,$66.08
05/07/2024,$66.70,1616861,$67.14,$67.29,$66.5928
05/06/2024,$66.72,1443980,$66.35,$66.775,$65.835
05/03/2024,$65.91,1639215,$66.32,$66.71,$65.45
05/02/2024,$65.56,2438287,$64.49,$65.67,$63.76
05/01/2024,$64.04,2357084,$63.96,$64.795,$63.74
04/30/2024,$64.40,1986630,$64.94,$65.05,$64.36
04/29/2024,$65.30,2927581,$65.70,$65.89,$64.80
04/26/2024,$65.14,2793597,$65.00,$66.07,$65.00
04/25/2024,$64.88,3344610,$64.07,$64.96,$63.955
04/24/2024,$64.61,3166226,$62.29,$65.21,$62.2406
04/23/2024,$63.09,2479432,$62.52,$63.58,$62.52
04/22/2024,$62.54,2465560,$62.25,$62.85,$61.8575
04/19/2024,$61.54,1826305,$61.33,$61.90,$61.195
04/18/2024,$60.99,1789432,$60.54,$61.135,$60.10
04/17/2024,$60.41,2744789,$59.82,$61.07,$59.51
04/16/2024,$59.68,1358304,$60.50,$60.50,$59.48
04/15/2024,$60.66,1242937,$62.12,$62.22,$60.29
04/12/2024,$61.69,1400583,$62.58,$62.69,$61.29
04/11/2024,$62.79,1681068,$63.37,$63.50,$62.21
04/10/2024,$62.96,2038914,$63.17,$63.49,$62.65
04/09/2024,$64.47,2536129,$64.13,$64.80,$64.07
04/08/2024,$63.80,2324451,$62.50,$63.84,$62.405
04/05/2024,$61.79,1461126,$61.03,$61.985,$61.03
04/04/2024,$61.26,1182390,$61.88,$62.27,$61.08
04/03/2024,$61.42,1439224,$60.64,$61.57,$60.35
04/02/2024,$60.84,1515223,$61.03,$61.23,$60.44
04/01/2024,$61.45,1630046,$63.02,$63.22,$61.44
03/28/2024,$63.11,2133757,$62.84,$63.45,$62.76
03/27/2024,$62.57,1527118,$61.89,$62.62,$61.655
03/26/2024,$61.26,1610749,$61.55,$61.71,$61.22
03/25/2024,$61.53,1967148,$62.26,$62.47,$61.52
03/22/2024,$62.17,1510121,$62.98,$63.04,$61.92
03/21/2024,$63.45,2505166,$62.84,$63.78,$62.68
03/20/2024,$62.68,1499001,$62.00,$63.06,$61.845
03/19/2024,$62.22,1377210,$62.61,$62.72,$62.01
03/18/2024,$62.38,1730807,$63.15,$63.41,$62.25
03/15/2024,$63.03,3247438,$61.45,$63.15,$61.45
03/14/2024,$62.37,2559920,$63.01,$63.09,$61.73
03/13/2024,$63.30,1847363,$62.39,$63.52,$62.39
03/12/2024,$62.33,1797683,$62.64,$63.07,$62.03
03/11/2024,$62.86,1302361,$63.40,$63.77,$62.70
03/08/2024,$63.41,1388728,$63.40,$63.71,$62.9398
03/07/2024,$62.93,1643317,$62.88,$63.08,$62.345
03/06/2024,$62.61,1274963,$62.75,$62.76,$62.15
03/05/2024,$62.28,1966871,$62.61,$63.10,$61.87
03/04/2024,$62.86,1997817,$60.80,$62.90,$60.335
03/01/2024,$60.74,3094753,$59.92,$60.77,$59.19
02/29/2024,$60.21,3415162,$60.19,$60.63,$59.795
02/28/2024,$59.72,1877463,$59.12,$60.32,$59.02
02/27/2024,$59.47,1849152,$59.20,$59.76,$58.9257
02/26/2024,$58.82,2631885,$60.10,$60.35,$58.81
