Date,Close/Last,Volume,Open,High,Low
09/06/2024,$32.36,7131879,$32.81,$33.20,$32.15
09/05/2024,$32.82,5155531,$33.01,$33.10,$32.21
09/04/2024,$32.66,5387054,$32.99,$33.75,$32.535
09/03/2024,$32.92,6376819,$33.04,$33.21,$32.18
08/30/2024,$33.51,4609171,$33.31,$33.665,$33.15
08/29/2024,$33.51,5088811,$32.71,$33.66,$32.59
08/28/2024,$32.60,3454664,$32.61,$32.6399,$32.05
08/27/2024,$32.75,4042485,$33.00,$33.13,$32.53
08/26/2024,$33.19,6432825,$33.88,$34.15,$33.13
08/23/2024,$33.64,4549119,$33.00,$33.66,$32.85
08/22/2024,$32.90,5904700,$33.08,$33.48,$32.71
08/21/2024,$33.10,6830847,$33.49,$33.59,$32.62
08/20/2024,$33.24,6502356,$33.50,$33.615,$32.72
08/19/2024,$33.72,9237750,$32.44,$33.90,$32.30
08/16/2024,$32.15,5089311,$31.44,$32.38,$31.42
08/15/2024,$31.78,7319121,$30.95,$31.86,$30.8825
08/14/2024,$31.48,8678157,$31.55,$31.755,$31.01
08/13/2024,$31.15,10566600,$32.08,$32.10,$30.98
08/12/2024,$32.26,8768025,$31.46,$32.33,$31.36
08/09/2024,$31.10,5845419,$30.93,$31.415,$30.59
08/08/2024,$30.96,7107582,$30.28,$31.18,$30.25
08/07/2024,$30.22,10023330,$31.22,$31.665,$30.17
08/06/2024,$30.81,7245824,$30.49,$31.195,$30.21
08/05/2024,$30.21,8526547,$30.85,$30.89,$30.02
08/02/2024,$31.57,9078198,$33.22,$33.23,$31.405
08/01/2024,$33.59,8194668,$34.43,$34.52,$33.46
07/31/2024,$34.51,8432044,$35.00,$35.35,$34.34
07/30/2024,$34.81,8323766,$33.90,$34.86,$33.75
07/29/2024,$34.07,7386144,$34.49,$34.60,$33.81
07/26/2024,$34.31,7690909,$34.29,$34.60,$33.665
07/25/2024,$34.38,11098280,$34.88,$35.47,$34.145
07/24/2024,$35.10,15384820,$35.60,$36.28,$35.04
07/23/2024,$35.05,13451850,$35.85,$35.87,$35.01
