Date,Close/Last,Volume,Open,High,Low
09/06/2024,$67.40,1104569,$68.21,$68.41,$67.33
09/05/2024,$68.05,1366448,$69.01,$69.01,$67.91
09/04/2024,$68.17,1571961,$67.72,$68.70,$67.41
09/03/2024,$67.73,1526526,$67.50,$68.13,$67.26
08/30/2024,$67.53,3607831,$66.89,$67.54,$66.38
08/29/2024,$66.66,1089734,$67.03,$67.29,$66.08
08/28/2024,$67.04,1366902,$66.54,$67.33,$66.46
08/27/2024,$66.44,1560500,$66.86,$67.1099,$66.30
08/26/2024,$66.97,1406080,$67.00,$67.25,$66.65
08/23/2024,$66.78,1562967,$67.36,$67.445,$66.56
08/22/2024,$67.14,2483463,$66.65,$67.25,$66.62
08/21/2024,$66.53,2247677,$66.00,$66.71,$65.98
08/20/2024,$66.00,2194102,$65.90,$66.125,$65.72
08/19/2024,$65.84,2722498,$65.10,$65.98,$64.92
08/16/2024,$65.11,2269215,$65.06,$65.205,$64.72
08/15/2024,$64.85,3628329,$65.51,$65.925,$64.66
08/14/2024,$66.45,2474714,$65.35,$66.75,$65.25
08/13/2024,$65.75,2426210,$65.08,$65.82,$64.99
08/12/2024,$64.87,2605982,$64.87,$65.23,$64.53
08/09/2024,$64.91,2768930,$65.08,$65.17,$63.7675
08/08/2024,$64.85,2782429,$64.68,$65.565,$64.50
08/07/2024,$65.34,1887127,$65.73,$66.34,$65.245
08/06/2024,$65.49,2173611,$65.06,$65.975,$65.02
08/05/2024,$65.02,2500478,$67.18,$67.505,$64.95
08/02/2024,$67.11,2955862,$67.95,$68.72,$65.77
08/01/2024,$66.07,2578131,$64.32,$66.39,$64.28
07/31/2024,$64.91,4958491,$65.61,$65.80,$64.77
07/30/2024,$65.96,2054005,$64.81,$66.07,$64.63
07/29/2024,$64.94,2395762,$64.66,$65.37,$64.24
07/26/2024,$64.50,3160970,$63.69,$64.57,$63.34
07/25/2024,$63.60,3254378,$63.42,$64.77,$63.115
07/24/2024,$63.03,2386551,$61.64,$63.12,$61.29
07/23/2024,$60.82,1183943,$61.83,$62.00,$60.74
07/22/2024,$61.76,1530668,$61.25,$62.12,$61.045
07/19/2024,$61.10,1696087,$61.61,$61.61,$60.63
07/18/2024,$61.39,1695265,$61.12,$62.38,$61.02
07/17/2024,$61.55,2593677,$59.74,$61.805,$59.64
07/16/2024,$59.72,1413215,$59.58,$59.81,$59.16
07/15/2024,$59.26,1624970,$59.86,$60.16,$59.07
07/12/2024,$60.34,2294861,$59.61,$60.62,$59.23
07/11/2024,$59.40,2619573,$58.64,$59.7203,$58.47
07/10/2024,$58.09,1876897,$58.00,$58.17,$57.29
07/09/2024,$57.84,1914758,$57.24,$57.91,$56.88
07/08/2024,$57.31,1535572,$57.18,$57.49,$57.00
07/05/2024,$57.27,1753634,$57.35,$57.865,$57.045
07/03/2024,$57.31,1105636,$56.78,$57.84,$56.6753
07/02/2024,$56.52,1987138,$56.73,$57.27,$56.27
07/01/2024,$56.56,1984809,$57.07,$57.39,$56.32
06/28/2024,$56.71,3215778,$57.33,$57.40,$56.30
06/27/2024,$57.19,1274001,$56.91,$57.66,$56.77
06/26/2024,$56.97,1407795,$56.84,$57.14,$56.35
06/25/2024,$57.09,1543552,$58.08,$58.35,$57.03
06/24/2024,$58.00,1569403,$57.31,$58.14,$57.02
06/21/2024,$57.18,4191419,$58.00,$58.30,$57.18
06/20/2024,$57.99,1734486,$57.80,$58.47,$57.50
06/18/2024,$58.00,2352754,$57.43,$58.20,$57.43
06/17/2024,$57.65,2292973,$58.48,$58.79,$57.51
06/14/2024,$59.01,1677378,$58.40,$59.15,$58.02
06/13/2024,$58.71,1411036,$59.06,$59.20,$57.81
06/12/2024,$58.94,1301797,$60.00,$60.00,$58.36
06/11/2024,$59.09,1661914,$58.35,$59.30,$58.35
06/10/2024,$59.04,1785694,$58.45,$59.38,$58.2865
06/07/2024,$58.58,1944468,$58.33,$59.06,$58.23
06/06/2024,$58.83,1238312,$59.22,$60.25,$58.72
06/05/2024,$59.52,1865380,$60.79,$60.82,$59.46
06/04/2024,$60.82,2705293,$59.64,$61.03,$59.43
06/03/2024,$59.68,2077315,$59.27,$60.18,$59.00
05/31/2024,$59.23,4679640,$57.85,$59.26,$57.66
05/30/2024,$57.57,1675286,$57.14,$57.60,$56.69
05/29/2024,$56.77,1972288,$56.35,$56.86,$56.06
05/28/2024,$56.80,1506219,$57.68,$58.39,$56.76
05/24/2024,$57.53,2058925,$57.62,$58.31,$57.35
05/23/2024,$57.53,1776883,$59.28,$59.30,$57.45
05/22/2024,$59.81,1565622,$60.65,$61.05,$59.76
05/21/2024,$61.22,1622629,$60.82,$61.35,$60.68
05/20/2024,$60.78,980480,$61.00,$61.0061,$60.61
05/17/2024,$60.96,1921717,$61.25,$61.38,$60.62
05/16/2024,$61.46,3011341,$60.53,$61.83,$60.19
05/15/2024,$60.53,2109143,$60.85,$61.005,$60.32
05/14/2024,$60.90,1767533,$61.88,$61.9901,$60.86
05/13/2024,$61.28,2147181,$61.80,$61.90,$61.07
05/10/2024,$61.92,1635835,$62.10,$62.25,$61.41
05/09/2024,$61.76,1376602,$60.94,$61.86,$60.66
05/08/2024,$61.04,1567933,$60.88,$61.33,$60.51
05/07/2024,$61.17,2076178,$60.13,$61.26,$60.03
05/06/2024,$59.71,1751169,$60.22,$60.43,$59.555
05/03/2024,$60.01,3447870,$61.19,$61.495,$58.90
05/02/2024,$60.75,3164779,$62.62,$63.24,$60.32
05/01/2024,$61.62,2087404,$60.66,$62.49,$60.435
04/30/2024,$60.62,3515974,$59.85,$60.88,$59.10
04/29/2024,$60.46,1789853,$59.82,$60.77,$59.675
04/26/2024,$59.46,1590695,$60.57,$60.75,$59.43
04/25/2024,$60.52,1432034,$60.89,$61.18,$59.67
04/24/2024,$60.84,2087281,$59.63,$61.05,$59.44
04/23/2024,$60.35,1831877,$60.03,$60.99,$59.8229
04/22/2024,$60.30,1559368,$59.68,$60.85,$59.46
04/19/2024,$59.69,2323408,$59.12,$59.91,$58.98
04/18/2024,$58.99,1626195,$58.77,$59.19,$58.08
04/17/2024,$58.51,1993998,$57.54,$58.57,$57.07
04/16/2024,$57.20,2391638,$57.90,$57.90,$56.67
04/15/2024,$58.24,2131363,$59.02,$59.25,$57.67
04/12/2024,$58.79,2204619,$59.35,$59.495,$58.43
04/11/2024,$59.15,1310097,$59.49,$59.66,$58.54
04/10/2024,$59.07,2344801,$59.24,$59.39,$58.28
04/09/2024,$59.96,1862118,$59.57,$60.44,$59.43
04/08/2024,$59.47,1654333,$58.58,$59.61,$58.58
04/05/2024,$58.51,1426325,$58.55,$58.8488,$58.06
04/04/2024,$58.92,1733571,$59.43,$59.60,$58.30
04/03/2024,$58.43,1660808,$59.18,$59.27,$58.04
04/02/2024,$59.27,1839477,$58.56,$59.65,$58.51
04/01/2024,$58.88,1533062,$59.71,$59.71,$58.525
03/28/2024,$59.77,1921036,$59.27,$59.985,$58.80
03/27/2024,$58.98,2840904,$56.91,$58.99,$56.91
03/26/2024,$56.29,2165646,$57.49,$57.82,$56.16
03/25/2024,$57.52,1923841,$57.89,$58.25,$57.19
03/22/2024,$57.89,2157059,$58.40,$58.5979,$57.78
03/21/2024,$57.89,3736082,$59.40,$59.50,$57.87
03/20/2024,$59.21,1955151,$58.69,$59.66,$58.44
03/19/2024,$58.80,2784311,$59.06,$59.385,$58.47
03/18/2024,$58.96,2246509,$58.92,$59.37,$58.42
03/15/2024,$58.92,6062313,$58.71,$59.52,$58.50
03/14/2024,$59.06,2950321,$58.95,$59.13,$57.76
03/13/2024,$59.14,3252032,$59.86,$60.47,$58.66
03/12/2024,$59.81,2028671,$60.41,$60.68,$59.26
03/11/2024,$60.65,2871016,$60.08,$60.78,$60.08
03/08/2024,$60.08,1874681,$59.62,$60.38,$59.15
03/07/2024,$59.42,2297891,$58.98,$59.70,$58.70
03/06/2024,$58.50,2078881,$58.70,$58.96,$57.93
03/05/2024,$58.14,2516686,$59.10,$59.73,$58.11
03/04/2024,$58.91,2789061,$57.28,$59.25,$56.76
03/01/2024,$58.41,3089490,$58.70,$59.03,$57.53
02/29/2024,$58.70,4728975,$59.01,$59.19,$58.24
02/28/2024,$58.61,1741776,$59.04,$59.23,$58.206
02/27/2024,$59.27,2677462,$58.12,$59.48,$57.885
02/26/2024,$57.64,2045364,$58.36,$58.835,$57.425
02/23/2024,$58.87,2184271,$58.03,$59.33,$57.87
02/22/2024,$58.11,3568171,$57.77,$58.60,$57.36
02/21/2024,$58.42,3286364,$57.81,$59.36,$57.53
02/20/2024,$57.52,3555285,$58.71,$59.55,$57.51
02/16/2024,$58.87,5241821,$58.41,$58.965,$57.60
02/15/2024,$58.62,5745790,$58.27,$59.43,$57.515
02/14/2024,$57.06,8427097,$58.01,$58.85,$56.00
02/13/2024,$54.50,3391889,$55.10,$55.84,$53.76
02/12/2024,$55.47,2375627,$54.98,$55.94,$54.85
02/09/2024,$54.98,3498086,$53.88,$55.27,$53.755
02/08/2024,$54.07,3148502,$53.45,$54.11,$52.71
02/07/2024,$53.79,2379605,$53.92,$53.965,$53.01
02/06/2024,$53.74,2942908,$53.72,$54.005,$53.47
02/05/2024,$53.69,2224951,$54.45,$54.68,$53.65
02/02/2024,$55.20,2443315,$55.07,$55.885,$54.31
02/01/2024,$55.96,2422535,$54.21,$55.97,$53.92
01/31/2024,$54.22,6070189,$54.95,$55.48,$54.06
01/30/2024,$54.81,3605248,$54.94,$55.415,$54.66
01/29/2024,$55.16,2756402,$54.98,$55.56,$54.51
01/26/2024,$55.12,4415831,$55.22,$56.135,$54.77
01/25/2024,$54.86,4503479,$54.47,$55.06,$53.87
01/24/2024,$53.16,6364769,$53.38,$53.56,$52.86
01/23/2024,$52.88,4203081,$53.01,$53.44,$52.09
01/22/2024,$52.78,3718864,$53.60,$54.01,$52.63
01/19/2024,$53.41,5158021,$54.00,$54.07,$53.01
01/18/2024,$54.00,2993767,$54.51,$54.83,$53.55
01/17/2024,$54.76,2880755,$55.52,$56.36,$54.55
01/16/2024,$56.24,2617772,$56.68,$56.91,$55.97
01/12/2024,$56.88,2195377,$57.49,$57.66,$56.63
01/11/2024,$57.12,2717610,$58.12,$58.23,$56.30
01/10/2024,$58.36,3414960,$57.35,$58.49,$57.13
01/09/2024,$58.00,7426277,$59.78,$59.78,$57.96
01/08/2024,$62.87,1806583,$61.92,$62.88,$61.83
01/05/2024,$62.07,3340592,$62.70,$62.85,$61.66
01/04/2024,$62.89,2351088,$64.33,$64.635,$62.815
01/03/2024,$64.29,2511820,$63.47,$64.64,$62.90
01/02/2024,$63.74,2187965,$61.51,$63.84,$61.39
12/29/2023,$61.72,1485914,$61.54,$61.86,$61.14
12/28/2023,$61.96,937704,$61.04,$62.06,$61.04
12/27/2023,$61.36,1318585,$61.43,$61.6309,$61.02
12/26/2023,$61.44,951882,$60.97,$61.65,$60.88
12/22/2023,$61.08,1062202,$61.01,$62.02,$60.79
12/21/2023,$60.91,1106419,$60.84,$61.38,$60.41
12/20/2023,$60.53,2264810,$61.70,$62.008,$60.47
12/19/2023,$61.60,2339558,$62.41,$62.41,$61.38
12/18/2023,$61.98,4266559,$61.70,$62.605,$61.60
12/15/2023,$61.82,6718604,$62.30,$62.84,$60.905
12/14/2023,$63.53,3227789,$63.57,$64.555,$63.235
12/13/2023,$63.09,2357952,$60.17,$63.21,$59.72
12/12/2023,$60.21,1773367,$60.80,$60.80,$59.80
12/11/2023,$60.79,2885309,$59.28,$60.91,$59.16
12/08/2023,$59.65,1923481,$60.45,$60.68,$59.47
12/07/2023,$60.37,2712507,$60.75,$60.75,$59.50
12/06/2023,$60.60,2653066,$60.66,$60.94,$60.10
12/05/2023,$60.19,2029667,$60.60,$60.87,$59.62
12/04/2023,$60.69,2223513,$60.11,$61.18,$59.47
12/01/2023,$60.78,2103320,$59.51,$60.79,$59.20
11/30/2023,$59.41,6350151,$59.98,$60.06,$58.91
11/29/2023,$59.71,2561964,$60.17,$60.825,$59.451
11/28/2023,$59.93,2586837,$59.10,$60.23,$58.81
11/27/2023,$59.04,2353137,$59.33,$59.45,$58.61
11/24/2023,$59.26,946551,$59.41,$59.61,$58.95
11/22/2023,$59.53,3808985,$59.09,$59.60,$58.48
11/21/2023,$58.82,2660821,$58.41,$59.03,$57.99
11/20/2023,$58.30,2658752,$58.06,$58.59,$57.12
