Date,Close/Last,Volume,Open,High,Low
09/06/2024,$298.21,463167,$301.12,$301.12,$294.80
09/05/2024,$302.01,305837,$304.04,$306.89,$299.98
09/04/2024,$301.63,357956,$302.95,$307.75,$300.23
09/03/2024,$302.69,270230,$300.65,$304.00,$299.285
08/30/2024,$301.79,399985,$298.66,$302.05,$297.415
08/29/2024,$298.05,320378,$295.63,$299.71,$294.53
08/28/2024,$296.09,341406,$297.00,$297.71,$294.135
08/27/2024,$295.54,325553,$292.65,$295.67,$292.00
08/26/2024,$294.62,181304,$298.19,$298.19,$292.89
08/23/2024,$296.09,300491,$291.58,$296.28,$289.07
08/22/2024,$290.34,258870,$290.00,$290.635,$287.37
08/21/2024,$289.21,230280,$287.14,$289.775,$286.19
08/20/2024,$287.14,294045,$285.42,$288.02,$285.17
08/19/2024,$285.41,160310,$284.36,$287.29,$283.71
08/16/2024,$284.01,375377,$285.91,$286.015,$281.26
08/15/2024,$285.00,321775,$285.89,$286.90,$283.98
08/14/2024,$286.16,220506,$284.58,$288.51,$282.74
08/13/2024,$284.46,183833,$284.10,$285.76,$282.60
08/12/2024,$281.59,250818,$281.04,$282.43,$279.22
08/09/2024,$282.64,270884,$279.82,$283.26,$277.71
08/08/2024,$279.29,240617,$278.58,$280.91,$276.32
08/07/2024,$277.43,365249,$280.05,$284.005,$277.03
08/06/2024,$280.39,564314,$272.00,$283.34,$272.00
08/05/2024,$272.62,514561,$280.02,$281.98,$272.59
08/02/2024,$281.66,590042,$285.68,$288.90,$278.82
08/01/2024,$285.69,829107,$280.30,$285.83,$278.01
07/31/2024,$278.36,1436228,$277.76,$288.415,$273.10
07/30/2024,$280.80,576986,$287.11,$287.56,$279.965
07/29/2024,$286.00,458027,$286.92,$286.92,$282.16
07/26/2024,$286.74,234415,$284.43,$287.50,$282.78
07/25/2024,$282.72,282557,$286.30,$289.255,$278.765
07/24/2024,$285.96,232067,$291.22,$292.37,$285.39
07/23/2024,$291.06,254207,$290.17,$292.03,$289.32
07/22/2024,$290.13,465373,$284.79,$290.68,$284.48
07/19/2024,$284.79,347860,$285.64,$286.59,$281.79
07/18/2024,$284.14,230057,$283.19,$289.075,$281.965
07/17/2024,$283.98,294565,$280.00,$284.94,$278.67
07/16/2024,$278.75,352643,$277.48,$279.38,$276.15
07/15/2024,$276.09,384378,$274.81,$279.51,$273.25
07/12/2024,$274.33,371243,$279.41,$279.41,$273.99
07/11/2024,$278.41,308757,$280.51,$282.82,$277.255
07/10/2024,$276.38,180055,$277.60,$277.75,$273.55
07/09/2024,$275.97,273606,$272.90,$276.99,$271.51
07/08/2024,$273.10,275690,$272.70,$273.845,$270.70
07/05/2024,$272.24,268599,$270.08,$272.64,$268.41
07/03/2024,$269.60,176579,$272.61,$273.93,$269.48
07/02/2024,$272.99,233533,$273.99,$274.96,$271.94
07/01/2024,$272.82,366435,$270.23,$273.42,$269.12
06/28/2024,$272.20,649451,$273.31,$274.63,$269.39
06/27/2024,$273.38,422531,$273.37,$274.62,$270.63
06/26/2024,$273.23,292103,$272.71,$276.28,$272.13
06/25/2024,$275.62,204718,$277.73,$278.49,$274.47
06/24/2024,$279.19,368357,$278.85,$282.45,$278.055
06/21/2024,$278.22,911073,$281.56,$281.56,$276.69
06/20/2024,$280.08,372104,$282.60,$283.545,$277.60
06/18/2024,$284.59,321634,$283.07,$284.77,$280.53
06/17/2024,$281.29,514264,$275.85,$282.29,$275.82
06/14/2024,$278.50,414570,$274.85,$279.09,$272.50
06/13/2024,$275.20,433347,$272.20,$275.35,$270.94
06/12/2024,$271.44,291917,$271.75,$273.6599,$270.14
06/11/2024,$265.64,266730,$267.36,$269.245,$265.53
06/10/2024,$269.37,295340,$267.44,$272.48,$267.44
06/07/2024,$268.07,262095,$265.35,$268.93,$265.35
06/06/2024,$268.32,200316,$267.12,$269.355,$265.82
06/05/2024,$268.08,247815,$263.06,$268.42,$260.865
06/04/2024,$263.81,292791,$260.70,$264.995,$260.70
06/03/2024,$260.63,317306,$261.60,$262.98,$258.43
05/31/2024,$259.79,489351,$257.45,$260.28,$256.22
05/30/2024,$255.60,197331,$255.04,$255.845,$254.08
05/29/2024,$252.91,370723,$251.79,$253.365,$249.46
05/28/2024,$255.33,289578,$261.18,$261.565,$254.90
05/24/2024,$259.40,225551,$259.38,$259.915,$258.16
05/23/2024,$257.97,211667,$262.54,$263.36,$257.88
05/22/2024,$262.94,342827,$263.72,$266.53,$261.52
05/21/2024,$264.16,214807,$262.90,$265.1275,$262.67
05/20/2024,$263.41,361765,$265.85,$265.85,$262.155
05/17/2024,$266.29,361766,$265.95,$266.53,$263.61
05/16/2024,$264.71,210602,$267.70,$269.00,$264.67
05/15/2024,$267.84,407628,$269.23,$269.23,$265.22
05/14/2024,$264.97,365493,$263.47,$265.179,$260.87
05/13/2024,$260.56,253211,$260.01,$261.71,$258.79
05/10/2024,$258.95,205079,$260.52,$260.52,$257.16
05/09/2024,$259.58,216115,$255.61,$259.78,$254.88
05/08/2024,$254.50,164087,$256.44,$257.33,$253.74
05/07/2024,$257.67,304365,$257.93,$258.06,$255.8798
05/06/2024,$255.49,282960,$252.95,$255.66,$250.505
05/03/2024,$250.31,399522,$252.96,$253.5256,$249.37
05/02/2024,$249.80,605049,$247.00,$251.715,$245.335
05/01/2024,$245.47,714559,$247.80,$249.00,$240.575
04/30/2024,$246.25,599307,$245.71,$248.53,$245.71
04/29/2024,$248.02,313378,$249.21,$249.71,$246.69
04/26/2024,$246.92,422599,$248.88,$252.69,$246.91
04/25/2024,$247.21,466812,$245.96,$247.52,$244.49
04/24/2024,$247.74,396596,$239.37,$248.95,$239.37
04/23/2024,$242.15,557070,$240.58,$243.99,$240.03
04/22/2024,$239.89,381784,$236.10,$240.80,$235.40
04/19/2024,$235.17,335777,$234.77,$237.50,$234.77
04/18/2024,$233.97,284993,$233.54,$234.51,$230.90
04/17/2024,$232.65,342553,$233.16,$234.93,$231.485
04/16/2024,$232.70,294090,$234.26,$234.38,$231.89
04/15/2024,$235.59,248434,$240.82,$241.28,$234.26
04/12/2024,$239.29,376262,$243.23,$243.99,$237.93
04/11/2024,$244.25,378558,$246.03,$246.31,$240.97
04/10/2024,$244.01,434484,$243.18,$244.88,$242.285
04/09/2024,$249.59,315050,$244.33,$249.74,$244.33
04/08/2024,$243.50,286106,$239.56,$244.80,$239.56
04/05/2024,$237.68,170204,$234.45,$238.77,$234.45
04/04/2024,$235.98,253205,$240.98,$241.20,$235.185
04/03/2024,$237.50,239397,$234.64,$238.06,$233.08
04/02/2024,$235.50,294627,$238.03,$238.03,$234.45
04/01/2024,$239.67,293023,$246.48,$246.48,$239.39
03/28/2024,$244.81,350005,$243.34,$245.62,$242.45
03/27/2024,$241.41,258617,$237.50,$241.52,$237.50
03/26/2024,$237.73,324075,$239.85,$240.725,$237.72
03/25/2024,$239.53,310124,$241.28,$243.30,$238.33
03/22/2024,$241.99,359977,$244.38,$245.01,$240.17
03/21/2024,$244.01,315082,$241.50,$244.795,$240.16
03/20/2024,$240.70,353164,$234.36,$241.61,$234.36
03/19/2024,$236.13,244922,$237.95,$238.95,$235.42
03/18/2024,$237.60,305356,$240.12,$240.12,$236.69
03/15/2024,$239.07,562275,$235.03,$239.84,$235.03
03/14/2024,$237.13,409096,$240.92,$241.01,$234.64
03/13/2024,$242.34,278870,$240.08,$243.10,$240.08
03/12/2024,$240.63,299979,$241.58,$244.06,$238.74
03/11/2024,$242.97,277654,$245.44,$247.6121,$242.74
03/08/2024,$245.44,372718,$244.79,$246.50,$244.18
