Date,Close/Last,Volume,Open,High,Low
09/06/2024,$121.90,1523795,$122.75,$122.98,$121.77
09/05/2024,$122.31,1173301,$123.45,$123.63,$121.83
09/04/2024,$122.53,1312170,$122.60,$123.73,$121.65
09/03/2024,$122.18,1886073,$120.36,$123.11,$120.00
08/30/2024,$120.69,1364901,$120.00,$120.97,$119.73
08/29/2024,$119.83,1079942,$119.23,$119.89,$118.10
08/28/2024,$119.29,1339295,$119.49,$120.14,$118.87
08/27/2024,$119.08,1116182,$119.27,$119.67,$118.75
08/26/2024,$119.50,2480639,$119.03,$120.10,$118.8758
08/23/2024,$118.80,1332678,$119.30,$119.56,$118.53
08/22/2024,$118.80,1313355,$118.80,$119.20,$118.48
08/21/2024,$118.88,1717235,$118.85,$119.415,$118.51
08/20/2024,$118.88,1541246,$118.43,$119.10,$118.23
08/19/2024,$118.39,1086622,$118.01,$118.60,$117.575
08/16/2024,$117.60,1209786,$117.59,$118.39,$116.91
08/15/2024,$117.10,1623730,$117.04,$117.65,$116.4322
08/14/2024,$117.99,1994877,$116.65,$119.36,$116.3701
08/13/2024,$117.27,1244627,$116.81,$117.47,$116.33
08/12/2024,$117.52,1410228,$117.63,$118.00,$116.73
08/09/2024,$117.53,1148311,$117.22,$117.74,$115.305
08/08/2024,$117.22,2299050,$115.16,$117.92,$115.16
08/07/2024,$116.98,1917539,$116.62,$118.67,$115.80
08/06/2024,$116.16,1968999,$115.79,$117.84,$115.53
08/05/2024,$115.51,1811754,$121.16,$121.79,$115.43
08/02/2024,$120.80,2484812,$122.64,$123.61,$118.01
08/01/2024,$120.82,2105078,$117.50,$121.18,$116.20
07/31/2024,$115.97,1877765,$116.65,$117.00,$114.94
07/30/2024,$116.34,1413284,$113.96,$116.54,$113.96
07/29/2024,$114.36,1364214,$113.63,$114.87,$112.93
07/26/2024,$113.63,1405502,$112.00,$114.18,$111.995
07/25/2024,$111.42,1420114,$112.57,$113.64,$110.70
07/24/2024,$111.86,1104726,$111.22,$112.06,$110.415
07/23/2024,$110.35,682195,$110.86,$110.96,$110.15
07/22/2024,$111.02,817266,$110.23,$111.5046,$110.08
07/19/2024,$110.48,1012181,$111.40,$111.40,$110.02
07/18/2024,$110.73,972893,$110.02,$112.22,$110.02
07/17/2024,$110.64,1346834,$108.91,$111.14,$108.45
07/16/2024,$108.47,1331752,$107.80,$108.90,$107.57
07/15/2024,$106.83,1344056,$108.57,$108.60,$106.78
07/12/2024,$109.17,1042732,$108.95,$109.86,$108.61
07/11/2024,$108.49,1385980,$106.47,$108.75,$106.27
07/10/2024,$105.92,1291993,$105.58,$105.93,$104.91
07/09/2024,$104.95,1361864,$104.57,$105.59,$104.13
07/08/2024,$104.75,1868998,$105.29,$105.635,$104.31
07/05/2024,$105.37,2579098,$105.44,$106.00,$104.94
07/03/2024,$105.55,1124180,$105.97,$107.33,$105.50
07/02/2024,$105.89,1530233,$105.85,$106.52,$105.685
07/01/2024,$105.74,1045542,$107.45,$107.715,$105.56
06/28/2024,$107.00,2553346,$107.19,$107.33,$106.45
06/27/2024,$106.76,947029,$106.45,$106.80,$105.92
06/26/2024,$106.40,935569,$106.17,$106.585,$105.345
06/25/2024,$106.65,1823347,$107.60,$107.64,$105.72
06/24/2024,$107.73,1365500,$106.00,$108.36,$105.99
06/21/2024,$105.81,2571789,$106.19,$107.395,$105.59
06/20/2024,$106.29,1747025,$106.00,$107.05,$105.8524
06/18/2024,$106.05,1500166,$106.18,$106.98,$105.58
06/17/2024,$106.37,1588160,$106.18,$107.20,$105.64
06/14/2024,$107.02,1526355,$106.51,$107.33,$106.13
06/13/2024,$107.10,1864593,$107.49,$107.615,$105.63
06/12/2024,$107.36,2183956,$108.90,$109.10,$106.66
06/11/2024,$108.16,2132388,$107.27,$108.65,$106.68
06/10/2024,$108.06,2090935,$108.22,$108.41,$107.20
06/07/2024,$108.47,1947125,$109.00,$109.91,$108.35
06/06/2024,$109.85,2111514,$110.50,$111.6699,$109.525
06/05/2024,$110.88,1895929,$111.75,$111.75,$110.04
06/04/2024,$111.59,1231556,$111.39,$112.19,$110.48
06/03/2024,$111.78,1655432,$112.03,$112.49,$111.23
05/31/2024,$112.49,3106469,$109.01,$112.68,$108.185
05/30/2024,$107.78,2474154,$107.05,$108.00,$106.27
05/29/2024,$106.71,1534680,$106.73,$107.245,$106.32
05/28/2024,$107.53,2092815,$108.86,$109.83,$107.47
05/24/2024,$109.14,1285093,$109.61,$110.0399,$109.04
05/23/2024,$109.40,1628062,$112.13,$112.13,$109.34
05/22/2024,$112.70,1635316,$113.84,$113.92,$112.46
05/21/2024,$114.22,1578691,$113.13,$114.28,$112.55
05/20/2024,$112.80,1379861,$113.44,$113.47,$112.63
05/17/2024,$113.03,2397365,$113.44,$113.48,$112.60
05/16/2024,$113.37,1447923,$112.57,$113.77,$112.42
05/15/2024,$112.59,1408370,$112.24,$113.065,$111.92
05/14/2024,$111.30,1295565,$112.20,$112.4631,$111.03
05/13/2024,$111.85,1479258,$111.99,$112.71,$111.54
05/10/2024,$111.99,1582262,$112.00,$112.605,$111.17
05/09/2024,$111.48,1590145,$110.83,$111.53,$110.71
05/08/2024,$110.83,1599453,$110.41,$110.91,$109.71
05/07/2024,$110.58,2274167,$109.72,$110.72,$109.38
05/06/2024,$109.02,2559508,$108.50,$109.38,$107.85
05/03/2024,$108.08,1720555,$108.00,$108.26,$106.75
05/02/2024,$107.16,1191863,$107.20,$107.595,$106.27
05/01/2024,$106.98,1232646,$105.31,$107.88,$105.035
04/30/2024,$106.67,1512209,$106.53,$107.53,$105.855
04/29/2024,$107.17,1332683,$107.06,$107.7788,$106.87
04/26/2024,$106.50,2144889,$107.50,$107.54,$106.11
04/25/2024,$107.53,1995706,$106.57,$107.77,$105.78
04/24/2024,$106.46,2667837,$105.66,$107.08,$103.49
04/23/2024,$107.18,1521706,$107.30,$108.45,$106.96
04/22/2024,$107.45,2810277,$106.32,$107.83,$105.69
04/19/2024,$106.77,2118778,$104.65,$107.21,$104.25
04/18/2024,$103.75,1802893,$103.74,$103.93,$102.33
04/17/2024,$103.19,1663444,$101.49,$103.37,$101.02
04/16/2024,$100.61,1578477,$102.19,$102.415,$100.38
04/15/2024,$102.29,1015312,$103.61,$103.895,$101.81
04/12/2024,$102.91,1330249,$104.07,$104.21,$102.27
04/11/2024,$103.83,1061768,$105.16,$105.16,$103.38
04/10/2024,$104.56,1664595,$104.69,$104.78,$103.50
04/09/2024,$106.32,1492210,$106.25,$106.48,$105.515
04/08/2024,$105.76,1495582,$104.15,$105.79,$104.15
04/05/2024,$104.23,2044078,$103.88,$104.805,$103.365
04/04/2024,$104.32,1492986,$105.34,$105.51,$103.36
04/03/2024,$104.40,1529837,$105.31,$105.63,$104.20
04/02/2024,$105.27,1015166,$104.83,$106.33,$104.83
04/01/2024,$104.74,917929,$105.51,$105.62,$104.245
03/28/2024,$105.68,1007163,$105.00,$105.795,$104.785
03/27/2024,$104.88,1669088,$102.86,$104.91,$102.68
03/26/2024,$102.35,1021704,$103.02,$103.34,$102.15
03/25/2024,$103.09,1269542,$103.35,$103.56,$102.76
03/22/2024,$103.17,924921,$103.98,$104.095,$102.91
03/21/2024,$103.37,1285789,$103.22,$104.18,$103.05
03/20/2024,$103.02,1227087,$103.03,$103.99,$102.61
03/19/2024,$103.24,1327580,$102.89,$103.60,$102.45
03/18/2024,$102.61,1455365,$101.96,$102.79,$101.64
03/15/2024,$101.96,2643806,$101.85,$103.11,$101.61
03/14/2024,$102.49,1705449,$101.23,$102.50,$101.11
03/13/2024,$102.99,1017263,$103.11,$103.89,$102.81
03/12/2024,$102.77,1124592,$103.00,$103.39,$101.92
03/11/2024,$103.36,1045614,$103.13,$104.245,$102.845
03/08/2024,$103.35,1243044,$102.98,$103.57,$102.39
03/07/2024,$102.84,1471034,$103.73,$103.97,$102.675
03/06/2024,$102.70,1113300,$102.72,$103.25,$102.05
03/05/2024,$102.04,1105533,$102.51,$103.92,$101.64
03/04/2024,$102.02,1084500,$100.00,$102.38,$99.84
03/01/2024,$100.47,1247237,$101.26,$101.29,$99.60
02/29/2024,$101.57,1387311,$101.14,$101.81,$100.585
02/28/2024,$100.57,798134,$100.71,$100.92,$100.0875
02/27/2024,$100.77,875349,$100.58,$100.84,$99.96
02/26/2024,$99.95,1537712,$102.23,$102.265,$99.79
02/23/2024,$102.50,2042999,$102.00,$103.09,$101.57
02/22/2024,$101.52,1899938,$100.29,$101.56,$99.82
02/21/2024,$101.26,1556225,$100.71,$101.69,$100.14
02/20/2024,$100.01,1257683,$100.19,$101.09,$99.755
02/16/2024,$100.15,1576502,$99.35,$100.77,$99.00
02/15/2024,$100.00,1257089,$98.40,$100.05,$97.86
02/14/2024,$98.08,1028352,$98.46,$98.87,$97.61
02/13/2024,$98.25,1932950,$98.52,$98.99,$96.15
02/12/2024,$99.05,1347373,$98.05,$99.355,$97.54
02/09/2024,$97.95,948143,$97.07,$98.03,$96.80
02/08/2024,$97.40,1337133,$97.22,$97.76,$96.24
02/07/2024,$98.76,1517053,$99.81,$100.05,$98.60
02/06/2024,$99.45,2232332,$99.38,$99.83,$98.70
02/05/2024,$99.60,1789527,$99.60,$100.33,$98.80
02/02/2024,$100.59,1648379,$101.01,$101.56,$99.25
02/01/2024,$101.99,931639,$99.35,$102.08,$98.75
01/31/2024,$99.76,2715193,$100.92,$101.09,$99.125
01/30/2024,$100.25,1401580,$99.74,$100.70,$98.96
01/29/2024,$99.74,1130477,$99.38,$100.12,$98.77
01/26/2024,$99.31,1114707,$99.22,$99.87,$98.87
01/25/2024,$99.08,1290840,$98.93,$99.3199,$97.56
01/24/2024,$97.20,2014439,$99.04,$99.25,$97.10
01/23/2024,$98.33,1125254,$98.44,$98.795,$97.49
01/22/2024,$98.34,1322203,$99.07,$99.71,$97.82
01/19/2024,$99.08,1420219,$99.20,$99.43,$98.40
01/18/2024,$98.86,1218864,$100.00,$100.231,$98.76
01/17/2024,$100.71,1929099,$102.32,$102.72,$99.45
01/16/2024,$102.96,1461924,$102.80,$103.715,$102.11
01/12/2024,$103.13,972064,$103.12,$103.445,$102.72
01/11/2024,$102.47,1129399,$104.28,$104.37,$101.93
01/10/2024,$104.54,767947,$104.37,$104.905,$103.875
01/09/2024,$104.37,885234,$104.07,$104.55,$103.69
01/08/2024,$104.68,1033243,$103.95,$104.72,$103.5278
01/05/2024,$103.94,1072978,$102.79,$104.14,$102.625
01/04/2024,$103.04,1240152,$103.42,$104.42,$102.76
01/03/2024,$103.07,1260832,$102.73,$103.21,$101.99
01/02/2024,$102.64,1079562,$100.61,$102.67,$100.50
12/29/2023,$101.19,844128,$100.37,$101.26,$100.20
12/28/2023,$100.91,716618,$100.32,$101.20,$100.30
12/27/2023,$100.31,744782,$100.12,$100.37,$99.73
12/26/2023,$100.35,1519807,$100.00,$100.94,$100.00
12/22/2023,$100.22,1170589,$100.35,$101.27,$99.98
12/21/2023,$99.73,985368,$99.75,$100.21,$98.81
12/20/2023,$99.63,1190190,$101.33,$102.00,$99.59
12/19/2023,$101.55,1541184,$101.12,$102.00,$100.89
12/18/2023,$101.53,2042470,$101.00,$102.095,$101.00
12/15/2023,$100.88,3148163,$101.95,$102.54,$100.02
12/14/2023,$103.27,2208051,$106.01,$106.45,$103.25
12/13/2023,$105.40,1628364,$101.59,$105.46,$100.96
12/12/2023,$101.59,1452987,$102.41,$102.41,$100.45
12/11/2023,$102.11,1264253,$101.69,$102.365,$101.10
12/08/2023,$102.01,1523371,$101.76,$102.19,$101.06
12/07/2023,$101.89,1544355,$101.73,$102.41,$100.875
12/06/2023,$101.55,1273191,$100.88,$101.56,$100.36
12/05/2023,$100.42,1001470,$101.48,$101.57,$100.30
12/04/2023,$101.39,1477425,$101.23,$102.48,$100.56
12/01/2023,$102.03,1929978,$101.40,$102.23,$101.01
11/30/2023,$101.41,2052450,$100.84,$101.8742,$100.30
11/29/2023,$100.59,1481016,$101.55,$102.20,$100.07
11/28/2023,$101.65,1408939,$101.47,$102.79,$101.21
11/27/2023,$101.63,1211707,$101.27,$102.10,$100.24
11/24/2023,$101.10,372144,$101.23,$101.46,$100.5014
11/22/2023,$101.19,1114139,$100.89,$101.335,$100.05
11/21/2023,$100.60,1679223,$99.46,$100.69,$98.85
11/20/2023,$98.96,1283972,$98.49,$99.46,$97.67
11/17/2023,$99.11,2194806,$99.53,$99.88,$98.74
11/16/2023,$98.85,3432895,$99.20,$99.41,$98.35
11/15/2023,$98.32,2146999,$98.13,$99.18,$97.85
11/14/2023,$98.35,2650827,$96.80,$98.48,$96.685
11/13/2023,$95.08,1919326,$95.48,$95.99,$94.845
11/10/2023,$96.61,1753108,$97.41,$97.43,$96.2701
11/09/2023,$96.83,2108288,$97.20,$97.88,$96.62
11/08/2023,$97.00,1627850,$96.86,$97.23,$95.85
11/07/2023,$97.65,1641759,$98.50,$98.50,$97.375
11/06/2023,$98.07,1470940,$98.87,$99.01,$97.96
11/03/2023,$98.18,1578116,$100.18,$100.7824,$97.96
11/02/2023,$98.65,1999534,$97.61,$99.69,$96.82
11/01/2023,$97.74,2737065,$95.94,$98.34,$94.95
10/31/2023,$95.59,2484422,$95.00,$95.955,$94.63
10/30/2023,$94.77,2576458,$92.31,$95.15,$92.31
10/27/2023,$91.38,1364927,$92.93,$93.02,$90.78
10/26/2023,$93.20,1786752,$92.73,$94.15,$92.45
10/25/2023,$92.56,2452628,$92.05,$93.22,$92.03
10/24/2023,$92.40,1539168,$91.91,$93.02,$91.72
10/23/2023,$90.92,1386465,$92.00,$92.69,$90.86
10/20/2023,$93.08,1189522,$93.48,$94.71,$93.07
10/19/2023,$93.37,1885886,$94.52,$95.22,$93.31
10/18/2023,$94.73,1948422,$94.71,$95.21,$93.78
10/17/2023,$94.77,1705565,$94.60,$95.795,$94.44
10/16/2023,$95.20,1968219,$94.54,$95.555,$93.28
10/13/2023,$93.55,1270883,$94.50,$94.81,$93.48
10/12/2023,$93.59,1196268,$94.64,$94.87,$93.21
10/11/2023,$94.96,1388062,$94.34,$95.01,$93.28
10/10/2023,$93.61,1433019,$92.95,$94.03,$92.76
10/09/2023,$93.02,1358597,$91.91,$93.02,$91.59
10/06/2023,$91.99,2099559,$90.62,$92.46,$89.57
10/05/2023,$91.76,1491482,$91.49,$92.1605,$90.12
10/04/2023,$91.02,1722312,$90.19,$91.21,$88.97
10/03/2023,$90.09,2446987,$87.93,$90.47,$87.10
10/02/2023,$88.87,3026432,$91.90,$92.065,$88.04
09/29/2023,$92.50,1242483,$93.16,$93.675,$91.96
09/28/2023,$92.29,1754533,$93.60,$93.63,$91.335
09/27/2023,$93.25,1369685,$93.15,$94.09,$92.75
09/26/2023,$93.20,1481091,$95.48,$95.61,$92.89
09/25/2023,$96.16,737111,$95.95,$96.72,$95.27
09/22/2023,$96.55,821966,$96.57,$97.225,$96.06
09/21/2023,$96.96,854590,$97.98,$98.24,$96.915
09/20/2023,$98.21,1127357,$99.12,$99.52,$97.89
09/19/2023,$98.46,928245,$98.89,$99.415,$98.42
09/18/2023,$98.78,1045522,$98.63,$98.835,$97.335
09/15/2023,$98.40,1745156,$98.74,$99.45,$98.21
09/14/2023,$98.75,1027583,$98.06,$98.80,$97.49
09/13/2023,$97.09,1210617,$95.53,$97.395,$95.48
09/12/2023,$95.74,1060323,$95.44,$96.12,$94.90
09/11/2023,$95.33,1128316,$95.23,$96.07,$95.09
09/08/2023,$95.27,1329873,$94.51,$95.48,$93.98
09/07/2023,$94.35,1508144,$94.45,$94.9105,$93.88
09/06/2023,$93.85,1423377,$92.87,$93.98,$92.475
09/05/2023,$92.67,1191317,$94.02,$94.34,$91.80
09/01/2023,$94.34,1184657,$95.76,$95.90,$93.52
08/31/2023,$95.25,1677770,$97.05,$97.26,$95.24
08/30/2023,$96.72,1859922,$97.39,$98.17,$96.66
08/29/2023,$97.98,2759225,$95.86,$98.595,$95.71
08/28/2023,$95.28,949130,$94.89,$96.16,$94.89
08/25/2023,$94.80,1099770,$94.97,$95.85,$94.66
08/24/2023,$94.80,1486216,$95.08,$96.39,$94.79
08/23/2023,$95.50,1319344,$95.09,$95.51,$94.05
08/22/2023,$94.73,819650,$94.92,$95.25,$94.445
08/21/2023,$95.08,825141,$95.54,$95.905,$94.01
08/18/2023,$95.58,3446720,$95.11,$96.02,$95.0901
08/17/2023,$95.05,881741,$95.54,$96.66,$95.03
08/16/2023,$95.58,1387540,$95.07,$95.88,$94.75
08/15/2023,$94.62,1313045,$95.74,$96.27,$94.33
08/14/2023,$96.33,1714317,$95.93,$96.515,$95.30
08/11/2023,$96.31,1462597,$96.50,$96.75,$95.86
08/10/2023,$96.16,1124081,$96.20,$96.80,$95.669
08/09/2023,$96.90,1786616,$97.08,$97.97,$96.5109
08/08/2023,$97.38,2028570,$96.97,$97.44,$95.67
08/07/2023,$97.23,1306969,$98.11,$98.6781,$97.22
08/04/2023,$97.64,1862946,$98.71,$99.56,$96.75
08/03/2023,$98.28,1698134,$100.69,$100.77,$97.67
08/02/2023,$101.40,1720651,$102.11,$102.755,$100.655
08/01/2023,$101.17,1300616,$102.62,$102.795,$100.92
07/31/2023,$102.70,1316910,$103.97,$104.01,$102.01
07/28/2023,$103.27,1050124,$104.42,$104.885,$102.555
07/27/2023,$103.63,1304935,$104.06,$104.72,$103.24
07/26/2023,$104.39,1255402,$104.40,$105.75,$104.30
07/25/2023,$104.45,717224,$104.34,$105.20,$104.04
07/24/2023,$104.46,806346,$104.17,$104.73,$103.34
07/21/2023,$103.99,1120114,$104.04,$104.80,$103.34
07/20/2023,$103.72,2411862,$101.84,$104.04,$101.295
