Date,Close/Last,Volume,Open,High,Low
09/06/2024,$53.19,3489801,$55.99,$56.1424,$53.12
09/05/2024,$55.57,3068627,$55.63,$55.775,$53.68
09/04/2024,$55.57,3374666,$54.24,$56.69,$54.21
09/03/2024,$54.76,3955872,$55.07,$56.34,$54.55
08/30/2024,$55.09,9732842,$55.95,$56.01,$54.20
08/29/2024,$55.50,1858159,$55.76,$56.34,$55.27
08/28/2024,$55.23,2582857,$55.39,$55.93,$54.81
08/27/2024,$55.39,2336368,$55.34,$55.52,$54.08
08/26/2024,$55.16,2431587,$55.30,$56.08,$54.605
08/23/2024,$55.40,2455673,$53.82,$55.59,$53.79
08/22/2024,$53.79,2449460,$54.15,$55.29,$53.46
08/21/2024,$54.64,2259005,$54.72,$55.35,$54.11
08/20/2024,$54.26,2115200,$54.79,$55.45,$53.71
08/19/2024,$54.88,2444695,$54.10,$55.095,$53.67
08/16/2024,$53.91,2014211,$53.81,$54.67,$53.32
08/15/2024,$53.73,4182034,$52.99,$54.825,$52.69
08/14/2024,$51.50,3469637,$53.74,$53.94,$51.45
08/13/2024,$54.065,2820485,$53.50,$54.47,$52.54
08/12/2024,$53.19,3282537,$55.07,$55.28,$52.97
08/09/2024,$54.97,2815932,$54.09,$55.94,$53.74
08/08/2024,$54.23,2428029,$53.64,$54.66,$53.40
08/07/2024,$53.36,3630223,$54.76,$56.18,$53.285
08/06/2024,$53.98,6391151,$55.455,$55.9199,$53.47
08/05/2024,$55.45,7237385,$56.37,$57.33,$54.61
08/02/2024,$59.35,3774248,$59.18,$59.68,$58.01
08/01/2024,$60.16,7829431,$63.50,$63.50,$58.46
07/31/2024,$65.14,4748789,$64.99,$66.18,$64.52
07/30/2024,$64.52,2713846,$63.36,$64.76,$63.30
07/29/2024,$63.87,2891746,$63.15,$64.4119,$62.605
07/26/2024,$62.27,3003317,$61.49,$62.45,$61.15
07/25/2024,$60.43,2372292,$60.06,$62.24,$59.29
07/24/2024,$60.26,2840571,$60.85,$61.80,$59.69
