Date,Close/Last,Volume,Open,High,Low
09/06/2024,$8.17,565079,$8.31,$8.33,$8.16
09/05/2024,$8.30,457594,$8.31,$8.36,$8.275
09/04/2024,$8.34,386689,$8.31,$8.36,$8.30
09/03/2024,$8.32,559768,$8.47,$8.51,$8.30
08/30/2024,$8.51,478555,$8.54,$8.57,$8.45
08/29/2024,$8.48,436727,$8.43,$8.50,$8.42
08/28/2024,$8.39,458383,$8.41,$8.44,$8.39
08/27/2024,$8.45,480465,$8.43,$8.475,$8.40
08/26/2024,$8.43,647225,$8.47,$8.48,$8.41
08/23/2024,$8.47,430702,$8.34,$8.47,$8.33
08/22/2024,$8.30,633107,$8.34,$8.41,$8.29
08/21/2024,$8.40,579280,$8.44,$8.4799,$8.38
08/20/2024,$8.44,443804,$8.44,$8.485,$8.44
08/19/2024,$8.44,392854,$8.42,$8.47,$8.41
08/16/2024,$8.42,423552,$8.38,$8.46,$8.37
08/15/2024,$8.40,349917,$8.37,$8.42,$8.33
08/14/2024,$8.31,467756,$8.34,$8.36,$8.25
08/13/2024,$8.31,426485,$8.25,$8.32,$8.23
08/12/2024,$8.19,359360,$8.19,$8.2551,$8.125
08/09/2024,$8.17,385822,$8.12,$8.1801,$8.08
08/08/2024,$8.11,479792,$8.05,$8.11,$8.015
08/07/2024,$7.97,641738,$8.13,$8.1301,$7.96
08/06/2024,$8.02,678300,$7.96,$8.08,$7.92
08/05/2024,$7.86,1244997,$7.80,$7.96,$7.70
08/02/2024,$8.13,1093320,$8.28,$8.30,$8.055
08/01/2024,$8.35,629392,$8.48,$8.53,$8.34
07/31/2024,$8.46,733437,$8.47,$8.58,$8.38
07/30/2024,$8.37,750222,$8.44,$8.485,$8.33
07/29/2024,$8.39,536043,$8.34,$8.41,$8.29
07/26/2024,$8.32,481648,$8.36,$8.4099,$8.29
07/25/2024,$8.32,564116,$8.35,$8.45,$8.30
07/24/2024,$8.35,405619,$8.44,$8.44,$8.32
07/23/2024,$8.48,373785,$8.48,$8.55,$8.44
07/22/2024,$8.54,681447,$8.47,$8.58,$8.44
07/19/2024,$8.43,1070431,$8.44,$8.485,$8.38
07/18/2024,$8.46,780960,$8.64,$8.71,$8.44
07/17/2024,$8.63,616705,$8.72,$8.74,$8.62
07/16/2024,$8.77,831492,$8.72,$8.80,$8.72
07/15/2024,$8.695,497702,$8.72,$8.73,$8.67
07/12/2024,$8.68,362658,$8.63,$8.69,$8.60
07/11/2024,$8.60,584268,$8.61,$8.62,$8.58
07/10/2024,$8.62,563816,$8.58,$8.62,$8.56
07/09/2024,$8.55,784535,$8.54,$8.62,$8.52
07/08/2024,$8.52,566694,$8.53,$8.55,$8.50
07/05/2024,$8.55,316798,$8.53,$8.56,$8.51
07/03/2024,$8.53,282540,$8.52,$8.53,$8.51
07/02/2024,$8.48,354226,$8.46,$8.50,$8.45
07/01/2024,$8.44,508494,$8.48,$8.4999,$8.42
06/28/2024,$8.45,740912,$8.52,$8.53,$8.45
06/27/2024,$8.47,409330,$8.43,$8.47,$8.41
06/26/2024,$8.43,444453,$8.40,$8.43,$8.38
06/25/2024,$8.40,460222,$8.41,$8.43,$8.385
06/24/2024,$8.38,359668,$8.37,$8.40,$8.36
06/21/2024,$8.36,226703,$8.38,$8.38,$8.34
06/20/2024,$8.42,667335,$8.46,$8.4642,$8.4101
06/18/2024,$8.45,331309,$8.43,$8.46,$8.4181
06/17/2024,$8.46,330833,$8.40,$8.46,$8.38
06/14/2024,$8.40,447886,$8.37,$8.42,$8.35
06/13/2024,$8.42,323240,$8.42,$8.43,$8.38
06/12/2024,$8.39,265390,$8.40,$8.44,$8.39
06/11/2024,$8.36,308608,$8.30,$8.37,$8.30
06/10/2024,$8.33,549537,$8.41,$8.43,$8.30
06/07/2024,$8.39,436891,$8.38,$8.42,$8.3601
06/06/2024,$8.37,416446,$8.39,$8.43,$8.37
06/05/2024,$8.39,748343,$8.34,$8.39,$8.3043
06/04/2024,$8.30,381027,$8.27,$8.30,$8.25
06/03/2024,$8.27,416705,$8.26,$8.28,$8.22
05/31/2024,$8.27,447203,$8.24,$8.29,$8.159
05/30/2024,$8.17,501280,$8.12,$8.20,$8.12
