Date,Close/Last,Volume,Open,High,Low
09/06/2024,$121.00,630846,$122.62,$123.61,$120.61
09/05/2024,$122.53,895690,$125.22,$125.375,$121.165
09/04/2024,$125.20,836960,$123.87,$125.75,$123.02
09/03/2024,$123.36,887292,$122.24,$123.89,$121.42
08/30/2024,$123.41,1112325,$122.50,$123.45,$121.79
08/29/2024,$122.17,745512,$123.48,$123.58,$121.905
08/28/2024,$122.60,516346,$122.24,$122.81,$121.68
08/27/2024,$122.30,687252,$122.65,$122.8699,$121.62
08/26/2024,$122.74,637472,$123.52,$123.52,$121.985
08/23/2024,$123.05,434695,$123.33,$124.23,$122.771
08/22/2024,$123.00,733120,$122.33,$123.07,$121.93
08/21/2024,$122.27,1011249,$120.73,$122.31,$120.06
08/20/2024,$119.94,803746,$121.16,$121.16,$119.42
08/19/2024,$121.30,788424,$120.36,$121.35,$120.195
08/16/2024,$120.06,994947,$119.63,$120.40,$118.87
08/15/2024,$119.44,887686,$120.67,$121.25,$119.27
08/14/2024,$119.33,748193,$119.38,$120.00,$118.77
08/13/2024,$119.29,1099794,$118.61,$119.38,$118.01
08/12/2024,$119.11,1158820,$119.25,$119.55,$117.50
08/09/2024,$119.08,966915,$119.16,$119.60,$118.31
08/08/2024,$119.12,1206648,$117.76,$119.325,$116.64
08/07/2024,$116.93,1633570,$116.99,$118.71,$115.64
08/06/2024,$116.10,2577952,$112.86,$117.66,$111.5401
08/05/2024,$121.29,1282774,$121.47,$122.77,$119.46
08/02/2024,$123.13,937711,$125.12,$125.66,$121.66
08/01/2024,$126.48,1161138,$126.96,$129.14,$125.92
07/31/2024,$124.82,1282930,$125.96,$126.34,$124.27
07/30/2024,$124.96,507706,$124.78,$126.18,$124.16
07/29/2024,$124.47,570249,$124.17,$125.255,$123.43
07/26/2024,$124.18,912852,$124.44,$125.98,$123.88
07/25/2024,$124.85,1070682,$124.27,$127.26,$123.86
07/24/2024,$124.03,1024155,$123.44,$124.6297,$122.28
07/23/2024,$123.87,1060613,$122.33,$124.335,$121.64
07/22/2024,$122.97,1251881,$121.41,$123.05,$120.28
07/19/2024,$120.20,3151706,$120.92,$121.41,$119.35
07/18/2024,$120.29,1242356,$121.76,$123.11,$120.23
07/17/2024,$120.81,1675973,$120.26,$122.05,$120.18
07/16/2024,$121.60,2312850,$119.56,$122.66,$118.95
