Date,Close/Last,Volume,Open,High,Low
09/06/2024,$132.26,1234041,$135.16,$136.88,$131.72
09/05/2024,$135.19,1340724,$134.00,$137.67,$133.57
09/04/2024,$134.92,1065106,$136.20,$137.72,$134.74
09/03/2024,$136.74,1532158,$138.56,$139.635,$135.875
08/30/2024,$139.09,2008340,$142.23,$142.23,$138.39
08/29/2024,$140.91,1263191,$141.00,$142.42,$139.935
08/28/2024,$139.72,1237053,$139.80,$140.5099,$138.79
08/27/2024,$140.80,1710960,$136.69,$141.79,$136.36
08/26/2024,$137.12,1270615,$138.13,$139.675,$136.99
08/23/2024,$138.13,1303564,$134.40,$138.90,$133.905
08/22/2024,$133.12,1065460,$133.63,$135.15,$132.72
08/21/2024,$133.19,1279827,$134.00,$134.84,$131.93
08/20/2024,$133.52,1333400,$135.00,$136.26,$133.345
08/19/2024,$135.46,1552503,$131.95,$135.64,$131.58
08/16/2024,$131.04,1675629,$130.93,$131.7976,$130.15
08/15/2024,$132.22,1569966,$130.25,$132.87,$129.71
08/14/2024,$129.03,2829970,$131.02,$132.48,$127.61
08/13/2024,$130.58,1868334,$128.43,$130.695,$127.4401
08/12/2024,$126.89,2417612,$128.51,$129.69,$126.3301
08/09/2024,$130.01,6092480,$130.00,$131.31,$125.50
08/08/2024,$117.97,4123856,$113.37,$118.56,$112.6824
08/07/2024,$113.24,3040151,$115.00,$116.17,$111.08
08/06/2024,$117.53,2952163,$113.00,$117.805,$112.54
08/05/2024,$112.12,3321278,$111.75,$114.34,$110.20
08/02/2024,$115.49,3051294,$116.50,$117.17,$113.19
08/01/2024,$121.48,2711181,$126.80,$127.11,$120.06
07/31/2024,$127.67,1641446,$129.09,$129.29,$125.94
07/30/2024,$128.53,1379556,$128.63,$129.71,$127.67
07/29/2024,$128.28,1321765,$126.425,$128.84,$125.95
07/26/2024,$125.87,1440159,$126.69,$127.19,$125.19
07/25/2024,$124.90,2212386,$126.62,$126.70,$121.95
07/24/2024,$128.49,2084659,$131.64,$131.85,$127.20
07/23/2024,$132.67,1524639,$134.85,$136.21,$132.52
07/22/2024,$134.46,1641953,$134.83,$136.31,$132.62
07/19/2024,$135.88,1412336,$134.49,$136.58,$133.87
07/18/2024,$133.52,1362759,$135.54,$137.73,$133.43
