Date,Close/Last,Volume,Open,High,Low
09/06/2024,$173.58,993178,$173.46,$174.075,$171.22
09/05/2024,$173.56,808067,$177.13,$178.00,$173.15
09/04/2024,$175.74,889509,$176.26,$178.54,$174.65
09/03/2024,$176.10,753029,$176.40,$177.915,$174.49
08/30/2024,$177.00,767387,$176.36,$177.30,$174.30
08/29/2024,$175.54,516566,$174.71,$176.89,$173.66
08/28/2024,$174.71,709449,$177.40,$178.36,$173.47
08/27/2024,$178.28,507645,$176.56,$178.94,$175.715
08/26/2024,$177.70,722675,$178.96,$179.2324,$176.91
08/23/2024,$178.22,792933,$174.23,$178.6299,$173.25
08/22/2024,$173.70,675042,$171.83,$173.81,$171.215
08/21/2024,$171.02,439294,$169.98,$171.28,$167.58
08/20/2024,$169.36,477066,$169.45,$170.00,$168.44
08/19/2024,$169.23,450732,$167.80,$169.23,$166.96
08/16/2024,$167.27,870971,$166.13,$168.52,$165.165
08/15/2024,$166.17,816391,$166.93,$167.92,$165.16
08/14/2024,$166.68,869953,$165.98,$167.885,$165.57
08/13/2024,$165.94,494403,$165.79,$166.175,$163.345
08/12/2024,$164.11,546473,$163.83,$164.71,$162.345
08/09/2024,$164.39,500665,$163.88,$165.18,$162.00
08/08/2024,$163.18,701803,$160.89,$163.29,$159.98
08/07/2024,$161.63,1155275,$163.50,$165.57,$160.53
08/06/2024,$163.20,1502870,$157.86,$165.33,$157.04
08/05/2024,$158.74,1797381,$162.73,$164.42,$157.89
08/02/2024,$164.95,1446380,$159.89,$165.64,$159.89
08/01/2024,$159.86,1286396,$162.07,$162.80,$157.9358
07/31/2024,$159.62,1687763,$163.53,$164.04,$156.67
07/30/2024,$163.10,1142099,$164.33,$165.75,$161.95
07/29/2024,$163.99,1024232,$164.30,$165.26,$161.74
07/26/2024,$164.61,742322,$162.53,$165.93,$160.73
07/25/2024,$160.69,1013008,$163.09,$164.39,$160.16
07/24/2024,$161.87,852322,$166.30,$167.60,$161.52
07/23/2024,$166.48,854094,$165.32,$167.11,$164.72
07/22/2024,$165.77,714253,$164.53,$165.84,$162.35
07/19/2024,$164.10,754115,$167.65,$167.65,$163.61
07/18/2024,$167.22,1054303,$166.75,$171.46,$165.3784
07/17/2024,$167.81,1034281,$165.03,$167.96,$164.79
07/16/2024,$164.81,825543,$163.46,$165.64,$162.89
07/15/2024,$162.40,669056,$162.61,$162.71,$159.28
07/12/2024,$161.92,804073,$160.17,$163.15,$159.805
07/11/2024,$158.91,890457,$156.18,$159.38,$155.26
07/10/2024,$153.72,726122,$154.53,$154.89,$152.36
07/09/2024,$153.53,584246,$154.65,$154.65,$151.69
07/08/2024,$154.57,462017,$154.91,$155.79,$153.95
07/05/2024,$154.36,484502,$154.80,$154.80,$152.78
07/03/2024,$154.20,261357,$153.72,$155.49,$152.99
07/02/2024,$153.72,637103,$151.92,$154.24,$151.65
07/01/2024,$151.92,796237,$154.25,$156.05,$151.68
06/28/2024,$155.41,2310673,$156.33,$157.47,$153.48
06/27/2024,$155.74,1318129,$157.32,$158.17,$154.32
06/26/2024,$156.99,1114555,$156.38,$157.535,$155.42
06/25/2024,$157.20,776353,$159.39,$159.39,$156.37
06/24/2024,$159.33,926583,$158.35,$160.99,$157.20
06/21/2024,$158.93,1576504,$158.28,$159.23,$156.885
06/20/2024,$158.00,865892,$158.48,$158.89,$156.33
06/18/2024,$159.28,1500437,$155.08,$159.92,$154.56
06/17/2024,$154.91,1318073,$155.24,$157.10,$154.11
06/14/2024,$156.57,1284212,$156.49,$158.23,$154.78
06/13/2024,$158.53,1233783,$155.42,$159.36,$154.81
