Date,Close/Last,Volume,Open,High,Low
09/06/2024,$283.04,1117464,$285.38,$288.005,$282.65
09/05/2024,$285.31,1317998,$293.46,$293.95,$283.75
09/04/2024,$292.84,719195,$293.91,$295.36,$291.995
09/03/2024,$293.48,1138831,$296.06,$297.16,$291.56
08/30/2024,$298.77,1096965,$297.09,$299.10,$294.7101
08/29/2024,$296.25,729970,$297.75,$299.19,$295.46
08/28/2024,$296.13,712298,$294.91,$297.58,$294.20
08/27/2024,$294.90,828694,$297.23,$297.64,$292.73
08/26/2024,$297.24,771591,$298.57,$299.31,$295.75
08/23/2024,$297.18,865593,$295.91,$298.57,$294.84
08/22/2024,$294.28,980082,$292.60,$294.63,$290.67
08/21/2024,$291.52,787399,$290.76,$292.625,$289.29
08/20/2024,$288.44,591742,$287.99,$289.00,$286.46
08/19/2024,$288.42,804192,$285.88,$288.87,$285.5235
08/16/2024,$285.40,1318335,$284.00,$285.55,$279.15
08/15/2024,$284.18,1292881,$287.30,$291.70,$282.64
08/14/2024,$283.33,768241,$283.31,$285.03,$282.815
08/13/2024,$283.10,1232043,$280.23,$283.39,$279.20
08/12/2024,$279.15,1247323,$279.21,$281.41,$277.49
08/09/2024,$277.41,1256175,$277.44,$277.97,$274.15
08/08/2024,$278.62,1573352,$279.12,$281.80,$276.465
08/07/2024,$278.13,1790974,$289.00,$289.00,$277.06
08/06/2024,$285.73,1424722,$284.80,$289.70,$282.57
08/05/2024,$283.09,2684030,$284.61,$289.18,$279.60
08/02/2024,$292.30,2252729,$292.98,$294.54,$287.73
08/01/2024,$297.83,1532574,$303.22,$305.8721,$296.29
07/31/2024,$302.25,947414,$301.05,$305.61,$300.8812
07/30/2024,$300.88,1038532,$299.96,$303.00,$299.305
07/29/2024,$299.23,865086,$300.32,$301.97,$298.06
07/26/2024,$300.14,1200882,$299.85,$302.18,$297.47
07/25/2024,$298.59,1262657,$298.29,$303.29,$298.01
07/24/2024,$298.28,1541125,$300.81,$300.81,$296.58
07/23/2024,$300.80,2268483,$299.00,$304.0875,$297.75
07/22/2024,$307.43,1414201,$307.00,$307.74,$301.40
07/19/2024,$306.31,1294627,$306.62,$308.73,$304.02
07/18/2024,$306.62,1603002,$308.98,$313.16,$305.64
07/17/2024,$310.43,1588345,$310.43,$313.6691,$308.10
07/16/2024,$313.52,2812578,$305.84,$313.84,$305.775
07/15/2024,$305.02,2068704,$300.46,$305.59,$299.06
07/12/2024,$299.02,1445706,$298.56,$301.01,$297.68
07/11/2024,$299.54,1860782,$294.99,$300.94,$294.675
07/10/2024,$293.27,1466553,$292.73,$293.66,$289.46
07/09/2024,$292.73,1252354,$296.00,$296.84,$292.52
07/08/2024,$295.53,1532993,$294.51,$297.8936,$293.615
07/05/2024,$294.00,1480190,$293.71,$294.97,$292.07
07/03/2024,$293.71,1274326,$299.24,$299.50,$292.655
07/02/2024,$298.22,1834588,$296.49,$301.21,$296.49
07/01/2024,$298.68,2469072,$298.12,$301.28,$297.21
06/28/2024,$299.84,4278920,$293.90,$302.4084,$293.44
06/27/2024,$295.47,3989167,$293.12,$295.85,$288.41
06/26/2024,$296.19,11126140,$288.425,$296.86,$284.00
06/25/2024,$256.38,6313659,$256.15,$256.80,$252.6001
06/24/2024,$256.51,1897242,$253.98,$257.3085,$253.14
06/21/2024,$253.66,3145207,$252.98,$255.89,$251.6101
06/20/2024,$252.52,1488600,$248.76,$253.3499,$248.465
06/18/2024,$248.09,1506100,$250.20,$252.41,$247.60
06/17/2024,$250.06,1252183,$245.54,$250.47,$244.85
06/14/2024,$246.43,1245761,$246.55,$247.91,$242.92
06/13/2024,$248.60,1015640,$249.14,$249.50,$244.26
06/12/2024,$248.60,1555991,$253.38,$254.30,$248.13
06/11/2024,$252.43,1176868,$252.16,$252.5875,$249.90
06/10/2024,$253.72,1475471,$247.00,$254.21,$245.915
06/07/2024,$247.73,1281900,$247.96,$251.37,$247.145
06/06/2024,$250.27,1171199,$248.05,$251.29,$247.31
06/05/2024,$248.05,930390,$247.90,$248.335,$244.47
06/04/2024,$245.95,1253621,$248.00,$248.33,$244.26
06/03/2024,$248.62,1409883,$253.38,$253.99,$246.71
05/31/2024,$253.96,1747147,$250.00,$254.325,$248.12
05/30/2024,$249.58,1084452,$246.15,$249.70,$245.505
05/29/2024,$245.11,1108329,$245.84,$247.03,$244.31
05/28/2024,$248.04,1229816,$247.20,$249.43,$246.71
05/24/2024,$247.59,1096590,$250.00,$250.89,$246.31
05/23/2024,$249.29,1446511,$251.55,$252.15,$246.895
05/22/2024,$252.07,1766130,$252.00,$252.66,$249.79
05/21/2024,$252.33,1027206,$254.00,$254.80,$250.93
05/20/2024,$254.71,899543,$256.99,$257.41,$254.07
05/17/2024,$257.25,1419700,$260.08,$260.08,$256.2796
05/16/2024,$258.78,1136270,$258.56,$260.99,$257.41
05/15/2024,$259.32,1145756,$260.00,$260.73,$258.19
05/14/2024,$259.04,2534036,$267.22,$267.625,$258.35
05/13/2024,$266.89,2036442,$266.03,$268.33,$265.03
05/10/2024,$265.73,1092424,$262.06,$265.95,$262.06
05/09/2024,$262.06,923721,$258.18,$262.51,$258.18
05/08/2024,$258.01,1453867,$257.78,$259.00,$255.81
05/07/2024,$259.47,1356150,$261.23,$262.035,$258.49
05/06/2024,$260.29,929625,$262.84,$263.00,$260.17
05/03/2024,$260.65,1085243,$263.50,$265.57,$259.845
05/02/2024,$262.03,1311629,$263.29,$263.8782,$260.01
05/01/2024,$260.73,901041,$261.65,$263.03,$259.78
04/30/2024,$261.78,853888,$264.84,$264.97,$261.66
04/29/2024,$265.86,787712,$266.53,$268.24,$263.965
04/26/2024,$265.84,958876,$264.13,$267.45,$263.31
04/25/2024,$265.52,876128,$263.94,$265.80,$262.70
04/24/2024,$266.07,1696568,$270.51,$271.33,$263.58
04/23/2024,$271.75,1186998,$270.42,$273.91,$270.00
04/22/2024,$270.15,1246671,$268.67,$271.94,$267.02
04/19/2024,$266.99,1894373,$264.24,$269.10,$263.46
04/18/2024,$263.37,1063718,$264.11,$265.20,$262.08
04/17/2024,$263.07,1371907,$264.40,$265.931,$262.22
04/16/2024,$264.94,1421134,$266.58,$266.845,$263.16
04/15/2024,$266.74,999078,$270.82,$271.61,$266.15
04/12/2024,$267.80,1176474,$271.11,$271.72,$265.90
04/11/2024,$272.18,1031935,$270.39,$273.0646,$269.7032
04/10/2024,$270.30,2603197,$272.23,$273.8696,$267.76
04/09/2024,$276.37,1223883,$275.03,$276.55,$273.60
04/08/2024,$275.57,2048696,$274.98,$276.52,$274.26
04/05/2024,$273.52,1568954,$275.00,$275.95,$272.16
04/04/2024,$275.51,1836530,$280.43,$281.19,$274.40
04/03/2024,$278.49,1805831,$276.68,$279.64,$275.00
04/02/2024,$275.29,2516403,$276.51,$277.93,$273.84
04/01/2024,$280.13,2783955,$284.24,$287.09,$279.37
03/28/2024,$289.74,1650866,$287.28,$290.44,$286.46
03/27/2024,$287.88,1786587,$289.81,$289.81,$284.30
03/26/2024,$288.99,4527764,$283.13,$290.87,$282.855
03/25/2024,$282.57,3028465,$280.78,$283.015,$277.55
03/22/2024,$284.32,8186588,$286.00,$291.27,$281.3977
03/21/2024,$264.85,4879372,$259.55,$265.53,$259.54
03/20/2024,$259.99,1890239,$256.62,$260.18,$255.01
03/19/2024,$256.62,1444351,$252.93,$257.27,$252.51
03/18/2024,$253.18,1558640,$253.32,$254.935,$251.68
03/15/2024,$253.29,3296730,$252.87,$255.8125,$252.33
03/14/2024,$255.53,1333915,$254.67,$256.355,$253.545
03/13/2024,$255.22,1492343,$255.55,$258.18,$255.155
03/12/2024,$254.22,1912412,$253.25,$258.21,$253.19
03/11/2024,$252.70,1475093,$247.84,$253.3996,$247.84
03/08/2024,$247.68,1117099,$250.07,$250.29,$247.49
03/07/2024,$250.24,1536610,$249.71,$251.17,$248.99
03/06/2024,$248.40,1649922,$249.81,$251.65,$247.43
03/05/2024,$248.72,1381096,$245.58,$248.79,$245.16
03/04/2024,$246.77,1594813,$245.04,$248.10,$244.5253
03/01/2024,$246.60,1682698,$248.04,$249.18,$245.57
02/29/2024,$248.97,2789271,$245.78,$249.46,$245.205
02/28/2024,$244.37,1442629,$239.33,$244.52,$239.07
02/27/2024,$241.40,1030014,$241.32,$242.5999,$240.90
02/26/2024,$241.12,1294706,$241.62,$243.89,$240.515
02/23/2024,$243.46,1128793,$244.23,$244.95,$242.52
02/22/2024,$244.16,1344913,$242.14,$244.30,$241.58
02/21/2024,$241.41,1497131,$239.72,$241.54,$238.21
02/20/2024,$239.54,1671562,$236.52,$239.66,$235.32
02/16/2024,$237.59,2113042,$235.81,$238.19,$234.45
02/15/2024,$236.52,1520410,$236.27,$238.32,$235.74
02/14/2024,$236.83,1454009,$237.42,$237.70,$235.31
02/13/2024,$236.39,2513560,$240.75,$240.841,$235.05
02/12/2024,$244.44,1773250,$242.71,$244.60,$241.86
02/09/2024,$242.62,1786278,$242.06,$242.82,$240.13
02/08/2024,$241.75,1847276,$241.90,$243.34,$240.41
02/07/2024,$242.13,2155680,$242.02,$243.28,$240.325
02/06/2024,$241.32,2625108,$238.90,$243.78,$238.71
02/05/2024,$238.31,2624882,$240.79,$241.60,$237.95
02/02/2024,$242.36,1999383,$241.50,$243.8199,$239.34
02/01/2024,$241.95,2417149,$241.39,$242.59,$239.18
01/31/2024,$241.29,2990634,$243.41,$244.45,$240.54
01/30/2024,$243.77,3961508,$243.32,$247.045,$241.35
01/29/2024,$248.03,2612201,$250.86,$251.01,$246.01
01/26/2024,$251.55,1755791,$253.42,$254.4399,$250.78
01/25/2024,$253.13,1714542,$251.85,$254.845,$251.459
01/24/2024,$249.73,2466739,$252.17,$253.52,$248.79
01/23/2024,$250.85,1633893,$251.18,$251.84,$249.30
01/22/2024,$250.69,2300042,$247.40,$251.73,$247.40
01/19/2024,$246.53,2430484,$244.79,$246.65,$242.015
01/18/2024,$244.07,1995349,$244.92,$244.92,$242.00
01/17/2024,$243.29,1904154,$242.00,$244.79,$241.50
01/16/2024,$245.04,2804970,$247.25,$247.25,$243.66
01/12/2024,$248.57,1603988,$250.27,$251.53,$247.60
01/11/2024,$250.85,2020364,$250.14,$251.73,$248.39
01/10/2024,$250.81,1968739,$246.79,$251.09,$246.03
01/09/2024,$247.25,1514107,$247.10,$248.71,$246.64
01/08/2024,$248.59,2226695,$248.27,$249.84,$246.11
01/05/2024,$246.81,2268168,$245.04,$248.83,$244.51
01/04/2024,$245.29,2911784,$247.25,$247.74,$245.08
01/03/2024,$247.64,2949909,$250.27,$250.27,$245.80
01/02/2024,$252.24,2488189,$251.51,$252.94,$250.23
12/29/2023,$252.97,1948991,$254.07,$255.6341,$251.865
12/28/2023,$253.58,2246942,$250.78,$253.9799,$250.60
12/27/2023,$250.94,3134359,$252.76,$254.65,$250.72
12/26/2023,$251.99,3594475,$250.00,$253.29,$249.20
12/22/2023,$248.03,3347351,$247.22,$249.42,$245.85
12/21/2023,$247.36,5851662,$248.11,$248.7494,$244.63
12/20/2023,$246.25,18816520,$246.50,$252.68,$245.93
12/19/2023,$280.00,6880302,$281.07,$283.5799,$278.50
12/18/2023,$281.92,2469078,$283.25,$285.53,$280.64
12/15/2023,$281.29,2767757,$277.85,$284.52,$276.885
12/14/2023,$279.46,2889748,$277.50,$282.24,$275.97
12/13/2023,$273.83,1499964,$272.04,$274.87,$268.56
12/12/2023,$273.01,1539948,$273.48,$276.25,$272.14
12/11/2023,$271.38,1295508,$271.96,$273.90,$271.09
12/08/2023,$272.21,2046438,$267.42,$273.76,$267.375
12/07/2023,$267.63,1401366,$268.00,$268.98,$265.525
12/06/2023,$267.21,1649335,$267.43,$269.035,$266.39
12/05/2023,$266.08,1176323,$264.22,$267.28,$262.51
12/04/2023,$265.60,1420373,$262.63,$267.80,$261.89
12/01/2023,$264.42,1994950,$259.15,$265.30,$258.53
11/30/2023,$258.83,1806611,$253.83,$259.185,$252.17
