Date,Close/Last,Volume,Open,High,Low
09/06/2024,$198.93,742224,$200.57,$203.40,$198.65
09/05/2024,$200.80,668690,$199.27,$202.68,$198.41
09/04/2024,$199.43,522264,$198.42,$201.03,$197.367
09/03/2024,$198.85,762147,$202.00,$203.98,$198.09
08/30/2024,$203.15,570466,$202.67,$203.59,$200.53
08/29/2024,$202.14,485179,$200.23,$203.295,$200.04
08/28/2024,$198.89,352229,$199.06,$200.74,$197.805
08/27/2024,$199.71,304126,$198.71,$200.325,$197.83
08/26/2024,$199.41,311941,$199.56,$201.165,$198.60
08/23/2024,$199.01,255843,$198.07,$199.175,$197.085
08/22/2024,$195.73,350702,$199.64,$199.695,$195.44
08/21/2024,$199.42,521277,$196.65,$199.54,$195.06
08/20/2024,$198.37,296054,$196.73,$198.68,$196.565
08/19/2024,$196.365,383959,$196.00,$197.00,$194.45
08/16/2024,$195.57,334670,$195.06,$196.48,$194.8854
08/15/2024,$195.57,460395,$194.99,$196.52,$193.70
08/14/2024,$191.36,369869,$191.24,$193.09,$190.94
08/13/2024,$191.76,392094,$190.44,$192.79,$189.39
08/12/2024,$189.19,359016,$192.09,$192.09,$188.515
08/09/2024,$192.00,307984,$189.03,$192.13,$188.3127
08/08/2024,$189.35,489950,$187.30,$190.40,$186.19
08/07/2024,$186.05,314252,$190.13,$191.50,$185.74
08/06/2024,$188.07,526516,$187.97,$192.055,$187.885
08/05/2024,$187.14,494343,$188.35,$189.66,$184.805
08/02/2024,$191.99,518850,$192.71,$193.015,$189.74
08/01/2024,$195.48,931253,$203.50,$204.05,$193.87
07/31/2024,$203.64,1433339,$203.33,$205.92,$198.1801
07/30/2024,$200.66,2651330,$199.64,$202.40,$193.25
07/29/2024,$177.59,1057044,$177.48,$179.47,$177.13
07/26/2024,$177.34,465464,$174.11,$177.99,$174.11
07/25/2024,$173.73,690883,$171.85,$176.705,$170.21
07/24/2024,$170.44,513770,$173.75,$174.04,$170.21
07/23/2024,$173.80,246304,$174.69,$176.20,$173.555
07/22/2024,$175.37,678615,$176.20,$177.35,$173.855
07/19/2024,$174.97,349127,$177.79,$177.79,$173.54
07/18/2024,$176.96,315582,$180.42,$181.495,$176.06
07/17/2024,$180.42,399796,$182.12,$182.58,$180.03
07/16/2024,$183.01,435385,$178.80,$183.215,$178.80
07/15/2024,$178.79,438681,$176.45,$179.14,$176.45
07/12/2024,$176.46,335570,$174.60,$177.27,$174.30
07/11/2024,$173.59,376785,$173.00,$174.545,$171.42
07/10/2024,$173.01,254623,$171.99,$173.08,$170.32
07/09/2024,$171.58,326349,$172.85,$172.995,$171.03
07/08/2024,$173.14,368584,$172.16,$173.33,$171.49
07/05/2024,$171.63,238318,$170.21,$171.72,$169.55
07/03/2024,$170.49,179545,$171.95,$171.95,$170.01
07/02/2024,$172.31,352416,$171.21,$172.91,$170.75
07/01/2024,$171.18,370890,$172.45,$172.66,$170.49
06/28/2024,$172.23,668624,$171.37,$173.42,$171.025
06/27/2024,$171.20,396562,$169.86,$171.38,$169.415
06/26/2024,$169.26,418708,$168.92,$170.56,$167.35
